ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016600000043,ROSE LIME 12Z,32000060,32000060,,,,a,901 01 100,Case,12.00,,,u,_016600000043,Master,33.95,0.00,1900-01-01,2075-12-31
_018341151015,BAREFOOT CAB SAUV 1.5L,1067796,1067796,,,,a,401 03A 000,Case,6.00,,,u,_018341151015,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151022,BAREFOOT SAUVIGNON BLANC,32000157,32000157,,,,a,401 03A 000,Case,6.00,,,u,_018341151022,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151053,BAREFOOT CHARDONNAY 1.5L,1068747,1068747,,,,a,401 03A 000,Case,6.00,,,u,_018341151053,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151060,BAREFOOT WHT ZIN 1.5L,1086317,1086317,,,,a,401 03A 000,Case,6.00,,,u,_018341151060,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151091,BAREFOOT CALIFORNIA ZIN 1.5L,1068729,1068729,,,,a,401 03A 000,Case,6.00,,,u,_018341151091,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151107,BAREFOOT MERLOT,32000158,32000158,,,,a,401 03A 000,Case,6.00,,,u,_018341151107,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151138,BAREFOOT SHIRAZ 1.5L,33000691,33000691,,,,a,401 03A 000,Case,6.00,,,u,_018341151138,Master,52.00,0.00,1900-01-01,2075-12-31
_018341751017,BAREFOOT CAB SAUV 750ML,1054649,1054649,,,,a,401 03A 000,Case,12.00,,,u,_018341751017,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751024,BAREFOOT SAUV BLANC 750ML,1068748,1068748,,,,a,401 03A 000,Case,12.00,,,u,_018341751024,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751055,BAREFOOT CHARDONNAY 750ML,166165,166165,,,,a,401 03A 000,Case,12.00,,,u,_018341751055,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751062,BAREFOOT WHT ZIN 750ML,166167,166167,,,,a,401 03A 000,Case,12.00,,,u,_018341751062,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751093,BAREFOOT ZINFANDEL 750ML,187809,187809,,,,a,401 03A 000,Case,12.00,,,u,_018341751093,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751109,BAREFOOT MERLOT 750ML,1056421,1056421,,,,a,401 03A 000,Case,12.00,,,u,_018341751109,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751130,BAREFOOT SHIRAZ 750ML,1068749,1068749,,,,a,401 03A 000,Case,12.00,,,u,_018341751130,Master,56.00,0.00,1900-01-01,2075-12-31
_018341751260,BAREFOOT BUBBLY BRUT,32000161,32000161,,,,a,401 03A 000,Case,12.00,,,u,_018341751260,Master,80.00,0.00,1900-01-01,2075-12-31
_021296006002,PM GRAND AMBER BRANDY 1L,32000164,32000164,,,,a,401 04A 000,Case,12.00,,,u,_021296006002,Master,134.30,0.00,1900-01-01,2075-12-31
_021296006019,PAUL MASSON 750ML,80126,80126,,,,a,401 04A 000,Case,12.00,,,u,_021296006019,Master,117.20,0.00,1900-01-01,2075-12-31
_021296006033,PAUL MASSON BRAND 200ML,32705,32705,,,,a,401 04A 000,Case,24.00,,,u,_021296006033,Master,77.00,0.00,1900-01-01,2075-12-31
_021296006507,PAUL MASSON AMBER 750ML,32000166,32000166,,,,a,401 04A 000,Case,12.00,,,u,_021296006507,Master,117.20,0.00,1900-01-01,2075-12-31
_021296600309,PM GRAND AMBER BRANDY 1.75L,32000167,32000167,,,,a,401 04A 000,Case,6.00,,,u,_021296600309,Master,96.95,0.00,1900-01-01,2075-12-31
_021296620017,PM GRAND AMBER BRANDY PEACH 375ML,32000168,32000168,,,,a,401 04A 000,Case,24.00,,,u,_021296620017,Master,111.25,0.00,1900-01-01,2075-12-31
_021296620024,PAUL MASSIN BRANDY PEACH,35002713,35002713,,,,a,401 04A 000,Case,12.00,,,u,_021296620024,Master,101.50,0.00,1900-01-01,2075-12-31
_021296620031,PM GRAND AMBER BRANDY PEACH 200ML,32000170,32000170,,,,a,401 04A 000,Case,24.00,,,u,_021296620031,Master,77.00,0.00,1900-01-01,2075-12-31
_021296620055,PM GRAND AMBER BRANDY RED BRY 375ML,32000171,32000171,,,,a,401 04A 000,Case,24.00,,,u,_021296620055,Master,111.25,0.00,1900-01-01,2075-12-31
_021296620062,PM GRAND AMBER BRANDY RED BRY 200ML,32000172,32000172,,,,a,401 04A 000,Case,24.00,,,u,_021296620062,Master,77.00,0.00,1900-01-01,2075-12-31
_021296620178,PM GRANDE AMBER PNAPL,32000173,32000173,,,,a,401 04A 000,Case,24.00,,,u,_021296620178,Master,77.00,0.00,1900-01-01,2075-12-31
_021296620192,PM GRAND AMBER PNAPL,32000174,32000174,,,,a,401 04A 000,Case,24.00,,,u,_021296620192,Master,111.25,0.00,1900-01-01,2075-12-31
_021296620239,PAUL MASSON AMBER APL 200ML,32000175,32000175,,,,a,401 04A 000,Case,24.00,,,u,_021296620239,Master,77.00,0.00,1900-01-01,2075-12-31
_021296620253,PM GRAND AMBER APL 375ML,32000176,32000176,,,,a,401 04A 000,Case,24.00,,,u,_021296620253,Master,111.25,0.00,1900-01-01,2075-12-31
_031259008929,YELLOW TAIL CHARDONNAY 750ML,140684,140684,,,,a,401 03A 000,Case,12.00,,,u,_031259008929,Master,56.75,0.00,1900-01-01,2075-12-31
_031259008936,YELLOW TAIL CHARDONNAY 1.5L,1068483,1068483,,,,a,401 03A 000,Case,6.00,,,u,_031259008936,Master,52.75,0.00,1900-01-01,2075-12-31
_031259008950,YELLOW TAIL SHIRAZ 1.5L,35002622,35002622,,,,a,401 03A 000,Case,6.00,,,u,_031259008950,Master,52.75,0.00,1900-01-01,2075-12-31
_031259009230,YELLOW TAIL MERLOT 1.5L,1077721,1077721,,,,a,401 03A 000,Case,6.00,,,u,_031259009230,Master,52.75,0.00,1900-01-01,2075-12-31
