ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,16.00,0.00,1900-01-01,2075-12-31
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,22.20,0.00,1900-01-01,2075-12-31
_034100003555,MILLER LT 24z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,23.00,0.00,2018-12-21,2075-12-31
_034100005597,MILLER GD 40z LN,13473,13473,,,,a,401 01J 000,Case,12.00,,,u,_034100005597,Master,28.80,0.00,1900-01-01,2075-12-31
_034100016364,MILLER HL 12PK 12z CN,13481,13481,,,,a,401 01D 000,Case,24.00,,,u,_034100016029,Master,16.00,0.00,2018-12-21,2075-12-31
_034100016364,,,,,,,,,,,,,u,_034100016364,,,,,
_034100073442,MILW BEST LT 15PK 12Z CN,1087002,1087002,,,,a,401 01E 000,Case,30.00,,,u,_034100073442,Master,12.80,0.00,2018-12-21,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,23.20,0.00,2018-12-21,2075-12-31
_034100087302,REDDS PEACH ALE 6PK 12z LN,1054188,1054188,,,,a,401 01B 000,Case,24.00,,,u,_034100087302,Master,23.20,0.00,2018-12-21,2075-12-31
_034100087463,REDDS BLUEBERRY 6PK 12z LN,1064593,1064593,,,,a,401 01B 000,Case,24.00,,,u,_034100087463,Master,23.20,0.00,2018-12-21,2075-12-31
_034100105051,SHARPS N/A 6PK 12z LN,14150,14150,,,,a,401 02A 000,Case,24.00,,,u,_034100105051,Master,18.40,0.00,1900-01-01,2075-12-31
_034100106027,SHARPS N/A 12PK 12z CN,36964,36964,,,,a,401 02B 000,Case,24.00,,,u,_034100106027,Master,16.00,0.00,2018-12-21,2075-12-31
_034100153069,MILLER 64 24PK 12z CN(STCS),23660,23660,,,,a,401 01H 000,Case,24.00,,,u,_034100153069,Master,19.70,0.00,1900-01-01,2075-12-31
_034100153069,,,,,,,,,,,,,u,_034100153243,,,,,
_034100155056,MILLER 64 6PK 12z LN,13477,13477,,,,a,401 01B 000,Case,24.00,,,u,_034100155056,Master,22.40,0.00,1900-01-01,2075-12-31
_034100155094,MILLER 64 12PK 12z LN,15746,15746,,,,a,401 01D 000,Case,24.00,,,u,_034100155094,Master,20.80,0.00,1900-01-01,2075-12-31
_034100156367,MILLER 64 12PK 12z CN,14117,14117,,,,a,401 01D 000,Case,24.00,,,u,_034100156367,Master,20.80,0.00,1900-01-01,2075-12-31
_034100175092,MILLER GD 12PK 12z LN,75052,75052,,,,a,401 01D 000,Case,24.00,,,u,_034100175092,Master,17.60,0.00,2018-12-21,2075-12-31
_034100313449,MILW BEST 15PK 12Z CN,1087009,1087009,,,,a,401 01E 000,Case,30.00,,,u,_034100313449,Master,12.80,0.00,2018-12-21,2075-12-31
_034100516055,LEINENK SSL SHANDY 6PK 12z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,27.65,0.00,2018-12-21,2075-12-31
_034100516215,HENRYS HARD GRAPE 6PK 12z LN,1083017,1083017,,,,a,401 01B 000,Case,24.00,,,u,_034100516215,Master,27.65,0.00,2018-12-21,2075-12-31
_034100570231,MILLER LT 9PK 16z ALUM,178825,178825,,,,a,401 01O 000,Case,18.00,,,u,_034100570224,Master,19.20,0.00,2018-12-21,2075-12-31
_034100570231,,,,,,,,,,,,,u,_034100570231,,,,,
_034100575052,MILLER LT 6PK 12z LN,43591,43591,,,,a,401 01B 000,Case,24.00,,,u,_034100575052,Master,22.40,0.00,1900-01-01,2075-12-31
_034100575090,MILLER LT 12PK 12z LN,75051,75051,,,,a,401 01D 000,Case,24.00,,,u,_034100575090,Master,20.20,0.00,1900-01-01,2075-12-31
_034100576363,MILLER LT 12PK 12z CN,13485,13485,,,,a,401 01D 000,Case,24.00,,,u,_034100576028,Master,17.60,0.00,2018-12-21,2075-12-31
_034100576363,,,,,,,,,,,,,u,_034100576363,,,,,
_034100989163,HENRYS HARD ORANGE 6PK 12z LN,1077155,1077155,,,,a,401 01B 000,Case,24.00,,,u,_034100989163,Master,27.65,0.00,2018-12-21,2075-12-31
_042572040060,SCHOFFERHOFER GRAPEFRUIT 6PK 12z LN,1057879,1057879,,,,a,401 01B 000,Case,24.00,,,u,_042572040060,Master,32.30,0.00,2018-12-31,2075-12-31
_042572044044,SCHOFFERHOFER GRAPEFRUIT 4PK 16ZCN,33000333,33000333,,,,a,401 01A 000,Case,24.00,,,u,_042572044044,Master,43.80,0.00,2018-12-31,2075-12-31
_062067009723,LABATT BLUE NA 6PK 12z LN,32000328,32000328,,,,a,401 01B 000,Case,24.00,,,u,_062067009723,Master,23.05,0.00,2018-12-21,2075-12-31
_070310012444,SEAGRAMS VARIETY 12PK 12z CN,1068394,1068394,,,,a,401 01D 000,Case,24.00,,,u,_070310012444,Master,24.00,0.00,1900-01-01,2075-12-31
_070310015056,SEAGRAMS RED WHITE BOOM 8PK 12z CN,1087778,1087778,,,,a,401 01C 000,Case,24.00,,,u,_070310015056,Master,24.00,0.00,1900-01-01,2075-12-31
_070310700389,SEAGRAMS MANGO 4PK 12z CN,1065864,1065864,,,,a,401 01A 000,Case,24.00,,,u,_070310700389,Master,23.00,0.00,1900-01-01,2075-12-31
_072311630122,DOS EQUIS LAGR 6PK 12z LN,58098,58098,,,,a,401 01B 000,Case,24.00,,,u,_072311130127,Master,27.65,0.00,1900-01-01,2075-12-31
_072311630122,,,,,,,,,,,,,u,_072311630122,,,,,
_072890000118,HEINEKEN 6PK 12z LN,15260,15260,,,,a,401 01B 000,Case,24.00,,,u,_072890000019,Master,27.65,0.00,2018-12-21,2075-12-31
_072890000118,,,,,,,,,,,,,u,_072890000118,,,,,
_072890000118,,,,,,,,,,,,,u,_072890000217,,,,,
_072890000163,HEINEKEN 12PK 12z LN,41600,41600,,,,a,401 01D 000,Case,24.00,,,u,_072890000163,Master,27.80,0.00,1900-01-01,2075-12-31
_072890000309,BUCKLER NA 6PK 12z LN,32000386,32000386,,,,a,401 02A 000,Case,24.00,,,u,_072890000309,Master,25.55,0.00,2018-12-21,2075-12-31
_072890004789,HEINEKEN 22z LN,1052716,1052716,,,,a,401 01J 000,Case,12.00,,,u,_072890004789,Master,26.60,0.00,1900-01-01,2075-12-31
_078250003287,STEEL RESERVE 24z CN,93560,93560,,,,a,401 01J 000,Case,12.00,,,u,_078250003287,Master,13.20,0.00,2018-12-21,2075-12-31
_078250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_080432100875,SEAGRAMS CALYPSO COLADA 4PK 12z LN,32000421,32000421,,,,a,401 01A 000,Case,24.00,,,u,_080432100875,Master,23.00,0.00,1900-01-01,2075-12-31
_080432103463,SEAGRAMS JAMAICANMEHAPPY 4PK 12z LN,1065964,1065964,,,,a,401 01A 000,Case,24.00,,,u,_080432103463,Master,23.00,0.00,1900-01-01,2075-12-31
_080432403259,SEAGRAMS ESCAPES BAHAMA 4PK 11.2z LN,32000455,32000455,,,,a,401 01A 000,Case,24.00,,,u,_080432403259,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802281,SEAGRAMS FUZZY NAVL 4PK 12z LN,30307,30307,,,,a,401 01A 000,Case,24.00,,,u,_080432802281,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802397,SEAGRAMS MARGARITA 4PK 12z LN,165277,165277,,,,a,401 01A 000,Case,24.00,,,u,_080432802397,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802540,SEAGRAMS STRAW DAIQ 4PK 12z LN,24494,24494,,,,a,401 01A 000,Case,24.00,,,u,_080432802540,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802663,SEAGRAMS WILD BERRY 4PK 12z LN,14635,14635,,,,a,401 01A 000,Case,24.00,,,u,_080432802663,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802885,SEAGRAMS ESCAPES BLK CHRY 4PK 11.2z LN,32000463,32000463,,,,a,401 01A 000,Case,24.00,,,u,_080432802885,Master,23.00,0.00,1900-01-01,2075-12-31
_080432802908,SEAGRAMS VARIETY 12PK 11z LN,1064879,1064879,,,,a,401 01D 000,Case,24.00,,,u,_080432802908,Master,24.00,0.00,1900-01-01,2075-12-31
_082000723851,SMIRNOFF ICE 6PK 12z LN,109516,109516,,,,a,401 01B 000,Case,24.00,,,u,_082000723844,Master,27.80,0.00,1900-01-01,2075-12-31
_082000723851,,,,,,,,,,,,,u,_082000723851,,,,,
_082000723851,,,,,,,,,,,,,u,_082000727248,,,,,
_082000723851,,,,,,,,,,,,,u,_082000727354,,,,,
_082000727514,SMIRNOFF TWST G/APL 6PK 12zLN,150454,150454,,,,a,401 01B 000,Case,24.00,,,u,_082000727514,Master,27.80,0.00,1900-01-01,2075-12-31
_082000732143,SMIRNOFF TWST GRAPE 6PK 12z LN,162502,162502,,,,a,401 01B 000,Case,24.00,,,u,_082000732143,Master,27.80,0.00,1900-01-01,2075-12-31
_088067087004,GRAIN BELT PREM 12PK CAN,32001862,32001862,,,,a,401 01D 000,Case,24.00,,,u,_088067087004,Master,20.80,0.00,1900-01-01,2075-12-31
