ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_2610461042,JOEYS JUMBO VERY CHOC CHUNK COOKIE,1066804,1066804,,,,a,601 05 000,Each,1.00,,,u,_026104610426,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461045,JOEYS JUMBO MACADEMIA WHT CHIP COOKIE,1066806,1066806,,,,a,601 05 000,Each,1.00,,,u,_026104610457,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461050,JOEYS JUMBO OATMEAL RAISIN MANIA COOKIE,1066807,1066807,,,,a,601 05 000,Each,1.00,,,u,_026104610501,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461055,JOEYS BLUEBERRY CHEESE DANISH 4z,1066811,1066811,,,,a,601 05 000,Each,1.00,,,u,_026104610556,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461061,JOEYS BLK & WHT GOURMET COOKIE,1066803,1066803,,,,a,601 05 000,Each,1.00,,,u,_026104610617,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461064,JOEYS RASPBERRY LINZER TARTS,1066805,1066805,,,,a,601 05 000,Each,1.00,,,u,_026104610648,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461065,JOEYS CHEESE SWIRL DANISH 4z,1066812,1066812,,,,a,601 05 000,Each,1.00,,,u,_026104610655,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461091,JOEYS ICED FUDGE BROWINE 3.75z,1066791,1066791,,,,a,601 05 000,Each,1.00,,,u,_026104610914,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461132,JOEYS BANANA NUT CAKE 4z,1066792,1066792,,,,a,601 05 000,Each,1.00,,,u,_026104611324,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461139,JOEYS BLUEBERRY MUFFIN 6.5z,1066820,1066820,,,,a,601 05 000,Each,1.00,,,u,_026104611393,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461140,JOEYS CORN MUFFIN 6.5z,1066822,1066822,,,,a,601 05 000,Each,1.00,,,u,_026104611409,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461141,JOEYS RAISIN BRAN MUFFIN 6.5z,1066824,1066824,,,,a,601 05 000,Each,1.00,,,u,_026104611416,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461143,JOEYS CHOC CHIP MUFFIN 6.5z,1066821,1066821,,,,a,601 05 000,Each,1.00,,,u,_026104611430,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461145,JOEYS BANANA WALNUT MUFFIN 6.5z,1066819,1066819,,,,a,601 05 000,Each,1.00,,,u,_026104611454,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461149,JOEYS APPLE SWIRL DANISH 4z,1066810,1066810,,,,a,601 05 000,Each,1.00,,,u,_026104611492,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461152,JOEYS CINNAMON SWIRL DANISH 4z,1066813,1066813,,,,a,601 05 000,Each,1.00,,,u,_026104611522,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461198,JOEYS ORIG CORN BREAD 5z,1066808,1066808,,,,a,601 05 000,Each,1.00,,,u,_026104611980,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461299,JOEYS STRWBRY CHEESE DANISH 4z,1066814,1066814,,,,a,601 05 000,Each,1.00,,,u,_026104612994,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461303,JOEYS ICED HONEY BUN 4.75z,1066817,1066817,,,,a,601 05 000,Each,1.00,,,u,_026104613038,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461304,JOEYS CHOC DONUTS 3z,1066815,1066815,,,,a,601 05 000,Each,1.00,,,u,_026104613045,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461490,JOEYS CINNAMON COFFEE CAKE 4z,1066802,1066802,,,,a,601 05 000,Each,1.00,,,u,_026104614905,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461556,JOEYS PLAIN BIG CHEESE 3z,1066789,1066789,,,,a,601 05 000,Each,1.00,,,u,_026104615568,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461558,JOEYS RASPBERRY BIG CHEESE 3z,1066790,1066790,,,,a,601 05 000,Each,1.00,,,u,_026104615582,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461559,JOEYS PINEAPPLE BIG CHEESE 3z,1066788,1066788,,,,a,601 05 000,Each,1.00,,,u,_026104615599,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461566,JOEYS RAINBOW BARS 2.75z,1066825,1066825,,,,a,601 05 000,Each,1.00,,,u,_026104615667,Master,0.93,0.00,2015-06-30,2075-12-31
_2610461669,JOEYS CROISSANT 4z,1066809,1066809,,,,a,601 05 000,Each,1.00,,,u,_026104616695,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461812,JOEYS VANILLA CREME WAFERS 2.25z,1066826,1066826,,,,a,601 05 000,Each,1.00,,,u,_026104618125,Master,0.92,0.00,2015-06-30,2075-12-31
_2610461834,JOEYS JUMBO SLICED CRUMB CAKE 5z,1066795,1066795,,,,a,601 05 000,Each,1.00,,,u,_026104618347,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462005,JOEYS JUMBO SLICED POUND CAKE 5z,1066800,1066800,,,,a,601 05 000,Each,1.00,,,u,_026104620050,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462006,JOEYS JUMBO SLICED MARBLE CAKE 5z,1066798,1066798,,,,a,601 05 000,Each,1.00,,,u,_026104620067,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462007,JOEYS JUMBO SLICED LEMON CAKE 5z,1066797,1066797,,,,a,601 05 000,Each,1.00,,,u,_026104620074,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462008,JOEYS JUMBO SLICED BANANA CAKE 5z,1066793,1066793,,,,a,601 05 000,Each,1.00,,,u,_026104620081,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462011,JOEYS JUMBO SLICED CARROT CAKE 5z,1066801,1066801,,,,a,601 05 000,Each,1.00,,,u,_026104620111,Master,0.92,0.00,2015-06-30,2075-12-31
_2610462013,JOEYS JUMBO SLICED CHOC CHIP CAKE,1066794,1066794,,,,a,601 05 000,Each,1.00,,,u,_026104620135,Master,0.92,0.00,2015-06-30,2075-12-31
