ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17Z,1052656,1052656,,,,a,601 11 000,Each,1.00,,,u,_016571910303,Master,0.75,0.00,1900-01-01,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17Z,1052657,1052657,,,,a,601 11 000,Each,1.00,,,u,_016571910310,Master,0.75,0.00,1900-01-01,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17Z,1052644,1052644,,,,a,601 11 000,Each,1.00,,,u,_016571910327,Master,0.75,0.00,1900-01-01,2075-12-31
_016571940331,SPARKLING ICE CNUT PNAPL 17Z,32006587,32006587,,,,a,601 11 000,Each,1.00,,,u,_016571940331,Master,0.75,0.00,1900-01-01,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17Z,1064891,1064891,,,,a,601 11 000,Each,1.00,,,u,_016571950842,Master,0.75,0.00,1900-01-01,2075-12-31
_016571952679,SPARKLING ICE GRP RASP 17Z,32006592,32006592,,,,a,601 11 000,Each,1.00,,,u,_016571952679,Master,0.75,0.00,1900-01-01,2075-12-31
_022100000049,PABST 24Z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,16.70,0.00,1900-01-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,16.60,0.00,1900-01-01,2075-12-31
_022100000780,PABST 4PK 16Z CN,184243,184243,,,,a,401 01A 000,Case,24.00,,,u,_022100000780,Master,16.60,0.00,1900-01-01,2075-12-31
_022100001572,PABST 18PK 12Z CN,1051644,1051644,,,,a,401 01F 000,Case,18.00,,,u,_022100001572,Master,10.15,0.00,1900-01-01,2075-12-31
_022100001701,PABST 12PK 12Z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,13.55,0.00,1900-01-01,2075-12-31
_022100002890,PABST 6PK 12Z LN,29843,29843,,,,a,401 01B 000,Case,24.00,,,u,_022100002890,Master,15.65,0.00,1900-01-01,2075-12-31
_022100002890,,,,,,,,,,,,,u,_022100006263,,,,,
_022100112193,PABST 30PK 12Z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,15.90,0.00,1900-01-01,2075-12-31
_028000085902,NESQUIK STRAW 1% 8Z,1052577,1052577,,,,a,601 07 410,Each,1.00,,,u,_028000085902,Master,0.35,0.00,1900-01-01,2075-12-31
_028000157593,NESQUIK GS THIN MNT SS,1056166,1056166,,,,a,601 07 410,Each,1.00,,,u,_028000157593,Master,0.68,0.00,1900-01-01,2075-12-31
_028000504205,NESQUIK DBL CHOC SS,122196,122196,,,,a,601 07 410,Each,1.00,,,u,_028000504205,Master,1.36,0.00,1900-01-01,2075-12-31
_028000616502,NESQUIK CHOC 1% 8Z,1052576,1052576,,,,a,601 07 410,Each,1.00,,,u,_028000616502,Master,0.35,0.00,1900-01-01,2075-12-31
_028000748586,NESQUIK BAN/STRAW SS,185351,185351,,,,a,601 07 410,Each,1.00,,,u,_028000748586,Master,0.68,0.00,1900-01-01,2075-12-31
_028000772123,NESQUIK CHOC SS,14886,14886,,,,a,601 07 410,Each,1.00,,,u,_028000772123,Master,1.36,0.00,1900-01-01,2075-12-31
_028000990374,NESQUIK GS CAR/COCO SS,1056165,1056165,,,,a,601 07 410,Each,1.00,,,u,_028000990374,Master,0.68,0.00,1900-01-01,2075-12-31
_040850020018,ALSKN AMBR ALE NR 6PK,32000293,32000293,,,,a,401 01B 000,Case,24.00,,,u,_040850020018,Master,29.00,0.00,1900-01-01,2075-12-31
_052300000242,OLD MILW 6PK 16Z CN,89829,89829,,,,a,401 01B 000,Case,24.00,,,u,_052300000242,Master,20.18,0.00,1900-01-01,2075-12-31
_052300004349,OLD MILW 30PK 12Z CN,161621,161621,,,,a,401 01I 000,Case,30.00,,,u,_052300004349,Master,12.00,0.00,1900-01-01,2075-12-31
