ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_076545001017,SWISS ICED TEA PT,1064476,1064476,,,,a,601 14 000,Each,1.00,,,u,_076545001017,Master,0.35,0.00,1900-01-01,2075-12-31
_076545001376,SWISS ORANGE BLAST HG,1064471,1064471,,,,a,601 07 200,Each,1.00,,,u,_076545001376,Master,1.20,0.00,1900-01-01,2075-12-31
_076545001406,SWISS TEA SWEET/LEMON HG,1053975,1053975,,,,a,601 14 000,Each,1.00,,,u,_076545001406,Master,1.04,0.00,1900-01-01,2075-12-31
_076545001444,SWISS LEMONADE PT,1064475,1064475,,,,a,Default,Each,1.00,,,u,_076545001444,Master,0.35,0.00,1900-01-01,2075-12-31
_076545001475,SWISS FRUIT PUNCH HG,1064465,1064465,,,,a,601 07 200,Each,1.00,,,u,_076545001475,Master,1.02,0.00,1900-01-01,2075-12-31
_076545001482,SWISS FRUIT PUNCH PT,1064479,1064479,,,,a,Default,Each,1.00,,,u,_076545001482,Master,0.35,0.00,1900-01-01,2075-12-31
_076545002625,SWISS DRK RASP LEMONADE PT,1053978,1053978,,,,a,Default,Each,1.00,,,u,_076545002625,Master,0.35,0.00,1900-01-01,2075-12-31
_121,MILK WHOLE SS,180143,180143,,,,a,601 07 410,Each,1.00,,,u,_034500657006,Master,0.83,0.00,2017-10-05,2075-12-31
_121,,,,,,,,,,,,,u,_035733000058,,,,,
_121,,,,,,,,,,,,,u,_041900020088,,,,,
_121,,,,,,,,,,,,,u,_041900074326,,,,,
_121,,,,,,,,,,,,,u,_041900076450,,,,,
_121,,,,,,,,,,,,,u,_041900076474,,,,,
_121,,,,,,,,,,,,,u,_043119002855,,,,,
_121,,,,,,,,,,,,,u,_044100262692,,,,,
_121,,,,,,,,,,,,,u,_070777555027,,,,,
_121,,,,,,,,,,,,,u,_070778000151,,,,,
_121,,,,,,,,,,,,,u,_070880000056,,,,,
_121,,,,,,,,,,,,,u,_071600000325,,,,,
_121,,,,,,,,,,,,,u,_072730214064,,,,,
_121,,,,,,,,,,,,,u,_075196001216,,,,,
_121,,,,,,,,,,,,,u,_075243105010,,,,,
_121,,,,,,,,,,,,,u,_076545002137,,,,,
_121,,,,,,,,,,,,,u,_076545074325,,,,,
_121,,,,,,,,,,,,,u,_088365005069,,,,,
_121,,,,,,,,,,,,,u,_441002626926,,,,,
_121,,,,,,,,,,,,,u,_799970001406,,,,,
_121,,,,,,,,,,,,,u,_815473010476,,,,,
_122,MILK CHOC SS,180144,180144,,,,a,601 07 410,Each,1.00,,,u,_034500657068,Master,0.88,0.00,2017-10-05,2075-12-31
_122,,,,,,,,,,,,,u,_035733001154,,,,,
_122,,,,,,,,,,,,,u,_041900023461,,,,,
_122,,,,,,,,,,,,,u,_041900074357,,,,,
_122,,,,,,,,,,,,,u,_041900075057,,,,,
_122,,,,,,,,,,,,,u,_041900075170,,,,,
_122,,,,,,,,,,,,,u,_043119003463,,,,,
_122,,,,,,,,,,,,,u,_070777555041,,,,,
_122,,,,,,,,,,,,,u,_070778007150,,,,,
_122,,,,,,,,,,,,,u,_070880008052,,,,,
_122,,,,,,,,,,,,,u,_071600002602,,,,,
_122,,,,,,,,,,,,,u,_072730264069,,,,,
_122,,,,,,,,,,,,,u,_075196001223,,,,,
_122,,,,,,,,,,,,,u,_075243105126,,,,,
_122,,,,,,,,,,,,,u,_088365005267,,,,,
_122,,,,,,,,,,,,,u,_815473010513,,,,,
_12342,SWISS GREEN TEA PT,1064478,1064478,,,,a,601 14 000,Each,1.00,,,u,_076545001307,Master,0.35,0.00,1900-01-01,2075-12-31
_13971,SWISS TEA GREEN W/G&H HG,1053974,1053974,,,,a,601 14 000,Each,1.00,,,u,_076545001291,Master,1.04,0.00,1900-01-01,2075-12-31
