ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_033544950333,MODELO CHELADA PICANTE 24Z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,26.00,0.00,1900-01-01,2075-12-31
_034100000318,MILLER HL 32Z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,23.00,0.00,1900-01-01,2075-12-31
_034100003548,MILLER LT 6PK 12Z CN,14094,14094,,,,a,401 01B 000,Case,24.00,,,u,_034100003548,Master,21.65,0.00,1900-01-01,2075-12-31
_034100016364,MILLER HL 12PK 12Z CN,13481,13481,,,,a,401 01D 000,Case,24.00,,,u,_034100016029,Master,14.40,0.00,1900-01-01,2075-12-31
_034100016364,,,,,,,,,,,,,u,_034100016364,,,,,
_034100073442,MILW BEST LT 15PK 12Z CN,1087002,1087002,,,,a,401 01E 000,Case,30.00,,,u,_034100073442,Master,12.80,0.00,1900-01-01,2075-12-31
_034100087166,REDDS APPLE ALE 6PK 12Z LN,1052617,1052617,,,,a,401 01B 000,Case,24.00,,,u,_034100087166,Master,24.60,0.00,1900-01-01,2075-12-31
_034100313449,MILW BEST 15PK 12Z CN,1087009,1087009,,,,a,401 01E 000,Case,30.00,,,u,_034100313449,Master,12.80,0.00,1900-01-01,2075-12-31
_034100516055,LEINENK SSL SHANDY 6PK 12Z LN,1052645,1052645,,,,a,401 01B 000,Case,24.00,,,u,_034100516055,Master,24.60,0.00,1900-01-01,2075-12-31
_034100516215,HENRYS HARD GRAPE 6PK 12Z LN,1083017,1083017,,,,a,401 01B 000,Case,24.00,,,u,_034100516215,Master,24.60,0.00,1900-01-01,2075-12-31
_034100573461,MILLER LT 24Z CN,38387,38387,,,,a,401 01J 000,Case,12.00,,,u,_034100003555,Master,23.00,0.00,1900-01-01,2075-12-31
_034100573461,,,,,,,,,,,,,u,_034100573461,,,,,
_034100576363,MILLER LT 12PK 12Z CN,13485,13485,,,,a,401 01D 000,Case,24.00,,,u,_034100576028,Master,18.40,0.00,1900-01-01,2075-12-31
_034100576363,,,,,,,,,,,,,u,_034100576363,,,,,
_034100989163,HENRYS HARD ORANGE 6PK 12Z LN,1077155,1077155,,,,a,401 01B 000,Case,24.00,,,u,_034100989163,Master,24.60,0.00,1900-01-01,2075-12-31
_071990000080,COORS LT 6PK 12Z CN,14096,14096,,,,a,401 01B 000,Case,24.00,,,u,_071990000080,Master,21.65,0.00,1900-01-01,2075-12-31
_071990000486,COORS LT 12PK 12Z CN,14115,14115,,,,a,401 01D 000,Case,24.00,,,u,_071990000486,Master,18.40,0.00,1900-01-01,2075-12-31
_071990300050,COORS LT 6PK 12Z LN,13465,13465,,,,a,401 01B 000,Case,24.00,,,u,_071990000004,Master,21.65,0.00,1900-01-01,2075-12-31
_071990300050,,,,,,,,,,,,,u,_071990300050,,,,,
_071990300654,COORS LT 24Z CN,65153,65153,,,,a,401 01J 000,Case,12.00,,,u,_071990300654,Master,23.00,0.00,1900-01-01,2075-12-31
_071990480455,KEYSTONE LT 15PK 12Z CN,1082873,1082873,,,,a,401 01E 000,Case,30.00,,,u,_071990480455,Master,13.60,0.00,1900-01-01,2075-12-31
_072311630122,DOS EQUIS LAGR 6PK 12Z LN,58098,58098,,,,a,401 01B 000,Case,24.00,,,u,_072311130127,Master,24.80,0.00,1900-01-01,2075-12-31
_072311630122,,,,,,,,,,,,,u,_072311630122,,,,,
_072890000118,HEINEKEN 6PK 12Z LN,15260,15260,,,,a,401 01B 000,Case,24.00,,,u,_072890000019,Master,25.60,0.00,1900-01-01,2075-12-31
_072890000118,,,,,,,,,,,,,u,_072890000118,,,,,
_072890000118,,,,,,,,,,,,,u,_072890000217,,,,,
_072890004789,HEINEKEN 22Z LN,1052716,1052716,,,,a,401 01J 000,Case,12.00,,,u,_072890004789,Master,26.50,0.00,1900-01-01,2075-12-31
_078250003287,STEEL RESERVE 24Z CN,93560,93560,,,,a,401 01J 000,Case,12.00,,,u,_078250003287,Master,13.80,0.00,1900-01-01,2075-12-31
_078250003287,,,,,,,,,,,,,u,_078250003294,,,,,
_080660956152,CORONA EXTRA 12PK 12Z LN,43252,43252,,,,a,401 01D 000,Case,24.00,,,u,_080660956152,Master,24.80,0.00,1900-01-01,2075-12-31
_080660957159,MODELO ESPECIAL 12PK 12Z CN,112344,112344,,,,a,401 01D 000,Case,24.00,,,u,_080660957159,Master,23.65,0.00,1900-01-01,2075-12-31
_080660957968,MODELO CHELADA 24Z CN,1054421,1054421,,,,a,401 01J 000,Case,12.00,,,u,_080660957968,Master,26.00,0.00,1900-01-01,2075-12-31
_087692005520,TWISTED TEA 24z CN 3.2,32001798,32001798,,,,a,401 01J 000,Case,12.00,,,u,_087692005520,Master,26.40,0.00,1900-01-01,2075-12-31
_635985060673,MIKES HARD B/CHY LMN 6PK 12ZLN-3.2,158816,158816,,,,a,401 01B 000,Case,24.00,,,u,_635985060673,Master,25.50,0.00,1900-01-01,2075-12-31
_635985060673,,,,,,,,,,,,,u,_635985067115,,,,,
_635985260288,MIKES HARD LMND 23.5Z CN,33000469,33000469,,,,a,401 01J 000,Case,12.00,,,u,_635985260288,Master,26.40,0.00,1900-01-01,2075-12-31
_635985260295,MIKES HARD BLACK CHERRY 23.5Z CN,33000470,33000470,,,,a,401 01J 000,Case,12.00,,,u,_635985260295,Master,26.40,0.00,1900-01-01,2075-12-31
_635985603122,MIKES HARD LMND 6PK 12z LN 3.2,123426,123426,,,,a,401 01B 000,Case,24.00,,,u,_635985603122,Master,25.50,0.00,1900-01-01,2075-12-31
