ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_009450011505,SARANAC IPA 6PK 12z LN,1065844,1065844,,,,a,401 01B 000,Case,24.00,,,u,_009450011505,Master,27.50,0.00,1900-01-01,2075-12-31
_009450011505,,,,,,,,,,,,,u,_071670040641,,,,,
_009450011505,,,,,,,,,,,,,u,_094500115050,,,,,
_009450012281,SARANAC BLUBRY BLONDE 12PK 12z CN,1066284,1066284,,,,a,401 01D 000,Case,24.00,,,u,_009450012281,Master,24.50,0.00,2015-03-04,2075-12-31
_009450031657,SARANAC SSL GROWLER 32Z LN,1066285,1066285,,,,a,401 01J 000,Case,12.00,,,u,_009450031657,Master,43.00,0.00,1900-01-01,2075-12-31
_009450080143,SARANAC SEASONS BEST 6PK 12z LN,1065782,1065782,,,,a,401 01B 000,Case,24.00,,,u,_009450080143,Master,27.00,0.00,1900-01-01,2075-12-31
_009450101244,SARANAC BLUBRY BLONDE 12PK 12z LN,1066146,1066146,,,,a,401 01D 000,Case,24.00,,,u,_009450101244,Master,24.50,0.00,2015-02-27,2075-12-31
_009468081644,SARANAC ADRN TRAIL MX 12PK 12z LN,1065846,1065846,,,,a,401 01D 000,Case,24.00,,,u,_009468081644,Master,24.50,0.00,1900-01-01,2075-12-31
_014974130021,WOODCHUCK GUMPTION 6PK 12z LN,1077173,1077173,,,,a,401 05B 000,Case,24.00,,,u,_014974130021,Master,28.00,0.00,2015-11-19,2075-12-31
_014974500091,WOODCHUCK AMBER 6PK 12z LN,56418,56418,,,,a,401 05B 000,Case,24.00,,,u,_014974500022,Master,28.00,0.00,2015-03-28,2075-12-31
_014974500091,,,,,,,,,,,,,u,_014974500053,,,,,
_014974500091,,,,,,,,,,,,,u,_014974500091,,,,,
_022100000049,PABST 24z CN,154543,154543,,,,a,401 01J 000,Case,12.00,,,u,_022100000049,Master,12.60,0.00,1900-01-01,2075-12-31
_022100000049,,,,,,,,,,,,,u,_022100000414,,,,,
_022100000049,,,,,,,,,,,,,u,_022100001114,,,,,
_022100000742,PABST 6PK 16z CN,18781,18781,,,,a,401 01B 000,Case,24.00,,,u,_022100000742,Master,14.90,0.00,1900-01-01,2075-12-31
_022100001701,PABST 12PK 12z CN,13504,13504,,,,a,401 01D 000,Case,24.00,,,u,_022100001701,Master,15.70,0.00,1900-01-01,2075-12-31
_022100112193,PABST 30PK 12z CN,119178,119178,,,,a,401 01I 000,Case,30.00,,,u,_022100112193,Master,15.00,0.00,1900-01-01,2075-12-31
_030613000012,BROOKLYN LAGER 6PK 12z LN,1065746,1065746,,,,a,401 01B 000,Case,24.00,,,u,_030613000012,Master,31.49,0.00,2017-02-20,2075-12-31
_030613000197,BROOKLYN EAST IPA 6PK 12z LN,1068318,1068318,,,,a,401 01B 000,Case,24.00,,,u,_030613000197,Master,31.49,0.00,2017-02-20,2075-12-31
_030613000333,BROOKLYN LAGER 16z CN,1065748,1065748,,,,a,401 01J 000,Case,24.00,,,u,_030613000333,Master,32.20,0.00,2018-12-19,2075-12-31
_030613000531,BROOKLYN SSL 6PK 12z LN,1065747,1065747,,,,a,401 01B 000,Case,24.00,,,u,_030613000531,Master,31.49,0.00,2017-02-20,2075-12-31
_030613000586,BROOKLYN SUMMER ALE 6PK 12z LN,1083580,1083580,,,,a,401 01B 000,Case,24.00,,,u,_030613000586,Master,31.49,0.00,1900-01-01,2075-12-31
_030613000616,BROOKLYN SSL 16z CN,1065749,1065749,,,,a,401 01J 000,Case,24.00,,,u,_030613000616,Master,32.20,0.00,2018-12-19,2075-12-31
_033544950029,CORONA EXTRA 18PK 12z CN,1065149,1065149,,,,a,401 01F 000,Case,18.00,,,u,_033544950029,Master,20.20,0.00,2017-06-07,2075-12-31
_033544950210,CERVEZAS CLASICO 12PK 12z LN,1077169,1077169,,,,a,401 01D 000,Case,24.00,,,u,_033544950210,Master,26.95,0.00,2015-11-18,2075-12-31
_033544950227,PACIFICO 24z CN,1077148,1077148,,,,a,401 01J 000,Case,12.00,,,u,_033544950227,Master,25.00,0.00,2015-11-18,2075-12-31
_033544950258,VICTORIA 32z LN,1085687,1085687,,,,a,401 01J 000,Case,12.00,,,u,_033544950258,Master,35.70,0.00,2018-04-30,2075-12-31
_033544950272,MODELO 18PK 12z LN,1085697,1085697,,,,a,401 01F 000,Case,18.00,,,u,_033544950272,Master,18.93,0.00,2018-04-30,2075-12-31
_033544950319,PACIFICO 12PK 12z CN,1085686,1085686,,,,a,401 01D 000,Case,24.00,,,u,_033544950319,Master,25.45,0.00,1900-01-01,2075-12-31
_033544950333,MODELO CHELADA PICANTE 24z CN,1085681,1085681,,,,a,401 01J 000,Case,12.00,,,u,_033544950333,Master,30.00,0.00,1900-01-01,2075-12-31
_033544950371,CORONA EXTRA 3PK 24z,1085826,1085826,,,,a,Default,Case,12.00,,,u,_033544950371,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950418,CORONA PREMIER 6PK 12z LN,1083425,1083425,,,,a,401 01B 000,Case,24.00,,,u,_033544950418,Master,28.85,0.00,1900-01-01,2075-12-31
_033544950425,CORONA PREMIER 12PK 12z LN,1085684,1085684,,,,a,401 01D 000,Case,24.00,,,u,_033544950425,Master,26.95,0.00,1900-01-01,2075-12-31
_033544950470,CORONA PREMIER 24z CN,1085682,1085682,,,,a,401 01J 000,Case,12.00,,,u,_033544950470,Master,27.50,0.00,1900-01-01,2075-12-31
_033544950517,CORONA FAMILIAR 6PK 12z LN,1083422,1083422,,,,a,401 01B 000,Case,24.00,,,u,_033544850510,Master,28.85,0.00,1900-01-01,2075-12-31
_033544950517,,,,,,,,,,,,,u,_033544950517,,,,,
_033544950531,CORONA FAMILIAR 12PK 12z LN,1084974,1084974,,,,a,401 01D 000,Case,24.00,,,u,_033544950531,Master,26.95,0.00,1900-01-01,2075-12-31
_033544950562,CORONA LT 4PK 16z CN,1085685,1085685,,,,a,401 01A 000,Case,24.00,,,u,_033544950562,Master,33.30,0.00,1900-01-01,2075-12-31
_033544950906,MODELO 32Z LN,1097751,1097751,,,,a,401 01J 000,Case,12.00,,,u,_033544950906,Master,35.50,0.00,1900-01-01,2075-12-31
_033544950906,,,,,,,,,,,,,u,_335449509068,,,,,
_034100000059,MILLER HL 24z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,13.69,0.00,2018-12-19,2075-12-31
_034100000059,,,,,,,,,,,,,u,_034100013462,,,,,
_034100000073,MILLER HL 6PK 16z CN,13482,13482,,,,a,401 01B 000,Case,24.00,,,u,_034100000073,Master,15.00,0.00,2018-12-19,2075-12-31
_034100000073,,,,,,,,,,,,,u,_034100013073,,,,,
_034100000080,MILLER HL 32Z CN,1053781,1053781,,,,a,401 01J 000,Case,12.00,,,u,_034100000080,Master,16.80,0.00,2015-11-10,2075-12-31
_034100000097,MILLER HL 40z LN,13483,13483,,,,a,401 01J 000,Case,12.00,,,u,_034100000097,Master,23.94,0.00,1900-01-01,2075-12-31
_034100000097,,,,,,,,,,,,,u,_034100007638,,,,,
_034100000097,,,,,,,,,,,,,u,_034100012403,,,,,
_034100000097,,,,,,,,,,,,,u,_034100016371,,,,,
_034100000165,MILW BEST ICE 6PK 16z CN,56219,56219,,,,a,401 01B 000,Case,24.00,,,u,_034100000165,Master,14.50,0.00,2018-12-19,2075-12-31
_034100000165,,,,,,,,,,,,,u,_034100303075,,,,,
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,19.25,0.00,1900-01-01,2075-12-31
_034100000318,,,,,,,,,,,,,u,_034100012311,,,,,
