ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_020735092644,TEA LEMONADE 16z,1064446,1064446,,,,a,601 07 100,Each,1.00,,,u,_020735092644,Master,1.64,0.00,2014-11-24,2075-12-31
_020735092736,TEA ICED HG,1064438,1064438,,,,a,601 07 100,Each,1.00,,,u,_020735092736,Master,1.64,0.00,2014-11-24,2075-12-31
_020735092767,DAIRY LEMONADE HG,1064436,1064436,,,,a,601 07 100,Each,1.00,,,u,_020735092767,Master,1.64,0.00,2014-11-24,2075-12-31
_020735092798,TEA LEMONADE HG,1064442,1064442,,,,a,601 07 100,Each,1.00,,,u,_020735092798,Master,1.64,0.00,2014-11-24,2075-12-31
_033855000512,DAIRY CIDER 16z,1064373,1064373,,,,a,601 07 100,Each,1.00,,,u,_033855000512,Master,1.64,0.00,2014-11-20,2075-12-31
_041900075323,TRUMOO CHOC ESL PROTEIN 1% MILK,1062031,1062031,,,,a,601 07 410,Each,1.00,,,u,_041900075323,Master,1.61,0.00,2018-10-01,2075-12-31
_041900075330,TRUMOO VANILLA ESL PROTIEN 1% MILK,1062039,1062039,,,,a,601 07 410,Each,1.00,,,u,_041900075330,Master,1.61,0.00,2018-10-01,2075-12-31
_043119003586,MILK 1% CHOCOLATE QT,1064362,1064362,,,,a,601 07 310,Each,1.00,,,u,_041900072865,Master,1.68,0.00,1900-01-01,2075-12-31
_043119003586,,,,,,,,,,,,,u,_041900073237,,,,,
_043119003586,,,,,,,,,,,,,u,_043119003586,,,,,
_043119003586,,,,,,,,,,,,,u,_044100102431,,,,,
_043119003586,,,,,,,,,,,,,u,_075196001148,,,,,
_043119008710,DAIRY YOGURT BLUEBERRY 6z,1064374,1064374,,,,a,601 07 750,Each,1.00,,,u,_043119008710,Master,0.89,0.00,2014-11-21,2075-12-31
_043119008727,DAIRY YOGURT PEACH 6z,1064375,1064375,,,,a,601 07 750,Each,1.00,,,u,_043119008727,Master,0.89,0.00,2014-11-21,2075-12-31
_043119008734,DAIRY YOGURT RASPBERRY 6z,1064376,1064376,,,,a,601 07 750,Each,1.00,,,u,_043119008734,Master,0.89,0.00,2014-11-21,2075-12-31
_043119008741,DAIRY YOGURT STRAWBERRY 6z,1064377,1064377,,,,a,601 07 750,Each,1.00,,,u,_043119008741,Master,0.89,0.00,2014-11-21,2075-12-31
_043119008758,DAIRY YOGURT CHERRY 6z,1064378,1064378,,,,a,601 07 750,Each,1.00,,,u,_043119008758,Master,0.89,0.00,2014-11-21,2075-12-31
_043119008765,DAIRY YOGURT STRAW/BANANA 6z,1064379,1064379,,,,a,601 07 750,Each,1.00,,,u,_043119008765,Master,0.89,0.00,2014-11-21,2075-12-31
_04311906060,BHFARM NF RASPBRY,1064387,1064387,,,,a,601 07 750,Each,1.00,,,u,_043119060602,Master,0.89,0.00,2014-11-21,2075-12-31
_04311906061,BHFARM NF BLKCHRY,1064388,1064388,,,,a,601 07 750,Each,1.00,,,u,_043119060619,Master,0.89,0.00,2014-11-21,2075-12-31
_043119060629,BHFARM NF BLUEBRY,1064389,1064389,,,,a,601 07 750,Each,1.00,,,u,_043119060626,Master,0.89,0.00,2014-11-21,2075-12-31
_043119060636,BHFARM NF PEACH,1064390,1064390,,,,a,601 07 750,Each,1.00,,,u,_043119060633,Master,0.89,0.00,2014-11-21,2075-12-31
_04311906064,BHFARM NF PINEAPL,1064391,1064391,,,,a,601 07 750,Each,1.00,,,u,_043119060640,Master,0.89,0.00,2014-11-21,2075-12-31
_04311906065,BHFARM NF STRWBRY,1064392,1064392,,,,a,601 07 750,Each,1.00,,,u,_043119060657,Master,0.89,0.00,2014-11-21,2075-12-31
_044100100512,DAIRY WHIP CREAM 9.3z,1064423,1064423,,,,a,601 07 495,Each,1.00,,,u,_044100100512,Master,1.80,0.00,2014-11-24,2075-12-31
_044100100628,DAIRY LIGHT CREAM,1064429,1064429,,,,a,601 07 410,Each,1.00,,,u,_044100100628,Master,1.26,0.00,2014-11-24,2075-12-31
_044100100666,DAIRY WHIP CREAM 14z,1064420,1064420,,,,a,601 07 495,Each,1.00,,,u,_044100100666,Master,1.80,0.00,2014-11-24,2075-12-31
