ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_041900075323,TRUMOO CHOC ESL PROTEIN 1% MILK,1062031,1062031,,,,a,601 07 410,Each,1.00,,,u,_041900075323,Master,1.61,0.00,1900-01-01,2075-12-31
_041900075330,TRUMOO VANILLA ESL PROTIEN 1% MILK,1062039,1062039,,,,a,601 07 410,Each,1.00,,,u,_041900075330,Master,1.61,0.00,2014-10-29,2075-12-31
_829691000010,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.10,0.00,1900-01-01,2075-12-31
_829691000010,,,,,,,,,,,,,u,_033383974750,,,,,
_829691000010,,,,,,,,,,,,,u,_033383979212,,,,,
_829691000010,,,,,,,,,,,,,u,_041163002401,,,,,
_829691000010,,,,,,,,,,,,,u,_094922764119,,,,,
_829691000010,,,,,,,,,,,,,u,_101210121681,,,,,
_829691000010,,,,,,,,,,,,,u,_616978127771,,,,,
_829691000010,,,,,,,,,,,,,u,_616978127795,,,,,
_829691000010,,,,,,,,,,,,,u,_655504003295,,,,,
_829691000010,,,,,,,,,,,,,u,_663413010013,,,,,
_829691000010,,,,,,,,,,,,,u,_679432007019,,,,,
_829691000010,,,,,,,,,,,,,u,_785385100049,,,,,
_829691000010,,,,,,,,,,,,,u,_798304035308,,,,,
_829691000010,,,,,,,,,,,,,u,_829691000010,,,,,
_829691000010,,,,,,,,,,,,,u,_832972001019,,,,,
_829691000010,,,,,,,,,,,,,u,_836115000013,,,,,
_829691000010,,,,,,,,,,,,,u,_836115000068,,,,,
_829691000010,,,,,,,,,,,,,u,_837654206003,,,,,
_829691000010,,,,,,,,,,,,,u,_855205001006,,,,,
_829691000010,,,,,,,,,,,,,u,_973700502092,,,,,
_829691000447,FOUR ROSE BOUQUET - HOLIDAY,140040,140040,,,,a,601 34 007,Each,1.00,,,u,_829691000447,Master,10.00,0.00,1900-01-01,2075-12-31
_829691000447,,,,,,,,,,,,,u,_836115000303,,,,,
_829691100024,TWO ROSE BOUQUET,21015,21015,,,,a,601 34 007,Each,1.00,,,u,_616978137770,Master,4.90,0.00,2007-10-15,2075-12-31
_829691100024,,,,,,,,,,,,,u,_655504106996,,,,,
_829691100024,,,,,,,,,,,,,u,_679432007026,,,,,
_829691100024,,,,,,,,,,,,,u,_829691000027,,,,,
_829691100024,,,,,,,,,,,,,u,_829691100024,,,,,
_829691100024,,,,,,,,,,,,,u,_832972001026,,,,,
_829691100024,,,,,,,,,,,,,u,_836115000518,,,,,
_829691100024,,,,,,,,,,,,,u,_836115000563,,,,,
_829691100031,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,4.90,0.00,1900-01-01,2075-12-31
_829691100031,,,,,,,,,,,,,u,_616978157778,,,,,
_829691100031,,,,,,,,,,,,,u,_616978158775,,,,,
_829691100031,,,,,,,,,,,,,u,_655504006999,,,,,
_829691100031,,,,,,,,,,,,,u,_663413030011,,,,,
_829691100031,,,,,,,,,,,,,u,_679432007040,,,,,
_829691100031,,,,,,,,,,,,,u,_829691100031,,,,,
_829691100031,,,,,,,,,,,,,u,_832972001156,,,,,
_829691100031,,,,,,,,,,,,,u,_836115000037,,,,,
_829691100031,,,,,,,,,,,,,u,_836115000082,,,,,
_829691100031,,,,,,,,,,,,,u,_837654206027,,,,,
_829691100031,,,,,,,,,,,,,u,_855205001013,,,,,
_829691100062,HALF DOZEN ROSES,158809,158809,,,,a,601 34 007,Each,1.00,,,u,_033383974811,Master,10.00,0.00,1900-01-01,2075-12-31
_829691100062,,,,,,,,,,,,,u,_616978147779,,,,,
