ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,1900-01-01,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,1900-01-01,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,1900-01-01,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,9.00,0.00,1900-01-01,2075-12-31
_016571940331,SPARKLING ICE CNUT PNAPL 17Z,32006587,32006587,,,,a,601 11 000,Case,12.00,,,u,_016571940331,Master,10.00,0.00,1900-01-01,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,9.00,0.00,1900-01-01,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,1900-01-01,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,1900-01-01,2075-12-31
_016571952679,SPARKLING ICE GRP RASP 17Z,32006592,32006592,,,,a,601 11 000,Case,12.00,,,u,_016571952679,Master,10.00,0.00,1900-01-01,2075-12-31
_018200000089,BUD 32Z LN,16364,16364,,,,a,401 01J 000,Case,12.00,,,u,_018200000089,Master,28.90,0.00,1900-01-01,2075-12-31
_018200006142,BUSCH N/A 12PK 12Z CN,32809,32809,,,,a,401 02B 000,Case,24.00,,,u,_018200006142,Master,17.95,0.00,1900-01-01,2075-12-31
_018200006708,MICHELOB GLDN LT 6PK 12Z LN,34205,34205,,,,a,401 01B 000,Case,24.00,,,u,_018200006708,Master,22.10,0.00,1900-01-01,2075-12-31
_018200006937,MICHELOB GLDN LT 12PK 12Z CN,17692,17692,,,,a,401 01D 000,Case,24.00,,,u,_018200006937,Master,20.40,0.00,1900-01-01,2075-12-31
_018200007842,ODOULS N/A 6PK 12Z LN,13493,13493,,,,a,401 02A 000,Case,24.00,,,u,_018200007842,Master,22.35,0.00,1900-01-01,2075-12-31
_018200008016,BUSCH LT 12PK 12Z CN,13461,13461,,,,a,401 01D 000,Case,24.00,,,u,_018200008016,Master,17.05,0.00,1900-01-01,2075-12-31
_018200008337,BUD LT 6PK 12Z LN,14091,14091,,,,a,401 01B 000,Case,24.00,,,u,_018200001697,Master,22.10,0.00,1900-01-01,2075-12-31
_018200008337,,,,,,,,,,,,,u,_018200008337,,,,,
_018200008344,BUD 6PK 12Z LN,13439,13439,,,,a,401 01B 000,Case,24.00,,,u,_018200001680,Master,22.10,0.00,1900-01-01,2075-12-31
_018200008344,,,,,,,,,,,,,u,_018200008344,,,,,
_018200008344,,,,,,,,,,,,,u,_018200110368,,,,,
_018200009747,MICHELOB AMB BOCK 6PK 12Z LN,40718,40718,,,,a,401 01B 000,Case,24.00,,,u,_018200000553,Master,26.60,0.00,1900-01-01,2075-12-31
_018200009747,,,,,,,,,,,,,u,_018200009747,,,,,
_018200029929,ODOULS N/A AMB 6PK 12Z LN,64894,64894,,,,a,401 02A 000,Case,24.00,,,u,_018200029929,Master,22.35,0.00,1900-01-01,2075-12-31
_018200039829,ODOULS AMBER 12PK 12Z CN,32000083,32000083,,,,a,401 01D 000,Case,24.00,,,u,_018200039829,Master,21.40,0.00,1900-01-01,2075-12-31
_018200059896,MICHELOB ULTRA 6PK 12Z LN,121492,121492,,,,a,401 01B 000,Case,24.00,,,u,_018200059896,Master,26.60,0.00,1900-01-01,2075-12-31
_018200110474,BUD 12PK 12Z CN,13441,13441,,,,a,401 01D 000,Case,24.00,,,u,_018200110474,Master,20.40,0.00,1900-01-01,2075-12-31
_018200139864,SHOCK TOP ALE 6PK 12Z LN,175897,175897,,,,a,401 01B 000,Case,24.00,,,u,_018200139864,Master,25.65,0.00,1900-01-01,2075-12-31
_018200149900,BUD LT LIME 12PK 12Z LN,176527,176527,,,,a,401 01D 000,Case,24.00,,,u,_018200149900,Master,24.15,0.00,1900-01-01,2075-12-31
_018200149917,BUD LT LIME 6PK 12Z LN,176526,176526,,,,a,401 01B 000,Case,24.00,,,u,_018200149917,Master,26.60,0.00,1900-01-01,2075-12-31
_018200150470,NATURAL LT 12PK 12Z CN,13492,13492,,,,a,401 01D 000,Case,24.00,,,u,_018200150470,Master,14.80,0.00,1900-01-01,2075-12-31
_018200159831,BUD LT LIME 12PK 12Z CN,179728,179728,,,,a,401 01D 000,Case,24.00,,,u,_018200159831,Master,24.15,0.00,1900-01-01,2075-12-31
_018200159961,BUD SELECT 55 6PK 12Z LN,181446,181446,,,,a,401 01B 000,Case,24.00,,,u,_018200159961,Master,22.10,0.00,1900-01-01,2075-12-31
_018200159978,BUD SELECT 55 12PK 12Z LN,182086,182086,,,,a,401 01D 000,Case,24.00,,,u,_018200159978,Master,20.40,0.00,1900-01-01,2075-12-31
_018200169816,BUD SELECT 55 12PK 12Z CN,1065719,1065719,,,,a,401 01D 000,Case,24.00,,,u,_018200169816,Master,20.40,0.00,1900-01-01,2075-12-31
_018200189920,BUD LT PLATINUM 12PK 12Z LN,192905,192905,,,,a,401 01D 000,Case,24.00,,,u,_018200189920,Master,24.15,0.00,1900-01-01,2075-12-31
_018200189937,BUD LT PLATINUM 6PK 12Z LN,192906,192906,,,,a,401 01B 000,Case,24.00,,,u,_018200189937,Master,26.60,0.00,1900-01-01,2075-12-31
_018200200502,TVANA PEACH GREEN TEA 14.5z,1083260,1083260,,,,a,601 14A 000,Case,12.00,,,u,_018200200502,Master,20.58,0.00,1900-01-01,2075-12-31
