ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_003627,SSA PPD WINTER GCARD IGLOO WREATH,9175446,175446,,,,a,64 01 000,Case,100.00,,,,,Master,0.03,0.00,1900-01-01,2075-12-31
_003627,,,,,,,,,,,,,,,Rhode Island,0.03,0.00,2017-10-19,2075-12-31
_003627,,,,,,,,,,,,,,,New Hampshire,0.03,0.00,2017-10-19,2075-12-31
_003627,,,,,,,,,,,,,,,Connecticut,0.03,0.00,2017-10-19,2075-12-31
_003627,,,,,,,,,,,,,,,Massachusetts High Cigar,0.03,0.00,2017-10-19,2075-12-31
_003627,,,,,,,,,,,,,,,MA Filtered Cigar,0.03,0.00,2017-10-19,2075-12-31
_003627,,,,,,,,,,,,,,,MA Orleans High Cigar,0.03,0.00,2017-10-19,2075-12-31
_062794,i/aBON APP CROISSANT CHEESE 5 OZ,186844,186844,,,*UNAVAILABLE*,a,231 03 001,Each,1.00,,,,,Master,1.05,0.00,2015-03-18,2075-12-31
_070730,REDDI WHIP 6.5z,x2-1082476,1082476,,,*UNAVAILABLE*,a,212 20 001,Case,12.00,,,,,Master,24.01,0.00,1900-01-01,2075-12-31
_1080202,HIO CROISSANTS TRANSFER SKU,1080202,1080202,,,,a,231 05 006,Each,1.00,,,,,Master,0.71,0.00,1900-01-01,2075-12-31
_151297,HOT CUP SPEEDWAY 12z,x3-186094,186094,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,15.00,0.00,1900-01-01,2075-12-31
_151327,HOT CUP SPEEDWAY 24z,x3-126311,126311,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,23.31,0.00,1900-01-01,2075-12-31
_152257,SSA PPD WINTER GCARD SPDWY PPRMNT SNOWFLK,X3-175446,175446,,,,a,64 01 000,Case,100.00,,,,,Master,0.03,0.00,1900-01-01,2075-12-31
_152257,,,,,,,,,,,,,,,Rhode Island,0.03,0.00,2018-10-04,2075-12-31
_152257,,,,,,,,,,,,,,,New Hampshire,0.03,0.00,2018-10-04,2075-12-31
_152257,,,,,,,,,,,,,,,Connecticut,0.03,0.00,2018-10-04,2075-12-31
_152257,,,,,,,,,,,,,,,Massachusetts High Cigar,0.03,0.00,2018-10-04,2075-12-31
_152257,,,,,,,,,,,,,,,MA Filtered Cigar,0.03,0.00,2018-10-04,2075-12-31
_152257,,,,,,,,,,,,,,,MA Orleans High Cigar,0.03,0.00,2018-10-04,2075-12-31
_152807,MCL HTPR CUP LID LHRDSB16/12-24OZ,10190450,10190450,,,,a,212 02 000,Case,1000.00,,,,,Master,34.29,0.00,1900-01-01,2075-12-31
_152807,,,,,,,,,,,,,,,Rhode Island,34.29,0.00,2018-11-01,2075-12-31
