ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000620,VOSS WATER 28.7z,10171282,10171282,,,,a,601 10 000,Case,12.00,,,u,_682430400119,Master,0.00,0.00,2016-01-18,2075-12-31
_001305,POWERBAR GEL BLAST RASP,182455,182455,,,,a,601 04 000,Case,12.00,,,u,_097421130034,Master,0.00,0.00,2016-01-18,2075-12-31
_003681,DM CORONA UPRIGHT GRAPE,10152664,10152664,,,,a,601 01 250,Case,50.00,,,u,_071610499157,Master,47.24,0.00,1900-01-01,2075-12-31
_003681,,,,,,,,,,,,,,,North Carolina,0.00,0.00,2015-12-15,2075-12-31
_003681,,,,,,,,,,,,,,,South Carolina,0.00,0.00,2015-12-15,2075-12-31
_004366,CRYSTAL LIGHT OTG LEMONADE,158051,158051,,,,a,601 33 100,Case,30.00,,,u,_000004384502,Master,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,u,_043000007969,North Carolina,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,South Carolina,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 1.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 2.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 3.00,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 3.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 4.00,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 4.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 5.00,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 5.40,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 7.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 8.50,6.32,0.00,2016-01-28,2075-12-31
_004366,,,,,,,,,,,,,,,VA - 9.00,6.32,0.00,2016-01-28,2075-12-31
_004523,HERSHEY REESES CRISPY CRUNCHY KING,169009,169009,,,*UNAVAILABLE*,a,601 02 220,Case,18.00,,,u,_034000490066,Master,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,u,_034000490073,North Carolina,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,South Carolina,19.10,0.00,2016-01-20,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 1.50,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 2.50,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 3.00,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 3.50,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 4.00,19.10,0.00,2016-01-21,2075-12-31
_004523,,,,,,,,,,,,,,,VA - 4.50,19.10,0.00,2016-01-21,2075-12-31
