ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_005607,SSA PPD WINTER GCARD SAND WREATH,175446,175446,,,,a,64 01 000,Case,100.00,,,,,Master,0.03,0.00,1900-01-01,2075-12-31
_014746,CARMEL MACCHIATO BOTTLE 32Z,1082300,1082300,,,,a,212 02 000,Case,12.00,,,,,Master,34.35,0.00,2018-07-01,2075-12-31
_015787,SPEEDWAY CUP HOLIDAY 24Z,x1-126311,126311,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,23.52,0.00,1900-01-01,2075-12-31
_062794,i/aBON APP CROISSANT CHEESE 5 OZ,186844,186844,,,*UNAVAILABLE*,a,231 03 001,Each,1.00,,,,,Master,1.24,0.00,1900-01-01,2075-12-31
_098350,COMCAPP HOT APPLE CIDER,1075554,1075554,,,*UNAVAILABLE*,a,212 02 001,Case,6.00,,,,,Master,15.68,0.00,2016-06-23,2075-12-31
_099757,FREAL COTTON CANDY,1087755,1087755,,,,a,215 07 002,Case,12.00,,,,,Master,18.87,0.00,2018-06-21,2075-12-31
_1080200,HIO COFFEE CAKE TRANSFER SKU,1080200,1080200,,,,a,231 05 006,Each,1.00,,,,,Master,1.47,0.00,1900-01-01,2075-12-31
_1080202,HIO CROISSANTS TRANSFER SKU,1080202,1080202,,,,a,231 05 006,Each,1.00,,,,,Master,0.71,0.00,1900-01-01,2075-12-31
_1080204,HIO FANCIES TRANSFER SKU,1080204,1080204,,,,a,231 05 006,Each,1.00,,,,,Master,0.37,0.00,1900-01-01,2075-12-31
_1080207,HIO MUNCHKINS TRANSFER SKU,1080207,1080207,,,,a,231 05 006,Each,1.00,,,,,Master,0.10,0.00,1900-01-01,2075-12-31
_151317,HOT CUP SPEEDWAY 16z,x3-89560,89560,,,*UNAVAILABLE*,a,212 02 000,Case,1000.00,,,,,Master,30.12,0.00,1900-01-01,2075-12-31
_151327,HOT CUP SPEEDWAY 24z,x3-126311,126311,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,23.31,0.00,1900-01-01,2075-12-31
_152807,MCL HTPR CUP LID LHRDSB16/12-24OZ,10190450,10190450,,,,a,212 02 000,Case,1000.00,,,,,Master,34.29,0.00,1900-01-01,2075-12-31
_154856,PERF SERV SUGAR (BULK),20002763,20002763,,,,a,212 05 000,Case,6.00,,,,,Master,32.38,0.00,1900-01-01,2075-12-31
_155051,DENTYNE ICE SPEARMINT 12ct,53540,53540,,,,a,601 02A 126,Case,9.00,,,,,Master,7.04,0.00,2019-01-01,2075-12-31
_188257,BUN RACK COVER CLEAR,1099905,1099905,,,,a,94 01 000,Each,1.00,,,,,Master,16.54,3.68,2019-01-28,2075-12-31
_192732,NAPKIN DISPENSER 7X13,985738,85738,,,*UNAVAILABLE*,a,Default,Case,625.00,,,,,Master,33.83,0.00,1900-01-01,2075-12-31
_193003,PF MPL DNT ASST DONUTS #3,1064519,1064519,,,,a,231 05 001,Case,24.00,,,,,Master,13.12,0.00,1900-01-01,2075-12-31
_193045,i/aG2G GLAZE DONUT HOLE REC,1064521,1064521,,,,a,231 01 000,Case,288.00,,,,,Master,0.09,0.00,1900-01-01,2075-12-31
_231431,ICED COFFEE PREMIUM BLACK,1056541,1056541,,,,a,212 06 001,Each,1.00,,,,,Master,52.35,25.70,2016-07-07,2075-12-31
_279554,DAVID CH CHOC CHIP MUFFIN 6z,1066215,1066215,,,,a,231 06 002,Case,12.00,,,,,Master,11.23,0.00,1900-01-01,2075-12-31
_279638,DAVID BLUEBERRY MUFFIN 6z,1066217,1066217,,,,a,231 06 002,Case,12.00,,,,,Master,11.23,0.00,1900-01-01,2075-12-31
_307926,GLOVES MED PF SYNTH si,91051380,1051380,,,*UNAVAILABLE*,a,94 01 000,Case,100.00,,,,,Master,4.66,0.00,2016-04-21,2075-12-31
_307959,GLOVES XLRG PF SYNTH si,91051381,1051381,,,*UNAVAILABLE*,a,94 01 000,Case,100.00,,,,,Master,4.66,0.00,2016-04-07,2075-12-31
_316406,KNIFE WHT MED WRAP 1000 CT,10173749,10173749,,,,a,218 04 000,Case,1000.00,,,,,Master,18.48,0.00,2017-10-26,2075-12-31
_335455,TROPICS MANGO 2G,1076430,1076430,,,,a,215 21 001,Each,1.00,,,,,Master,32.34,0.00,1900-01-01,2075-12-31
_340315,GEHLS CHILI W/HOSES,x1-20002708,20002708,,,*UNAVAILABLE*,a,218 02 001,Case,5.00,,,,,Master,46.76,0.00,2018-03-01,2075-12-31
_353193,FF SALSA PPI DEL SOL,10149435,10149435,,,,a,218 04 000,Case,200.00,,,,,Master,13.47,0.30,2019-01-10,2075-12-31
_369280,MTC WHOLE PEPP PIZZA HOT,9180697,180697,,,*UNAVAILABLE*,a,221 05 103,Case,15.00,,,,,Master,56.63,0.00,1900-01-01,2075-12-31
_372342,BULK CHEESE SAUCE,x1-164329,164329,,,*UNAVAILABLE*,a,218 02 001,Case,4.00,,,,,Master,28.03,1.53,2018-03-01,2075-12-31
_378877,CUP FUNNEL PAPER 125ct,10061043,10061043,,,,a,77 01 000,Case,125.00,,,,,Master,7.05,0.00,2019-01-01,2075-12-31
_384230,SNY SKY PEACH 2PK SYRUP,x1-183970,183970,,,*UNAVAILABLE*,a,215 02 001,Each,1.00,,,,,Master,4.73,3.76,2017-12-28,2075-12-31
_387415,LOBBY BROOM,10001137,10001137,,,*UNAVAILABLE*,a,77 01 000,Each,1.00,,,,,Master,10.06,0.00,2017-10-26,2075-12-31
_389247,SQUEEGEE HEAD,34865,34865,,,,a,77 01 240,Each,1.00,,,,,Master,1.87,0.00,2017-10-26,2075-12-31
_393777,BAG PPR BRWN SHORT 40RCYC,910001121,10001121,,,*UNAVAILABLE*,a,77 01 000,Case,500.00,,,,,Master,45.78,0.00,1900-01-01,2075-12-31
_393876,KRAFT PAPER BAG 4 LB si,910191433,10191433,,,*UNAVAILABLE*,a,77 01 000,Case,500.00,,,,,Master,17.18,0.00,1900-01-01,2075-12-31
_416248,COFFEE POT BRUSH,80948,80948,,,,a,94 01 000,Each,1.00,,,,,Master,1.41,0.32,2018-07-03,2075-12-31
_419168,HAWAIIAN MACADAMIA NUT 2.5OZ 24PK,10196912,10196912,,,,a,212 05 000,Case,24.00,,,,,Master,16.68,0.00,1900-01-01,2075-12-31
_420141,HEINZ TACO SCE/9 GM,10166857,10166857,,,*UNAVAILABLE*,a,218 04 000,Case,200.00,,,,,Master,10.01,0.31,2017-10-19,2075-12-31
_430116,FOOD SERVICE GLOVES EX LARGE si,9181652,181652,,,*UNAVAILABLE*,a,Default,Case,500.00,,,,,Master,2.39,0.00,1900-01-01,2075-12-31
_431916,BIB FCB MT DEW PITCH BLACK 3G,1077404,1077404,,,,a,215 03 001,Each,1.00,,,,,Master,52.82,0.00,2018-01-01,2075-12-31
_444331,COFFEE STIR STRAW,1056076,1056076,,,,a,212 02 000,Case,500.00,,,,,Master,1.39,0.82,2018-01-01,2075-12-31
_462846,CLUX DELUX CHKN BRST FILET,1065790,1065790,,,,a,218 04 000,Case,2.00,,,,,Master,47.50,0.00,1900-01-01,2075-12-31
_466342,GRAY BUCKET 10QT,1071416,1071416,,,,a,77 01 000,Each,1.00,,,,,Master,13.64,0.00,2017-11-01,2075-12-31
_467282,RBRMD THRD WD HANDLE,10001187,10001187,,,*UNAVAILABLE*,a,77 01 000,Each,1.00,,,,,Master,3.81,0.00,2017-10-26,2075-12-31
_475319,JMB RLL BTH TISS SCOTT,1076451,1076451,,,,a,77 01 000,Case,12.00,,,,,Master,35.36,0.00,2019-01-17,2075-12-31
_475582,HARD ROLL TOWEL,1076694,1076694,,,,a,77 01 000,Case,6.00,,,,,Master,34.84,0.00,2019-01-17,2075-12-31
_483628,DANNON GREEK OIKOS STRAWBERRY SS 5.3z,10197460,10197460,,,,a,601 07 750,Each,1.00,,,,,Master,1.19,0.00,1900-01-01,2075-12-31
_490086,TEA BAGS ENGLISH BREAKFAST,179827,179827,,,,a,212 02 001,Case,28.00,,,,,Master,3.05,0.00,2017-10-26,2075-12-31
_505537,FOOD SERVICE GLOVES EX LARGE,181652,181652,,,,a,77 01 000,Each,1.00,,,,,Master,2.48,0.00,2017-10-26,2075-12-31
_505636,DISPOSABLE POLY GLOVE SM,173631,173631,,,,a,94 01 000,Each,1.00,,,,,Master,2.48,0.00,2017-10-26,2075-12-31
_505693,POLY GLOVES EMBSSD LRG,186254,186254,,,,a,77 01 230 Gloves,Each,1.00,,,,,Master,2.48,0.00,2017-10-26,2075-12-31
_511550,MM1110 RED LABEL FEB1/17000 CT,10001292,10001292,,,,a,77 01 000,Each,1.00,,,,,Master,12.06,0.00,2019-01-01,2075-12-31
_518340,CLOROX FSCNT WIPE,181690,181690,,,,a,601 23 101,Each,1.00,,,,,Master,2.46,0.00,1900-01-01,2075-12-31
