ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000083,J LINKS PORK JRKY BBQ 2.85Z,91075563,1075563,,,*UNAVAILABLE*,a,601 04C 130,Carton,6.00,,,u,_017082876102,Master,25.90,0.00,1900-01-01,2075-12-31
_000167,KENS HONEY MUSTARD SAUCE,x2-184659,184659,,,*UNAVAILABLE*,a,221 21 101,Each,1.00,,,u,_041335363705,Master,3.73,0.00,1900-01-01,2075-12-31
_000570,KAMEL RED BX 100 B1G$0.50 OFF,1054774,1054774,,,*UNAVAILABLE*,a,501 01 800,Carton,10.00,,,u,_012300114493,Master,45.64,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,u,_012300114509,Delaware,55.36,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,,,VA - 1.20,43.84,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,,,VA - 2.00,44.64,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,,,VA - 3.00,45.64,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,,,VA - 11.50,55.24,5.00,2017-03-23,2075-12-31
_000620,VOSS WATER 28.7z,10171282,10171282,,,,a,601 10 000,Case,12.00,,,u,_682430400119,Master,0.00,0.00,2016-01-18,2075-12-31
_001837,GRIZZLY DARK SELECT L/C~ 5-Pack,1085512,1085512,,,,a,601 01 400,Box,5.00,,,u,_042100012200,Master,14.60,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,u,_042100012217,Delaware,19.04,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,,,VA - 1.20,14.60,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,,,VA - 2.00,14.60,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,,,VA - 3.00,14.60,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,,,VA - 11.50,14.60,0.00,2018-11-22,2075-12-31
_002956,KRAFT EASY MAC TRIPLE CHZ 2.0z,168867,168867,,,,a,601 33 11,Each,1.00,,,u,_021000010882,Master,1.13,0.00,2017-11-16,2075-12-31
_002956,,,,,,,,,,,,,,,Delaware,1.13,0.00,2017-11-16,2075-12-31
_002956,,,,,,,,,,,,,,,VA - 1.20,1.13,0.00,2017-11-16,2075-12-31
_002956,,,,,,,,,,,,,,,VA - 2.00,1.13,0.00,2017-11-16,2075-12-31
_002956,,,,,,,,,,,,,,,VA - 3.00,1.13,0.00,2017-11-16,2075-12-31
_002956,,,,,,,,,,,,,,,VA - 11.50,1.13,0.00,2017-11-16,2075-12-31
_003483,TWIX YARD BAR 18PK,1082765,1082765,,,*UNAVAILABLE*,a,601 02W 100,Case,12.00,,,u,_040000490722,Master,136.22,0.00,1900-01-01,2075-12-31
_003483,,,,,,,,,,,,,u,_040000505167,,,,,
_004093,J LINKS WILD STICKS MLD,9182496,182496,,,*UNAVAILABLE*,a,601 04C 200,Case,24.00,,,u,_017082879820,Master,34.44,0.00,1900-01-01,2075-12-31
_004093,,,,,,,,,,,,,u,_017082879837,Delaware,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,u,_017082897800,VA - 1.20,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,,,VA - 2.00,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,,,VA - 3.00,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,,,VA - 11.50,34.44,0.00,2016-02-04,2075-12-31
