ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000083,J LINKS PORK JRKY BBQ 2.85Z,91075563,1075563,,,*UNAVAILABLE*,a,601 04C 130,Carton,6.00,,,u,_017082876102,Master,25.90,0.00,1900-01-01,2075-12-31
_000167,KENS HONEY MUSTARD SAUCE,x2-184659,184659,,,*UNAVAILABLE*,a,221 21 101,Each,1.00,,,u,_041335363705,Master,3.73,0.00,1900-01-01,2075-12-31
_000596,KAMEL RED SMTH BX 100 B1G$0.50 OFF,1054775,1054775,,,*UNAVAILABLE*,a,501 01 800,Carton,10.00,,,u,_012300114523,Master,84.59,5.00,2017-03-23,2075-12-31
_000596,,,,,,,,,,,,,u,_012300114530,New York City,99.82,5.00,2017-03-23,2075-12-31
_000857,TROLLI SR BRT WATERMELON PEG 7.2z,1082950,1082950,,,,a,601 02B 000,Each,1.00,,,u,_041420024115,Master,1.25,0.00,1900-01-01,2075-12-31
_000857,,,,,,,,,,,,,u,_041420110238,New York City,1.25,0.00,2017-09-28,2075-12-31
_000984,CHARMS SUPER BLOW POP 1.125z,170309,170309,,,,a,601 02K 000,Case,48.00,,,u,_014200008568,Master,8.42,0.00,2015-12-10,2075-12-31
_000984,,,,,,,,,,,,,u,_014200328567,New York City,8.42,0.00,2015-12-10,2075-12-31
_000984,,,,,,,,,,,,,u,_014200338566,,,,,
_001081,LS HAM & CHEESE WEDGE,10179347,10179347,,,,a,221 02 105,Case,12.00,,,u,_097488000400,Master,16.57,0.00,2015-12-10,2075-12-31
_001164,LS TUNA SALAD WEDGE 4.50 OZ,10180324,10180324,,,,a,221 02 100,Case,12.00,,,u,_097488000479,Master,16.84,0.00,2015-12-10,2075-12-31
_001305,POWERBAR GEL BLAST RASP,182455,182455,,,,a,601 04 000,Case,12.00,,,u,_097421130034,Master,13.38,0.00,1900-01-01,2075-12-31
_001487,POWERBAR GEL BLAST STW BAN,182454,182454,,,,a,601 04 000,Case,12.00,,,u,_097421150056,Master,13.38,0.00,1900-01-01,2075-12-31
_001602,ARMOR ALL GLASS WIPES,1079393,1079393,,,,a,601 20B 01,Each,1.00,,,u,_070612172402,Master,0.72,0.00,1900-01-01,2075-12-31
_001837,GRIZZLY DARK SELECT L/C~ 5-Pack,1085512,1085512,,,,a,601 01 400,Box,5.00,,,u,_042100012200,Master,25.52,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,u,_042100012217,New York City,29.52,0.00,2018-11-22,2075-12-31
_002917,CAL SCENTS CAN CHRY,166870,166870,,,,a,601 20B 000,Each,1.00,,,u,_091400003227,Master,1.87,0.00,1900-01-01,2075-12-31
_002917,,,,,,,,,,,,,u,_091400016494,New York City,1.87,0.00,2018-07-26,2075-12-31
_002956,KRAFT EASY MAC TRIPLE CHZ 2.0z,168867,168867,,,,a,601 33 11,Each,1.00,,,u,_021000010882,Master,1.13,0.00,2017-07-20,2075-12-31
_002956,,,,,,,,,,,,,,,New York City,1.13,0.00,2017-07-08,2075-12-31
_003012,i/a2 PLY CENTER PULL TOWEL/600 FT,10099595,10099595,,,*UNAVAILABLE*,a,77 01 000,Each,1.00,,,u,_013796312332,Master,45.88,0.00,1900-01-01,2075-12-31
_003020,KRAFT EASY MAC ORIG 2.05z,168866,168866,,,,a,601 33 11,Each,1.00,,,u,_021000010875,Master,1.13,0.00,2017-07-20,2075-12-31
_003020,,,,,,,,,,,,,,,New York City,1.13,0.00,2017-07-08,2075-12-31
