ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000857,TROLLI SR BRT WATERMELON PEG 7.2z,1082950,1082950,,,,a,601 02B 000,Each,1.00,,,u,_041420024115,Master,1.25,0.00,1900-01-01,2075-12-31
_000857,,,,,,,,,,,,,u,_041420110238,New Jersey,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,,,,Delaware,1.25,0.00,2017-09-28,2075-12-31
_000857,,,,,,,,,,,,,,,Philadelphia,1.25,0.00,2017-09-28,2075-12-31
_000947,OBERTO PEPRNI JRKY 2.2z,1086376,1086376,,,,a,601 04C 210,Each,1.00,,,u,_070411607846,Master,4.39,0.00,1900-01-01,2075-12-31
_000947,,,,,,,,,,,,,,,New Jersey,4.39,0.00,2018-01-04,2075-12-31
_000947,,,,,,,,,,,,,,,Delaware,4.39,0.00,2018-01-04,2075-12-31
_000947,,,,,,,,,,,,,,,Philadelphia,4.39,0.00,2018-01-04,2075-12-31
_001487,POWERBAR GEL BLAST STW BAN,182454,182454,,,,a,601 04 000,Case,12.00,,,u,_097421150056,Master,13.38,0.00,1900-01-01,2075-12-31
_001487,,,,,,,,,,,,,,,New Jersey,13.38,0.00,2015-05-14,2075-12-31
_001487,,,,,,,,,,,,,,,Delaware,13.38,0.00,2015-05-14,2075-12-31
_001669,ROYAL COMFORT SWEET 2 FOR $.99,1054493,1054493,,,*UNAVAILABLE*,a,601 01 250,Case,15.00,,,u,_070137212102,Master,7.22,0.00,2017-09-01,2075-12-31
_001669,,,,,,,,,,,,,u,_070137512103,New Jersey,9.38,0.00,2017-09-01,2075-12-31
_001669,,,,,,,,,,,,,,,Delaware,9.83,0.00,2017-10-05,2075-12-31
_001669,,,,,,,,,,,,,,,Philadelphia,7.22,0.00,2017-09-01,2075-12-31
_002014,SKITTLES FRUIT PEG si,815584,15584,,,*UNAVAILABLE*,a,601 02B 000,Each,1.00,,,u,_040000140924,Master,1.25,0.00,2015-12-24,2075-12-31
_002014,,,,,,,,,,,,,u,_040000155607,New Jersey,1.25,0.00,2015-12-24,2075-12-31
_002014,,,,,,,,,,,,,,,Delaware,1.25,0.00,2015-12-24,2075-12-31
_002014,,,,,,,,,,,,,,,Philadelphia,1.25,0.00,2015-12-24,2075-12-31
_003012,i/a2 PLY CENTER PULL TOWEL/600 FT,10099595,10099595,,,*UNAVAILABLE*,a,77 01 000,Each,1.00,,,u,_013796312332,Master,45.88,0.00,1900-01-01,2075-12-31
_003178,DM CGRL GRAPE 5CT,10169531,10169531,,,,a,601 01 200,Case,5.00,,,u,_071610503748,Master,17.53,0.00,2015-05-14,2075-12-31
_003178,,,,,,,,,,,,,,,New Jersey,22.48,0.00,2015-05-14,2075-12-31
_003178,,,,,,,,,,,,,,,Delaware,20.01,0.00,2015-05-14,2075-12-31
_003178,,,,,,,,,,,,,,,Philadelphia,17.53,0.00,2015-05-14,2075-12-31
_003483,TWIX YARD BAR 18PK,1082765,1082765,,,*UNAVAILABLE*,a,601 02W 100,Case,12.00,,,u,_040000490722,Master,136.22,0.00,1900-01-01,2075-12-31
_003483,,,,,,,,,,,,,u,_040000505167,,,,,
_003687,TIC TAC MIXERS STRWBRY BAN,1085811,1085811,,,,a,601 02A 510,Box,12.00,,,u,_009800001651,Master,9.50,0.00,1900-01-01,2075-12-31
_003687,,,,,,,,,,,,,u,_009800057115,New Jersey,9.50,0.00,2018-07-26,2075-12-31
_003687,,,,,,,,,,,,,,,Delaware,9.50,0.00,2018-07-26,2075-12-31
_003687,,,,,,,,,,,,,,,Philadelphia,9.50,0.00,2018-07-26,2075-12-31
_004093,J LINKS WILD STICKS MLD,9182496,182496,,,*UNAVAILABLE*,a,601 04C 200,Case,24.00,,,u,_017082879820,Master,34.44,0.00,1900-01-01,2075-12-31
_004093,,,,,,,,,,,,,u,_017082879837,New Jersey,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,u,_017082897800,Delaware,34.44,0.00,2016-02-04,2075-12-31
_004093,,,,,,,,,,,,,,,Philadelphia,34.44,0.00,2016-02-04,2075-12-31
_004727,STAR WARS EPISODE 8 CHARACTER FAN,1086256,1086256,,,,a,601 02K 000,Box,12.00,,,u,_609454658937,Master,39.80,0.00,2019-01-01,2075-12-31
_004727,,,,,,,,,,,,,u,_609454658944,New Jersey,39.80,0.00,2019-01-01,2075-12-31
_004727,,,,,,,,,,,,,,,Delaware,39.80,0.00,2019-01-01,2075-12-31
_004727,,,,,,,,,,,,,,,Philadelphia,39.80,0.00,2019-01-01,2075-12-31
