ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014597,MCL HTPR CUP LID LHRDSB16/12-24OZ,x1-10190450,10190450,,,*UNAVAILABLE*,a,212 02 000,Case,1200.00,,,,,Master,0.04,0.00,1900-01-01,2075-12-31
_014746,CARMEL MACCHIATO BOTTLE 32Z,1082300,1082300,,,,a,212 02 000,Case,12.00,,,,,Master,33.19,0.00,1900-01-01,2075-12-31
_070730,REDDI WHIP 6.5z,x2-1082476,1082476,,,*UNAVAILABLE*,a,212 20 001,Case,12.00,,,,,Master,24.01,0.00,1900-01-01,2075-12-31
_098350,COMCAPP HOT APPLE CIDER,1075554,1075554,,,*UNAVAILABLE*,a,212 02 001,Case,6.00,,,,,Master,15.68,0.00,2017-07-20,2075-12-31
_098350,,,,,,,,,,,,,,,North Carolina,15.68,0.00,2017-07-20,2075-12-31
_098350,,,,,,,,,,,,,,,Georgia,15.68,0.00,2017-07-20,2075-12-31
_135079,BROOM LARGE ANGLE,116613,116613,,,,a,77 01 120,Each,1.00,,,,,Master,15.72,0.00,1900-01-01,2075-12-31
_174490,POLY GLOVES EMBSSD LRG si,9186254,186254,,,*UNAVAILABLE*,a,77 01 230 Gloves,Case,500.00,,,,,Master,2.39,0.00,2016-01-22,2075-12-31
_188257,BUN RACK COVER CLEAR,1099905,1099905,,,,a,94 01 000,Each,1.00,,,,,Master,16.85,3.68,2019-01-28,2075-12-31
_188257,,,,,,,,,,,,,,,North Carolina,16.54,3.68,2019-01-28,2075-12-31
_188257,,,,,,,,,,,,,,,Georgia,16.66,3.68,2019-01-28,2075-12-31
_193003,PF MPL DNT ASST DONUTS #3,1064519,1064519,,,,a,231 05 001,Case,24.00,,,,,Master,13.12,0.00,1900-01-01,2075-12-31
_231431,ICED COFFEE PREMIUM BLACK,1056541,1056541,,,,a,212 06 001,Each,1.00,,,,,Master,52.55,0.00,1900-01-01,2075-12-31
_279620,DAVID FRENCH TOAST MUFFIN 6z,1066216,1066216,,,,a,231 06 002,Case,12.00,,,,,Master,10.46,0.00,2018-03-15,2075-12-31
_279620,,,,,,,,,,,,,,,North Carolina,10.46,0.00,2018-03-15,2075-12-31
_279620,,,,,,,,,,,,,,,Georgia,10.46,0.00,2018-03-15,2075-12-31
_320887,S&D FILTER PK TEA,20004708,20004708,,,,a,215 05 000,Case,32.00,,,,,Master,12.77,5.36,2018-06-07,2075-12-31
_320887,,,,,,,,,,,,,,,North Carolina,12.77,5.36,2018-06-07,2075-12-31
_320887,,,,,,,,,,,,,,,Georgia,12.77,5.36,2018-06-07,2075-12-31
_335455,TROPICS MANGO 2G,1076430,1076430,,,,a,215 21 001,Each,1.00,,,,,Master,32.34,0.00,1900-01-01,2075-12-31
_335455,,,,,,,,,,,,,,,North Carolina,32.34,0.00,2016-04-14,2075-12-31
_335455,,,,,,,,,,,,,,,Georgia,26.37,5.97,2018-02-08,2075-12-31
_393777,BAG PPR BRWN SHORT 40RCYC,910001121,10001121,,,*UNAVAILABLE*,a,77 01 000,Case,500.00,,,,,Master,45.78,0.00,1900-01-01,2075-12-31
_393827,BAG PPR BRWN 100RCYC,910005694,10005694,,,*UNAVAILABLE*,a,77 01 000,Case,500.00,,,,,Master,13.71,0.00,1900-01-01,2075-12-31
_419168,HAWAIIAN MACADAMIA NUT 2.5OZ 24PK,10196912,10196912,,,,a,212 05 000,Case,24.00,,,,,Master,16.68,0.00,1900-01-01,2075-12-31
_450270,HAUS OCEAN MIST 10 ML 2.4%,1057100,1057100,,,*UNAVAILABLE*,a,601 01 710,Case,6.00,,,,,Master,28.53,0.00,2015-08-01,2075-12-31
_450270,,,,,,,,,,,,,,,North Carolina,0.00,0.00,2015-12-15,2075-12-31
_450270,,,,,,,,,,,,,,,Georgia,26.40,0.00,2016-04-12,2075-12-31
_457655,BALL PARK SMOKED SAUSAGE si,9178148,178148,,,*UNAVAILABLE*,a,218 02 001,Box,2.00,,,,,Master,17.93,0.00,2016-03-03,2075-12-31
_457655,,,,,,,,,,,,,,,North Carolina,17.93,0.00,2016-03-03,2075-12-31
_462556,WEECAL PINK PKTsi,910196577,10196577,,,*UNAVAILABLE*,a,212 05 000,Case,2000.00,,,,,Master,9.58,0.00,1900-01-01,2075-12-31
_462846,CLUX DELUX CHKN BRST FILET,1065790,1065790,,,,a,218 04 000,Case,2.00,,,,,Master,47.03,0.00,1900-01-01,2075-12-31
_469742,KRAFT PAPER BAG 4 LB si,810191433,10191433,,,*UNAVAILABLE*,a,77 01 000,Case,500.00,,,,,Master,9.57,0.00,1900-01-01,2075-12-31
_528448,J DEAN BLAZIN SAUS LINK 6-1 6,20002984,20002984,,,,a,218 04 000,Case,36.00,,,,,Master,16.85,0.00,2017-10-01,2075-12-31
_528448,,,,,,,,,,,,,,,North Carolina,16.85,0.00,2017-10-01,2075-12-31
_528448,,,,,,,,,,,,,,,Georgia,16.85,0.00,2017-10-01,2075-12-31
_532333,CLVRHIL BLUBRY CHSE CLAW 4z,174882,174882,,,,a,231 05 006,Case,12.00,,,,,Master,6.67,0.00,1900-01-01,2075-12-31
_532333,,,,,,,,,,,,,,,North Carolina,6.67,0.00,2016-01-28,2075-12-31
_570820,KENNYS JUICY TWIST GREEN APPLE PEG,159085,159085,,,,a,601 02X 000,Each,1.00,,,,,Master,0.86,0.00,1900-01-01,2075-12-31
_575704,CHOPPED SLAW,20002775,20002775,,,,a,218 04 000,Case,2.00,,,,,Master,12.80,0.00,2016-12-22,2075-12-31
_575704,,,,,,,,,,,,,,,North Carolina,12.80,0.00,2016-12-22,2075-12-31
_575704,,,,,,,,,,,,,,,Georgia,12.80,0.00,2016-12-22,2075-12-31
_653733,I/A COPNHGN L/C SOUTHERN BLND $3.20,1054217,1054217,,,*INACTIVE*,a,601 01 420,Case,5.00,,,,,Master,13.08,0.00,1900-01-01,2075-12-31
_653733,,,,,,,,,,,,,,,North Carolina,0.00,0.00,2015-12-15,2075-12-31
_653733,,,,,,,,,,,,,,,Georgia,0.00,0.00,2016-02-22,2075-12-31
_668806,EXTRA SLMPK SMOOTH MINT,191735,191735,,,,a,601 02A 134,Case,10.00,,,,,Master,6.79,0.00,2016-01-21,2075-12-31
_668806,,,,,,,,,,,,,,,North Carolina,6.79,0.00,2016-01-21,2075-12-31
_668806,,,,,,,,,,,,,,,Georgia,6.79,0.00,2016-04-12,2075-12-31
_689901,REKRETE WTRLSS CNCRT CLNR/10 LB si,910197841,10197841,,,*UNAVAILABLE*,a,77 01 000,Case,4.00,,,,,Master,65.19,0.00,2016-03-03,2075-12-31
_689901,,,,,,,,,,,,,,,North Carolina,64.29,0.00,2016-03-03,2075-12-31
_703553,DAWN DISH PWR DSSOLVER SS,1080080,1080080,,,,a,231 05 000,Each,1.00,,,,,Master,10.19,0.00,2017-05-04,2075-12-31
_703553,,,,,,,,,,,,,,,North Carolina,10.00,0.00,2016-04-21,2075-12-31
_703553,,,,,,,,,,,,,,,Georgia,10.07,0.00,2017-04-06,2075-12-31
_736314,HOT HELD PEPPERONI PIZZA,1080595,1080595,,,,a,221 05 101,Case,10.00,,,,,Master,41.39,0.00,1900-01-01,2075-12-31
_736314,,,,,,,,,,,,,,,North Carolina,41.39,0.00,2016-05-26,2075-12-31
_736314,,,,,,,,,,,,,,,Georgia,41.39,0.00,2016-05-26,2075-12-31
_755389,ITALIAN DRESSING,x1-186084,186084,,,*UNAVAILABLE*,a,221 21 101,Each,1.00,,,,,Master,6.73,0.00,2018-12-01,2075-12-31
_755389,,,,,,,,,,,,,,,North Carolina,6.73,0.00,2018-12-01,2075-12-31
_755389,,,,,,,,,,,,,,,Georgia,6.73,0.00,2018-12-01,2075-12-31
_807263,SKITTLES WILD BERRY PEG,58094,58094,,,,a,601 02B 000,Each,1.00,,,,,Master,1.38,0.00,1900-01-01,2075-12-31
_877126,BROOM DUST PAN LOBBY CMBO/EA,10177299,10177299,,,*UNAVAILABLE*,a,77 01 000,Each,1.00,,,,,Master,24.76,0.00,2019-01-18,2075-12-31
_877126,,,,,,,,,,,,,,,North Carolina,24.31,0.00,2019-01-18,2075-12-31
_877126,,,,,,,,,,,,,,,Georgia,24.48,0.00,2019-01-18,2075-12-31
_902858,BIB FCB FANTA BANANA 2.5 GAL,191606,191606,,,,a,215 05 000,Each,1.00,,,,,Master,39.17,0.00,1900-01-01,2075-12-31
_MC-TOTE,MCLANE TOTE DO NOT ORDER,1064113,1064113,,,,a,06 01 000,Each,1.00,,,,,Master,10.00,0.00,1900-01-01,2075-12-31
