ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_003627,SSA PPD WINTER GCARD IGLOO WREATH,9175446,175446,,,,a,64 01 000,Case,100.00,,,,,Master,0.03,0.00,1900-01-01,2075-12-31
_070730,REDDI WHIP 6.5z,x2-1082476,1082476,,,*UNAVAILABLE*,a,212 20 001,Case,12.00,,,,,Master,24.01,0.00,1900-01-01,2075-12-31
_1080199,HIO CHEESECAKE TRANSFER SKU,1080199,1080199,,,,a,231 05 006,Each,1.00,,,,,Master,0.34,0.00,1900-01-01,2075-12-31
_1080201,HIO COOKIE TRANSFER SKU,1080201,1080201,,,,a,231 05 006,Each,1.00,,,,,Master,0.71,0.00,1900-01-01,2075-12-31
_1080203,HIO DONUTS TRANSFER SKU,1080203,1080203,,,,a,231 05 006,Each,1.00,,,,,Master,0.31,0.00,1900-01-01,2075-12-31
_1080206,HIO MUFFINS TRANSFER SKU,1080206,1080206,,,,a,231 05 006,Each,1.00,,,,,Master,0.42,0.00,1900-01-01,2075-12-31
_135079,BROOM LARGE ANGLE,116613,116613,,,,a,77 01 120,Each,1.00,,,,,Master,15.72,0.00,1900-01-01,2075-12-31
_151297,HOT CUP SPEEDWAY 12z,x3-186094,186094,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,15.00,0.00,1900-01-01,2075-12-31
_151307,HOT CUP SPEEDWAY 20z,x3-89553,89553,,,*UNAVAILABLE*,a,212 02 000,Case,500.00,,,,,Master,18.49,0.00,1900-01-01,2075-12-31
_152257,SSA PPD WINTER GCARD SPDWY PPRMNT SNOWFLK,X3-175446,175446,,,,a,64 01 000,Case,100.00,,,,,Master,0.03,0.00,1900-01-01,2075-12-31
_154856,PERF SERV SUGAR (BULK),20002763,20002763,,,,a,212 05 000,Case,6.00,,,,,Master,32.38,0.00,1900-01-01,2075-12-31
_193003,PF MPL DNT ASST DONUTS #3,1064519,1064519,,,,a,231 05 001,Case,24.00,,,,,Master,13.12,0.00,1900-01-01,2075-12-31
_261891,BIB BIG RED 2.5 GAL,110347,110347,,,,a,215 02 001,Each,1.00,,,,,Master,40.45,0.00,2019-01-01,2075-12-31
_279620,DAVID FRENCH TOAST MUFFIN 6z,1066216,1066216,,,,a,231 06 002,Case,12.00,,,,,Master,10.21,0.00,1900-01-01,2075-12-31
_279711,DAVID BANANA NUT MUFFIN 6z,1066218,1066218,,,,a,231 06 002,Case,12.00,,,,,Master,10.21,0.00,1900-01-01,2075-12-31
_320887,S&D FILTER PK TEA,20004708,20004708,,,,a,215 05 000,Case,32.00,,,,,Master,12.77,5.36,1900-01-01,2075-12-31
_335455,TROPICS MANGO 2G,1076430,1076430,,,,a,215 21 001,Each,1.00,,,,,Master,34.87,0.00,2019-02-08,2075-12-31
