ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_000018,HANG TABS/CT,10191054,10191054,,,,a,77 01 000,Case,500.00,,,u,_055555064045,Master,11.58,0.00,2017-01-05,2075-12-31
_000083,J LINKS PORK JRKY BBQ 2.85Z,91075563,1075563,,,*UNAVAILABLE*,a,601 04C 130,Carton,6.00,,,u,_017082876102,Master,25.90,0.00,1900-01-01,2075-12-31
_000167,KENS HONEY MUSTARD SAUCE,x2-184659,184659,,,*UNAVAILABLE*,a,221 21 101,Each,1.00,,,u,_041335363705,Master,3.73,0.00,1900-01-01,2075-12-31
_000570,KAMEL RED BX 100 B1G$0.50 OFF,1054774,1054774,,,*UNAVAILABLE*,a,501 01 800,Carton,10.00,,,u,_012300114493,Master,53.03,5.00,2017-03-23,2075-12-31
_000570,,,,,,,,,,,,,u,_012300114509,,,,,
_000857,TROLLI SR BRT WATERMELON PEG 7.2z,1082950,1082950,,,,a,601 02B 000,Each,1.00,,,u,_041420024115,Master,1.25,0.00,1900-01-01,2075-12-31
_000857,,,,,,,,,,,,,u,_041420110238,,,,,
_000984,CHARMS SUPER BLOW POP 1.125z,170309,170309,,,,a,601 02K 000,Case,48.00,,,u,_014200008568,Master,8.42,0.00,2015-12-10,2075-12-31
_000984,,,,,,,,,,,,,u,_014200328567,,,,,
_000984,,,,,,,,,,,,,u,_014200338566,,,,,
_001305,POWERBAR GEL BLAST RASP,182455,182455,,,,a,601 04 000,Case,12.00,,,u,_097421130034,Master,13.38,0.00,2014-12-21,2075-12-31
_001487,POWERBAR GEL BLAST STW BAN,182454,182454,,,,a,601 04 000,Case,12.00,,,u,_097421150056,Master,13.38,0.00,2014-12-21,2075-12-31
_001837,GRIZZLY DARK SELECT L/C~ 5-Pack,1085512,1085512,,,,a,601 01 400,Box,5.00,,,u,_042100012200,Master,25.00,0.00,2018-11-22,2075-12-31
_001837,,,,,,,,,,,,,u,_042100012217,,,,,
_002014,SKITTLES FRUIT PEG si,815584,15584,,,*UNAVAILABLE*,a,601 02B 000,Each,1.00,,,u,_040000140924,Master,1.25,0.00,2015-12-24,2075-12-31
_002014,,,,,,,,,,,,,u,_040000155607,,,,,
_002063,TGIF MOZZARELLA CHEESE STIX,126767,126767,,,,a,601 17 000,Each,1.00,,,u,_046704068502,Master,3.16,0.00,1900-01-01,2075-12-31
_002410,BON APPETIT CONCHA NEW si,91054636,1054636,,,*UNAVAILABLE*,a,231 03 001,Case,9.00,,,u,_035751117004,Master,9.29,0.00,2016-03-24,2075-12-31
_002410,,,,,,,,,,,,,u,_035751517002,,,,,
_002469,LAMINATD STEEL PADLOCK PEG,20003558,20003558,,,,a,601 20A 000,Each,1.00,,,u,_070792400104,Master,1.76,0.00,1900-01-01,2075-12-31
_002917,CAL SCENTS CAN CHRY,166870,166870,,,,a,601 20B 000,Each,1.00,,,u,_091400003227,Master,1.87,0.00,1900-01-01,2075-12-31
_002917,,,,,,,,,,,,,u,_091400016494,,,,,
