ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000180323,MT DEW KICK START HYDRO BOOST PINEAP/ORNG/MNGO 16Z,1099345,1099345,,,,a,Default,Case,12.00,,,u,_012000180323,Master,13.50,0.00,1900-01-01,2075-12-31
_012000180347,MT DEW KICK START HYDRO BOOST POMEGRANATE 16Z,1099346,1099346,,,,a,Default,Case,12.00,,,u,_012000180347,Master,13.50,0.00,1900-01-01,2075-12-31
_012000180583,AMP GF CHERRY BURST 16Z CN,1097679,1097679,,,,a,901 02 000,Case,12.00,,,u,_012000180583,Master,17.69,0.00,1900-01-01,2075-12-31
_012000180590,AMP GF BERRY BLAST 16Z CN,1097677,1097677,,,,a,901 02 000,Case,12.00,,,u,_012000180590,Master,17.69,0.00,1900-01-01,2075-12-31
_012000181580,BUBLY CHERRY 20z,1097371,1097371,,,,a,Default,Case,24.00,,,u,_012000181580,Master,16.10,0.00,1900-01-01,2075-12-31
_012000183386,MT DEW BAJA BLAST ZERO 20z NR,1097595,1097595,,,,a,901 04 000,Case,24.00,,,u,_012000183386,Master,26.46,0.00,1900-01-01,2075-12-31
_012000183409,MT DEW BAJA BLAST ZERO 12pk 12z,1097599,1097599,,,,a,901 01 000,Case,2.00,,,u,_012000183409,Master,9.15,0.00,1900-01-01,2075-12-31
_012000183409,,,,,,,,,,,,,u,_012000183416,,,,,
_012000183751,PEPSI VANILLA HFCS PL 20z,1097578,1097578,,,,a,901 04 000,Case,24.00,,,u,_012000183751,Master,25.95,0.00,1900-01-01,2075-12-31
_050200001253,SUNNY DELIGHT 12z CN,46093,46093,,,,a,901 01A 000,Case,24.00,,,u,_050200001253,Master,8.85,0.00,1900-01-01,2075-12-31
_072350000115,YOO-HOO FF CHOCOLATE 15.5Z,15188,15188,,,,a,Default,Case,24.00,,,u,_072350000115,Master,20.50,0.00,1900-01-01,2075-12-31
