ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_7493111005,MDLSWRTH REG CHIP 3.5z,1066167,1066167,,,,a,601 04A 000,Each,1.00,,,u,_074931110053,Master,0.71,0.00,1900-01-01,2075-12-31
_7493111007,MDLSWRTH REG CHIP 5.5z,1066168,1066168,,,,a,601 04A 000,Each,1.00,,,u,_074931110077,Master,1.44,0.00,1900-01-01,2075-12-31
_7493111009,MDLSWRTH REG CHIP 7z,1066169,1066169,,,,a,601 04A 000,Each,1.00,,,u,_074931110091,Master,1.95,0.00,1900-01-01,2075-12-31
_7493111016,MDLSWRTH REG CHIP 12z,1066165,1066165,,,,a,601 04A 000,Each,1.00,,,u,_074931110169,Master,2.84,0.00,1900-01-01,2075-12-31
_7493112005,MDLSWRTH BBQ CHIP 3.5z,1066150,1066150,,,,a,601 04A 000,Each,1.00,,,u,_074931120052,Master,0.71,0.00,1900-01-01,2075-12-31
_7493112007,MDLSWRTH BBQ CHIP 5.5z,1066151,1066151,,,,a,601 04A 000,Each,1.00,,,u,_074931120076,Master,1.44,0.00,1900-01-01,2075-12-31
_7493112009,MDLSWRTH BBQ CHIP 7z,1066152,1066152,,,,a,601 04A 000,Each,1.00,,,u,_074931120090,Master,1.95,0.00,1900-01-01,2075-12-31
_7493112016,MDLSWRTH BBQ CHIP 12z,1066149,1066149,,,,a,601 04A 000,Each,1.00,,,u,_074931120168,Master,2.84,0.00,1900-01-01,2075-12-31
_7493113005,MDLSWRTH SC & ONION CHIP 3.5z,1066171,1066171,,,,a,601 04A 000,Each,1.00,,,u,_074931130051,Master,0.71,0.00,1900-01-01,2075-12-31
_7493113009,MDLSWRTH SC & ONION CHIP 7z,1066173,1066173,,,,a,601 04A 000,Each,1.00,,,u,_074931130099,Master,1.95,0.00,1900-01-01,2075-12-31
_7493114005,MDLSWRTH JALAPENO CHIP 3.5z,1066153,1066153,,,,a,601 04A 000,Each,1.00,,,u,_074931140050,Master,0.71,0.00,1900-01-01,2075-12-31
_7493115007,MDLSWRTH KTL REG CHIP 5.5z,1066157,1066157,,,,a,601 04A 000,Each,1.00,,,u,_074931150073,Master,1.44,0.00,1900-01-01,2075-12-31
_7493115014,MDLSWRTH KTL REG CHIP 12z,1066156,1066156,,,,a,601 04A 000,Each,1.00,,,u,_074931150141,Master,2.84,0.00,1900-01-01,2075-12-31
_7493115207,MDLSWRTH KTL BBQ CHIP 5.5z,1066155,1066155,,,,a,601 04A 000,Each,1.00,,,u,_074931152077,Master,1.44,0.00,1900-01-01,2075-12-31
_7493115214,MDLSWRTH KTL BBQ CHIP 12z,1066154,1066154,,,,a,601 04A 000,Each,1.00,,,u,_074931152145,Master,2.84,0.00,1900-01-01,2075-12-31
_7493117009,MDLSWRTH SALT & VINEGAR CHIP 3.5z,1066174,1066174,,,,a,601 04A 000,Each,1.00,,,u,_074931170095,Master,0.71,0.00,1900-01-01,2075-12-31
_7493122007,MDLSWRTH PS BBQ CHIP 5.5z,1066158,1066158,,,,a,601 04A 000,Each,1.00,,,u,_074931220073,Master,1.44,0.00,1900-01-01,2075-12-31
_7493140005,MDLSWRTH CHDR CHS PUFFCURL 2.75z,1066177,1066177,,,,a,601 04A 000,Each,1.00,,,u,_074931400055,Master,0.71,0.00,1900-01-01,2075-12-31
_7789890085,FIESTA PARTY MIX 6z,154645,154645,,,,a,Default,Each,1.00,,,u,_077789890085,Master,0.75,0.00,1900-01-01,2075-12-31
