ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1479600338,CAPE COD TOTE BAG,1066506,1066506,,,,a,601 22 000,Each,1.00,,,u,_814796003387,Master,6.00,0.00,1900-01-01,2075-12-31
_3096101109,CAPE COD LIGHTERS,1066496,1066496,,,,a,601 18 000,Each,1.00,,,u,_830961011094,Master,0.60,0.00,1900-01-01,2075-12-31
_4396100599,CAPE COD STRIPED BEACH BAG,1066505,1066505,,,,a,601 22 002,Each,1.00,,,u,_743961005997,Master,7.20,0.00,1900-01-01,2075-12-31
_4396101217,CAPE COD LOBSTER BOTTLE OPENER,1066497,1066497,,,,a,601 22 000,Each,1.00,,,u,_743961012179,Master,2.40,0.00,1900-01-01,2075-12-31
_7021161007,CAPE COD SALT WATER TAFFY,1066499,1066499,,,,a,601 22 000,Each,1.00,,,u,_370211610078,Master,3.00,0.00,1900-01-01,2075-12-31
_7370050209,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.25,0.00,1900-01-01,2075-12-31
_7370050209,,,,,,,,,,,,,u,_033383974750,,,,,
_7370050209,,,,,,,,,,,,,u,_033383979212,,,,,
_7370050209,,,,,,,,,,,,,u,_041163002401,,,,,
_7370050209,,,,,,,,,,,,,u,_094922764119,,,,,
_7370050209,,,,,,,,,,,,,u,_101210121681,,,,,
_7370050209,,,,,,,,,,,,,u,_616978127771,,,,,
_7370050209,,,,,,,,,,,,,u,_616978127795,,,,,
_7370050209,,,,,,,,,,,,,u,_655504003295,,,,,
_7370050209,,,,,,,,,,,,,u,_663413010013,,,,,
_7370050209,,,,,,,,,,,,,u,_679432007019,,,,,
_7370050209,,,,,,,,,,,,,u,_785385100049,,,,,
_7370050209,,,,,,,,,,,,,u,_798304035308,,,,,
_7370050209,,,,,,,,,,,,,u,_829691000010,,,,,
_7370050209,,,,,,,,,,,,,u,_832972001019,,,,,
_7370050209,,,,,,,,,,,,,u,_836115000013,,,,,
_7370050209,,,,,,,,,,,,,u,_836115000068,,,,,
_7370050209,,,,,,,,,,,,,u,_837654206003,,,,,
_7370050209,,,,,,,,,,,,,u,_855205001006,,,,,
_7370050209,,,,,,,,,,,,,u,_973700502092,,,,,
_7370050247,HOLIDAY FLORAL BOUQUET,1058097,1058097,,,,a,601 34 007,Each,1.00,,,u,_033383973128,Master,7.50,0.00,1900-01-01,2075-12-31
_7370050247,,,,,,,,,,,,,u,_870167000041,,,,,
_7370050247,,,,,,,,,,,,,u,_973700502474,,,,,
_7370050353,EASTER FLORAL BOUQUET,1066509,1066509,,,,a,601 34 007,Each,1.00,,,u,_973700503532,Master,6.00,0.00,1900-01-01,2075-12-31
_7370147602,CAPE COD ULTRA HATS,1066507,1066507,,,,a,601 21 200,Each,1.00,,,u,_973701476026,Master,6.60,0.00,1900-01-01,2075-12-31
_7370987659,FLORAL BOUQUET,1058096,1058096,,,,a,601 34 007,Each,1.00,,,u,_033383973111,Master,5.25,0.00,1900-01-01,2075-12-31
_7370987659,,,,,,,,,,,,,u,_973709876590,,,,,
_9737005001,CAPE COD SOUVENIR 3,1066503,1066503,,,,a,601 22 100,Each,1.00,,,u,_797370050017,Master,2.40,0.00,1900-01-01,2075-12-31
_9737005011,CAPE COD POSTCARD 4X6,1066498,1066498,,,,a,601 22 000,Each,1.00,,,u,_797370050116,Master,0.13,0.00,1900-01-01,2075-12-31
_9737005030,CAPE COD SOUVENIR 2,1066502,1066502,,,,a,601 22 100,Each,1.00,,,u,_797370050307,Master,1.80,0.00,1900-01-01,2075-12-31
_9737005045,CAPE COD SOUVENIR 1,1066501,1066501,,,,a,601 22 100,Each,1.00,,,u,_797370050451,Master,1.20,0.00,1900-01-01,2075-12-31
_9737005047,CAPE COD GUIDE BOOK,1066495,1066495,,,,a,601 22 000,Each,1.00,,,u,_797370050475,Master,3.60,0.00,1900-01-01,2075-12-31
_9737005700,CAPE COD DECALS,1066494,1066494,,,,a,601 22 000,Each,1.00,,,u,_797370057009,Master,1.20,0.00,1900-01-01,2075-12-31
_9737027364,CAPE COD CALENDAR,1066480,1066480,,,,a,601 22 000,Each,1.00,,,u,_797370273645,Master,6.00,0.00,1900-01-01,2075-12-31
_9737041061,CAPE COD COOKBOOK,1066493,1066493,,,,a,601 22 000,Each,1.00,,,u,_797370410613,Master,3.60,0.00,1900-01-01,2075-12-31
_9737052697,CAPE COD LIGHTHOUSE CALENDAR,1066485,1066485,,,,a,601 22 000,Each,1.00,,,u,_797370526970,Master,4.80,0.00,1900-01-01,2075-12-31
_9737066006,CAPE COD BEACH TOWEL,1066478,1066478,,,,a,601 22 002,Each,1.00,,,u,_797370660063,Master,7.20,0.00,1900-01-01,2075-12-31
