ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_07110420237,MIKESELLS PUFFCORN BFL FLVR 6z,1054903,1054903,,,,a,706 14 001,Each,1.00,,,u,_071104202379,Master,1.46,0.00,2013-10-16,2075-12-31
_071104202492,SW QUESO CHEESE CURL SS,1056694,1056694,,,,a,706 14 001,Each,1.00,,,u,_071104202492,Master,0.96,0.00,2018-02-05,2075-12-31
_071104202492,,,,,,,,,,,,,u,_071104302499,,,,,
_071104302192,MIKESELLS PUFFCORN SALTED CARAMEL 2.5z,1079246,1079246,,,,a,706 14 001,Each,1.00,,,u,_071104302192,Master,0.96,0.00,2018-02-05,2075-12-31
_071104302390,MIKESELLS PUFFCORN SALTED CARAMEL 5.5z,1079247,1079247,,,,a,706 14 001,Each,1.00,,,u,_071104302390,Master,1.46,0.00,2016-03-04,2075-12-31
_071104401864,MIKESELLS HIMALAYAN SALT & VINEGAR CHIP 2z,1086381,1086381,,,,a,706 14 001,Each,1.00,,,u,_071104401864,Master,0.96,0.00,1900-01-01,2075-12-31
_071104401888,MIKESELLS SPICY DILL PICKLE CHIP 2z,1086382,1086382,,,,a,706 14 001,Each,1.00,,,u,_071104401888,Master,0.96,0.00,2018-01-03,2075-12-31
_071104601936,MIKESELLS SPICY DLL PICKLE CHP 6z,1086378,1086378,,,,a,706 14 001,Each,1.00,,,u,_071104601936,Master,1.75,0.00,2018-01-03,2075-12-31
_071104601967,MIKESELLS HIMALAYAN SLT&VNGR CHP 6z,1086377,1086377,,,,a,706 14 001,Each,1.00,,,u,_071104601967,Master,1.75,0.00,2018-01-03,2075-12-31
_356,MIKESELLS TANGY CHIPOTLE BBQ KETTLE CHIP,1082136,1082136,,,,a,706 14 001,Each,1.00,,,u,_071104103560,Master,0.96,0.00,2018-02-05,2075-12-31
_4136801430,JONES POTATO STIX 2.25z,1080966,1080966,,,,a,706 14 001,Each,1.00,,,u,_041368014308,Master,0.96,0.00,2018-02-05,2075-12-31
_7110400111,MIKESELLS CHIPS FOIL 10Z,46949,46949,,,,a,706 14 001,Each,1.00,,,u,_071104001118,Master,1.91,0.00,1900-01-01,2075-12-31
_7110400111,,,,,,,,,,,,,u,_071104201112,,,,,
_7110400116,MIKESELLS OLD FASHN CHIPS 10z,46946,46946,,,,a,706 14 001,Each,1.00,,,u,_071104001163,Master,1.91,0.00,1900-01-01,2075-12-31
