ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_022100004078,PABST APA 6PK 16Z CN,1088245,1088245,,,,a,401 01B 000,Case,24.00,,,u,_022100004030,Master,31.50,0.00,1900-01-01,2075-12-31
_022100004078,,,,,,,,,,,,,u,_022100004078,,,,,
_034100000059,MILLER HL 24z CN,89317,89317,,,,a,401 01J 000,Case,12.00,,,u,_034100000059,Master,15.90,0.00,2017-04-10,2075-12-31
_034100000059,,,,,,,,,,,,,u,_034100013462,,,,,
_034100000080,MILLER HL 32Z CN,1053781,1053781,,,,a,401 01J 000,Case,12.00,,,u,_034100000080,Master,16.68,0.00,1900-01-01,2075-12-31
_034100000097,MILLER HL 40z LN,13483,13483,,,,a,401 01J 000,Case,12.00,,,u,_034100000097,Master,18.39,0.00,2018-07-30,2075-12-31
_034100000097,,,,,,,,,,,,,u,_034100007638,,,,,
_034100000097,,,,,,,,,,,,,u,_034100012403,,,,,
_034100000097,,,,,,,,,,,,,u,_034100016371,,,,,
_034100000165,MILW BEST ICE 6PK 16z CN,56219,56219,,,,a,401 01B 000,Case,24.00,,,u,_034100000165,Master,14.95,0.00,1900-01-01,2075-12-31
_034100000165,,,,,,,,,,,,,u,_034100303075,,,,,
_034100000318,MILLER HL 32z LN,16798,16798,,,,a,401 01J 000,Case,12.00,,,u,_034100000318,Master,16.68,0.00,1900-01-01,2075-12-31
_034100000318,,,,,,,,,,,,,u,_034100012311,,,,,
_034100000455,OLD ENGLISH HG 40z LN,1076331,1076331,,,,a,401 01J 000,Case,12.00,,,u,_034100000455,Master,18.39,0.00,2015-09-23,2075-12-31
