ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_028631002149,MITCHELS TRILENE 8LB,1088702,1088702,,,,a,601 34 016,Each,1.00,,,u,_028631002149,Master,2.50,0.00,1900-01-01,2075-12-31
_028632002131,KASS TRILENE 6 LB 00213,117321,117321,,,,a,601 34 016,Each,1.00,,,u,_028632002131,Master,2.50,0.00,1900-01-01,2075-12-31
_047708001823,MITCHELS EC HOOKS SIZE 2,1088676,1088676,,,,a,601 34 016,Each,1.00,,,u,_047708001823,Master,1.25,0.00,1900-01-01,2075-12-31
_047708001847,EAGLE CLAW HOOK 4 00184,117515,117515,,,,a,601 34 016,Each,1.00,,,u,_047708001847,Master,1.25,0.00,1900-01-01,2075-12-31
_047708001861,KASS HOOK 139  00186,117516,117516,,,,a,601 34 016,Each,1.00,,,u,_047708001861,Master,1.25,0.00,1900-01-01,2075-12-31
_047708001885,KASS HOOK 139 8 00188,117738,117738,,,,a,601 34 016,Each,1.00,,,u,_047708001885,Master,1.25,0.00,1900-01-01,2075-12-31
_047708700412,MITCHELS HOOKS SIZE 8,1088672,1088672,,,,a,601 34 016,Each,1.00,,,u,_047708700412,Master,0.60,0.00,1900-01-01,2075-12-31
_047708700429,HOOKS #6,1088663,1088663,,,,a,601 34 016,Each,1.00,,,u,_047708700429,Master,0.60,0.00,1900-01-01,2075-12-31
_047708700436,HOOKS #4,1088666,1088666,,,,a,601 34 016,Each,1.00,,,u,_047708700436,Master,0.60,0.00,1900-01-01,2075-12-31
_047708700443,HOOKS #2,1088661,1088661,,,,a,601 34 016,Each,1.00,,,u,_047708700443,Master,0.60,0.00,1900-01-01,2075-12-31
_047708705158,FLOATS 1IN,1079917,1079917,,,,a,601 34 016,Each,1.00,,,u,_047708705158,Master,0.80,0.00,1900-01-01,2075-12-31
_047708705165,FLOATS 1.25IN,1079916,1079916,,,,a,601 34 016,Each,1.00,,,u,_047708705165,Master,0.80,0.00,1900-01-01,2075-12-31
_047708705172,EC BOBBERS 1.5IN,1088612,1088612,,,,a,601 34 016,Each,1.00,,,u,_047708705172,Master,0.80,0.00,1900-01-01,2075-12-31
_047708705189,MITCHELS EC BOBBERS 1.75IN,1088691,1088691,,,,a,601 34 016,Each,1.00,,,u,_047708705189,Master,0.80,0.00,1900-01-01,2075-12-31
_047708705196,MITCHELS EC BOBBERS 2IN,1088699,1088699,,,,a,601 34 016,Each,1.00,,,u,_047708705196,Master,0.80,0.00,1900-01-01,2075-12-31
_083941057708,MITCHELS SPLIT SHOT SIZE 3/0,1088675,1088675,,,,a,601 34 016,Each,1.00,,,u,_083941057708,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057715,MITCHELS SPLIT SHOT SIZE 7,1088677,1088677,,,,a,601 34 016,Each,1.00,,,u,_083941057715,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057722,MITCHELS SPLIT SHOT SIZE 5,1088689,1088689,,,,a,601 34 016,Each,1.00,,,u,_083941057722,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057739,MITCHELS SPLIT SHOT SIZE 4,1088687,1088687,,,,a,601 34 016,Each,1.00,,,u,_083941057739,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057746,MITCHELS SPLIT SHOT SIZE 3,1088685,1088685,,,,a,601 34 016,Each,1.00,,,u,_083941057746,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057753,MITCHELS SPLIT SHOT SIZE 2,1088683,1088683,,,,a,601 34 016,Each,1.00,,,u,_083941057753,Master,2.50,0.00,1900-01-01,2075-12-31
_083941057760,MITCHELS SINKERS 1-8,1088678,1088678,,,,a,601 34 016,Each,1.00,,,u,_083941057760,Master,1.40,0.00,1900-01-01,2075-12-31
_083941057777,MITCHELS SINKERS 3-16,1088679,1088679,,,,a,601 34 016,Each,1.00,,,u,_083941057777,Master,1.40,0.00,1900-01-01,2075-12-31
_083941057784,MITCHELS SINKERS 1-4,1088680,1088680,,,,a,601 34 016,Each,1.00,,,u,_083941057784,Master,1.40,0.00,1900-01-01,2075-12-31
_083941057791,MITCHELS SINKERS 3-8,1088681,1088681,,,,a,601 34 016,Each,1.00,,,u,_083941057791,Master,1.40,0.00,1900-01-01,2075-12-31
_083941057807,MITCHELS SINKERS 1-2,1088682,1088682,,,,a,601 34 016,Each,1.00,,,u,_083941057807,Master,1.40,0.00,1900-01-01,2075-12-31
_182327000014,NIGHTCRAWLERS 12CT,1088656,1088656,,,,a,601 34 016,Each,1.00,,,u,_182327000014,Master,1.75,0.00,1900-01-01,2075-12-31
_182327000014,,,,,,,,,,,,,u,_792349002004,,,,,
_182327000021,MITCHELS NIGHTCRAWLERS 24CT,1088657,1088657,,,,a,601 34 016,Each,1.00,,,u,_182327000021,Master,3.25,0.00,1900-01-01,2075-12-31
_182327000021,,,,,,,,,,,,,u,_792349002240,,,,,
_182327000236,MITCHELS RED WORMS 24CT,1088659,1088659,,,,a,601 34 016,Each,1.00,,,u,_182327000236,Master,1.75,0.00,1900-01-01,2075-12-31
_182327000267,MITCHELS DILLIES 18CT,1088658,1088658,,,,a,601 34 016,Each,1.00,,,u,_182327000267,Master,1.75,0.00,1900-01-01,2075-12-31
_182327000267,,,,,,,,,,,,,u,_792349003186,,,,,
_799471359433,MITCHELS SPIKES 100CT,1088662,1088662,,,,a,601 34 016,Each,1.00,,,u,_799471359433,Master,1.75,0.00,1900-01-01,2075-12-31
_799471359440,MITCHELS LEECHES 12CT,1088664,1088664,,,,a,601 34 016,Each,1.00,,,u,_799471359440,Master,1.75,0.00,1900-01-01,2075-12-31
_799471359457,MITCHELS CRABS 8CT,1088665,1088665,,,,a,601 34 016,Each,1.00,,,u,_799471359457,Master,1.75,0.00,1900-01-01,2075-12-31
_799471359471,SALT MINNOWS 24CT,1088660,1088660,,,,a,601 34 016,Each,1.00,,,u,_799471359471,Master,1.75,0.00,1900-01-01,2075-12-31
_79947135948,MITCHELS EGG SACKS 6CT,1088667,1088667,,,,a,601 34 016,Each,1.00,,,u,_799471359464,Master,1.75,0.00,1900-01-01,2075-12-31
_799471359488,MITCHELS STRINGER,1088915,1088915,,,,a,601 34 016,Each,1.00,,,u,_799471359488,Master,0.75,0.00,1900-01-01,2075-12-31
