ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_9791020648,PHILADELPHIA INQUIRER,1057762,1057762,,,,a,706 01 000,Each,1.00,,,u,_797910001011,Master,2.43,0.00,2017-07-31,2075-12-31
_9791020648,,,,,,,,,,,,,u,_797910206485,PENN,1.85,0.00,2017-08-01,2075-12-31
_9791020656,PHILADELPHIA DAILY NEWS,1057758,1057758,,,,a,706 01 000,Each,1.00,,,u,_797910001059,Master,2.43,0.00,2017-07-31,2075-12-31
_9791020656,,,,,,,,,,,,,u,_797910206560,,,,,
_9791020680,PHILADELPHIA DAILY NEWS WEEKEND,1057764,1057764,,,,a,706 01 000,Each,1.00,,,u,_797910206805,Master,2.43,0.00,2017-07-31,2075-12-31
_9791020699,PHILADELPHIA INQUIRER SUNDAY,1057763,1057763,,,,a,706 01 000,Each,1.00,,,u,_797910007013,Master,3.41,0.00,2017-07-31,2075-12-31
_9791020699,,,,,,,,,,,,,u,_797910206997,PENN,2.71,0.00,2017-08-02,2075-12-31
_9791020710,PHIL INQUIRER THNKSGVNG,1057756,1057756,,,,a,706 01 000,Each,1.00,,,u,_797910004012,Master,3.68,0.00,2018-02-08,2075-12-31
_9791020710,,,,,,,,,,,,,u,_797910207109,,,,,
_9791020730,PHILADELPHIA INQUIRER BULLDOG EARLY SUN,1057767,1057767,,,,a,706 01 000,Each,1.00,,,u,_797910207307,Master,3.08,0.00,2017-07-31,2075-12-31
