ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_051641117008,DAILY RACING FORM WEEKEND,184279,184279,,,,a,706 01 000,Each,1.00,,,u,_051641117008,Master,7.74,0.00,2014-10-01,2075-12-31
_051641117008,,,,,,,,,,,,,u,_651641067008,,,,,
_5164101650,DAILY RACING FORM,1056027,1056027,,,,a,706 01 000,Each,1.00,,,u,_651641016501,Master,7.74,0.00,2014-09-23,2075-12-31
_5164101650,,,,,,,,,,,,,u,_651641026500,,,,,
_5164101650,,,,,,,,,,,,,u,_651641036509,,,,,
_5164101650,,,,,,,,,,,,,u,_651641046508,,,,,
_5164101650,,,,,,,,,,,,,u,_651641056507,,,,,
_5164101650,,,,,,,,,,,,,u,_651641100002,,,,,
_5164106650,DAILY RACING FORM SIMULCAST SATURDAY,1051161,1051161,,,,a,706 01 000,Each,1.00,,,u,_651641066001,Master,8.33,0.00,2014-09-23,2075-12-31
_5164106650,,,,,,,,,,,,,u,_651641066506,,,,,
_651641015009,DAILY RACING FORM SIMULCAST,177666,177666,,,,a,706 01 000,Each,1.00,,,u,_651641015009,Master,7.74,0.00,2014-10-14,2075-12-31
_651641015009,,,,,,,,,,,,,u,_651641015504,,,,,
_651641015009,,,,,,,,,,,,,u,_651641016006,,,,,
_651641015009,,,,,,,,,,,,,u,_651641025503,,,,,
_651641015009,,,,,,,,,,,,,u,_651641026005,,,,,
_651641015009,,,,,,,,,,,,,u,_651641035007,,,,,
_651641015009,,,,,,,,,,,,,u,_651641035502,,,,,
_651641015009,,,,,,,,,,,,,u,_651641036004,,,,,
_651641015009,,,,,,,,,,,,,u,_651641045006,,,,,
_651641015009,,,,,,,,,,,,,u,_651641045501,,,,,
_651641015009,,,,,,,,,,,,,u,_651641046003,,,,,
_651641015009,,,,,,,,,,,,,u,_651641055005,,,,,
_651641015009,,,,,,,,,,,,,u,_651641055500,,,,,
_651641015009,,,,,,,,,,,,,u,_651641056002,,,,,
_651641015009,,,,,,,,,,,,,u,_651641065004,,,,,
_651641015009,,,,,,,,,,,,,u,_651641065509,,,,,
_651641015009,,,,,,,,,,,,,u,_651641066018,,,,,
_651641015009,,,,,,,,,,,,,u,_651641075508,,,,,
_651641015009,,,,,,,,,,,,,u,_651641076000,,,,,
_651641015009,,,,,,,,,,,,,u,_654641025009,,,,,
_7148601500,DAILY RACING PROGRAM,1050844,1050844,,,,a,706 01 000,Each,1.00,,,u,_671486015002,Master,5.46,0.00,2014-11-03,2075-12-31
_7148601500,,,,,,,,,,,,,u,_671486025001,,,,,
_7148601500,,,,,,,,,,,,,u,_671486035000,,,,,
_7148601500,,,,,,,,,,,,,u,_671486035413,,,,,
_7148601500,,,,,,,,,,,,,u,_671486045009,,,,,
_7148601500,,,,,,,,,,,,,u,_671486055008,,,,,
_7148601500,,,,,,,,,,,,,u,_671486065007,,,,,
_7148601500,,,,,,,,,,,,,u,_671486075006,,,,,
_7447001500,DAILY HARNESS PROGRAM,1050843,1050843,,,,a,706 01 000,Each,1.00,,,u,_674470015002,Master,5.46,0.00,2014-10-30,2075-12-31
_7447001500,,,,,,,,,,,,,u,_674470025001,,,,,
_7447001500,,,,,,,,,,,,,u,_674470035000,,,,,
_7447001500,,,,,,,,,,,,,u,_674470045009,,,,,
_7447001500,,,,,,,,,,,,,u,_674470055008,,,,,
_7447001500,,,,,,,,,,,,,u,_674470065007,,,,,
_7447001500,,,,,,,,,,,,,u,_674470075006,,,,,
