ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_062067033629,LABATT MAX ICE 24z CN,1066281,1066281,,,,a,401 01J 000,Case,12.00,,,u,_062067033629,Master,12.36,0.00,2017-10-09,2075-12-31
_062067049460,LABATT BLUE LT 30PK 12z CN,1066132,1066132,,,,a,Default,Case,30.00,,,u,_062067049460,Master,16.80,0.00,1900-01-01,2075-12-31
_062067049620,LABATT BLUE LT 24z CN,172816,172816,,,,a,401 01J 000,Case,12.00,,,u,_062067049620,Master,12.36,0.00,2017-10-09,2075-12-31
_062067051463,LABATT BLUE 30PK 12z CN,1064676,1064676,,,,a,Default,Case,30.00,,,u,_062067051463,Master,16.80,0.00,1900-01-01,2075-12-31
_062067051623,LABATT BLUE 24z CN,171991,171991,,,,a,401 01J 000,Case,12.00,,,e,_0620670516306,Master,12.36,0.00,2017-10-09,2075-12-31
_062067051623,,,,,,,,,,,,,u,_062067051623,,,,,
_062067051623,,,,,,,,,,,,,u,_062067051630,,,,,
_062067380624,LABATT BLUE ICE 24z CN,173304,173304,,,,a,401 01J 000,Case,12.00,,,u,_062067380624,Master,12.36,0.00,2017-10-09,2075-12-31
_070310009864,LABATT BLUE LT LIME 24z CN,1066185,1066185,,,,a,401 01J 000,Case,12.00,,,u,_070310009864,Master,12.36,0.00,2017-10-09,2075-12-31
_070310011508,LABATT ROYALE 24z CN,1056038,1056038,,,,a,401 01J 000,Case,12.00,,,u,_070310011508,Master,17.64,0.00,2016-08-10,2075-12-31
_070310013359,LABATT MAX PUNCH 24z CN,1078792,1078792,,,,a,401 01J 000,Case,12.00,,,u,_070310013359,Master,18.30,0.00,2016-08-10,2075-12-31
_070310013373,LABATT MAX BLACK CHERRY 24z CN,1077166,1077166,,,,a,401 01J 000,Case,12.00,,,u,_070310013373,Master,18.30,0.00,2016-08-10,2075-12-31
_080432802281,SEAGRAMS FUZZY NAVL 4PK 12z LN,30307,30307,,,,a,Default,Case,24.00,,,u,_080432802281,Master,20.00,0.00,2017-10-09,2075-12-31
_080432802281,,,,,,,,,,,,,u,_087000507661,,,,,
_080432802281,,,,,,,,,,,,,u,_087000507678,,,,,
_080432802540,SEAGRAMS STRAW DAIQ 4PK 12z LN,24494,24494,,,,a,Default,Case,24.00,,,u,_080432802540,Master,20.00,0.00,2017-10-09,2075-12-31
_080432802540,,,,,,,,,,,,,u,_087000001510,,,,,
_080432802540,,,,,,,,,,,,,u,_087000507333,,,,,
_080432802663,SEAGRAMS WILD BERRY 4PK 12z LN,14635,14635,,,,a,Default,Case,24.00,,,u,_080432802663,Master,20.00,0.00,2017-10-09,2075-12-31
_082100008001,WILD IRISH ROSE 750ML,16451,16451,,,,a,Default,Each,1.00,,,u,_082100000623,Master,3.00,0.00,1900-01-01,2075-12-31
_082100179022,ARBOR MIST EXOTIC FRUIT 750ML,73184,73184,,,,a,Default,Each,1.00,,,u,_082100179022,Master,3.74,0.00,2017-10-09,2075-12-31
_082100179022,,,,,,,,,,,,,u,_082100738861,,,,,
_082100179039,ARBOR MIST STRAW WHT ZIN 750ML,73185,73185,,,,a,Default,Each,1.00,,,u,_082100179039,Master,3.74,0.00,2017-10-09,2075-12-31
_082100179039,,,,,,,,,,,,,u,_082100738939,,,,,
_085000001264,BART&J MARGARITA 4PK 12z LN,24131,24131,,,,a,Default,Case,24.00,,,u,_085000001264,Master,28.74,0.00,1900-01-01,2075-12-31
_085000001264,,,,,,,,,,,,,u,_085000001271,,,,,
_085000001301,BART&J STRWBRY DAIQ 4PK 12z LN,23844,23844,,,,a,Default,Case,24.00,,,u,_085000001301,Master,28.74,0.00,1900-01-01,2075-12-31
_085000001301,,,,,,,,,,,,,u,_085000001318,,,,,
_085000002056,BART&J FUZZY NAVEL 4PK 12z LN,39303,39303,,,,a,Default,Case,24.00,,,u,_085000002056,Master,28.74,0.00,1900-01-01,2075-12-31
_085000002056,,,,,,,,,,,,,u,_085000002087,,,,,
_085000002469,BART&J BERRY CLR 4PK 12z LN,13531,13531,,,,a,Default,Case,24.00,,,u,_085000002452,Master,28.74,0.00,1900-01-01,2075-12-31
_085000002469,,,,,,,,,,,,,u,_085000002469,,,,,
_085000005613,BOONES FRM SNW CRK BERRY 750ML,17710,17710,,,,a,Default,Each,1.00,,,u,_085000005613,Master,3.00,0.00,1900-01-01,2075-12-31
_085000007303,BOONES FRM STRW HILL 750ML,16450,16450,,,,a,Default,Each,1.00,,,u,_085000007303,Master,3.00,0.00,1900-01-01,2075-12-31
_085000014448,BAREFOOT PINOT GRIGIO 750ML,168774,168774,,,,a,Default,Each,1.00,,,u,_085000014448,Master,5.24,0.00,2017-10-02,2075-12-31
_085000016688,BAREFOOT MOSCATO 750ML,178068,178068,,,,a,Default,Each,1.00,,,u,_085000016688,Master,5.24,0.00,2017-10-02,2075-12-31
_085000020456,BAREFOOT PINK MOSCATO 750ML,1053257,1053257,,,,a,Default,Each,1.00,,,u,_085000020456,Master,5.24,0.00,2017-10-02,2075-12-31
_085000021811,LIBERTY CREEK CHARDONNAY 500ML,1061925,1061925,,,,a,401 03A 000,Case,12.00,,,u,_085000021811,Master,38.64,0.00,1900-01-01,2075-12-31
_085000022719,LIBERTY CREEK PINOT GRIGIO 500ML,1076349,1076349,,,,a,401 03A 000,Case,12.00,,,u,_085000022719,Master,38.64,0.00,1900-01-01,2075-12-31
_085000022726,LIBERTY CREEK MOSCATO 500ML,1076346,1076346,,,,a,401 03A 000,Case,12.00,,,u,_085000022726,Master,38.64,0.00,1900-01-01,2075-12-31
_085000025055,BAREFOOT SANGRIA 750ML,1083617,1083617,,,,a,Default,Each,1.00,,,u,_085000025055,Master,5.24,0.00,2017-10-02,2075-12-31
_085200000296,SUTTER HOME WHT ZIN 750ML,27767,27767,,,,a,Default,Each,1.00,,,u,_085200000296,Master,5.38,0.00,1900-01-01,2075-12-31
_085200118755,SUTTER HOME PINOT GRIGIO 4PK 187ML,177896,177896,,,,a,Default,Case,24.00,,,e,_0852000011568,Master,29.16,0.00,2017-10-02,2075-12-31
_085200118755,,,,,,,,,,,,,u,_085200118755,,,,,
_085200118755,,,,,,,,,,,,,u,_852000011568,,,,,
_085200218745,SUTTER HOME MERLOT 4PK 187ML,168713,168713,,,,a,Default,Case,24.00,,,u,_085200000029,Master,29.16,0.00,2017-10-02,2075-12-31
_085200218745,,,,,,,,,,,,,u,_085200218745,,,,,
_085200618743,SUTTER HOME CHARDNY 4PK 187ML,51817,51817,,,,a,Default,Case,24.00,,,u,_085200001149,Master,29.16,0.00,2017-10-02,2075-12-31
_085200618743,,,,,,,,,,,,,u,_085200618743,,,,,
_085200618743,,,,,,,,,,,,,u,_852006187434,,,,,
_085200918744,SUTTER HOME WHT ZIN 4PK 187ML,51818,51818,,,,a,Default,Case,24.00,,,u,_085200918744,Master,29.16,0.00,2017-10-02,2075-12-31
_085904454401,MD 20/20 ORANGE JUBILEE 750ML,17713,17713,,,,a,Default,Case,12.00,,,u,_085904454401,Master,36.00,0.00,2016-04-05,2075-12-31
_085904514402,MD 20/20 BANANA RED 750ML,22178,22178,,,,a,Default,Each,1.00,,,u,_085904514402,Master,3.00,0.00,1900-01-01,2075-12-31
_754527000226,NB FAT TIRE 6PK 12Z LN,185818,185818,,,,a,Default,Case,24.00,,,u,_754527000226,Master,31.96,0.00,2017-07-03,2075-12-31
_754527000660,NB RANGER IPA 6PK 12Z LN,1055767,1055767,,,,a,Default,Case,24.00,,,u,_754527000660,Master,31.96,0.00,2017-07-03,2075-12-31
_754527000820,NB SSL 6PK 12Z LN,1057736,1057736,,,,a,Default,Case,24.00,,,u,_754527000820,Master,31.96,0.00,2017-07-03,2075-12-31
_754527004439,NB SNAPSHOT 6PK 12Z LN,1055766,1055766,,,,a,Default,Case,24.00,,,u,_754527004439,Master,31.96,0.00,2017-07-03,2075-12-31
_754527005108,NB SPECIAL RELEASE 6PK 12Z LN,1057738,1057738,,,,a,Default,Case,24.00,,,u,_754527005108,Master,29.98,0.00,1900-01-01,2075-12-31
_754527005368,NB SLOW RIDE 6PK 12Z LN,1064932,1064932,,,,a,Default,Case,24.00,,,u,_754527005368,Master,31.96,0.00,2017-07-03,2075-12-31
_754527006136,NB CITRADELIC 6PK 12Z CN,1078445,1078445,,,,a,Default,Case,24.00,,,u,_754527006136,Master,31.96,0.00,2017-07-03,2075-12-31
_754527007409,NB VOODOO 8 HOP PALE ALE 6PK 12Z LN,1084442,1084442,,,,a,Default,Case,24.00,,,u,_754527007409,Master,31.96,0.00,2017-07-03,2075-12-31
_798373126020,MAGIC HAT #9 6PK 12z LN,173632,173632,,,,a,Default,Case,24.00,,,u,_798373126020,Master,27.50,0.00,2017-07-03,2075-12-31
_798373126068,MAGIC HAT SSL 6PK 12z LN,1050313,1050313,,,,a,Default,Case,24.00,,,u,_798373126068,Master,27.50,0.00,2017-07-03,2075-12-31
