ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_074804007527,PEAK WWF -20 GAL,10002471,10002471,,,,a,601 20A 02,Case,6.00,,,u,_074804007527,Master,22.00,0.00,2018-09-13,2075-12-31
_074804007527,,,,,,,,,,,,,u,_074804107524,,,,,
_074804012934,PEAK WWF -25 W DEICER GAL,10195010,10195010,,,,a,601 20A 02,Case,6.00,,,u,_074804012934,Master,24.00,0.00,2018-09-13,2075-12-31
_0911493500,PURPLE POWER WASHER SOL GAL,87584,87584,,,,a,601 20A 02,Case,6.00,,,u,_009114935000,Master,13.56,0.00,2011-09-23,2075-12-31
_0911493500,,,,,,,,,,,,,u,_052110011957,,,,,
_0911493500,,,,,,,,,,,,,u,_052110119561,,,,,
_0911493500,,,,,,,,,,,,,u,_073926122521,,,,,
_119532,55 GAL WINDSHIELD WASH FLUID,119532,119532,,,,a,77 01 000,Each,1.00,,,u,_020954328005,Master,94.30,0.00,2018-10-11,2075-12-31
_119532,,,,,,,,,,,,,u,_053252588550,,,,,
_119817,PELADOW CALCIUM CHLORIDE 50LB,119817,119817,,,,a,77 01 000,Each,1.00,,,u,_099659140656,Master,26.62,0.00,2010-09-14,2075-12-31
_1595400374,SPENCER 374 HAND PUMP,180052,180052,,,,a,77 01 001,Each,1.00,,,u,_015954003748,Master,33.50,0.00,2018-10-11,2075-12-31
_2460001470,SYSTEM SVR 40LB RST RMV PLN GR,16522,16522,,,,a,601 31 300,Each,1.00,,,u,_024600014700,Master,8.95,0.00,2018-10-11,2075-12-31
_2460001500,SYSTEM SVR 40LB PELLETS YLW,17135,17135,,,,a,601 31 300,Each,1.00,,,u,_024600015004,Master,7.45,0.00,2018-10-11,2075-12-31
_2460003983,SYSTEM SVR 40LB SOLAR SALT BLU,35901,35901,,,,a,601 31 300,Each,1.00,,,u,_024600039826,Master,6.76,0.00,2018-10-11,2075-12-31
_2460003983,,,,,,,,,,,,,u,_024600039833,,,,,
_2460004658,MORTON 25LB SAFE-T-SALT,33199,33199,,,,a,601 31 300,Each,1.00,,,u,_024600046589,Master,4.22,0.00,2015-08-01,2075-12-31
_2460008018,ACTION MELT 25LB,178886,178886,,,,a,601 31 300,Each,1.00,,,u,_024600080187,Master,5.89,0.00,2015-08-01,2075-12-31
_3224762863,MIRACLE GRO POTTING MIX 16qt,183649,183649,,,,a,Default,Each,1.00,,,u,_032247628631,Master,4.49,0.00,1900-01-01,2075-12-31
_7392612345,SPLASH -20 WWS,155489,155489,,,,a,601 20A 02,Case,6.00,,,u,_009114101207,Master,11.82,0.00,2014-10-31,2075-12-31
_7392612345,,,,,,,,,,,,,u,_009114920006,,,,,
_7392612345,,,,,,,,,,,,,u,_009114922000,,,,,
_7392612345,,,,,,,,,,,,,u,_009114925001,,,,,
_7392612345,,,,,,,,,,,,,u,_052110104253,,,,,
_7392612345,,,,,,,,,,,,,u,_053252268810,,,,,
_7392612345,,,,,,,,,,,,,u,_053252588611,,,,,
_7392612345,,,,,,,,,,,,,u,_072593523860,,,,,
_7392612345,,,,,,,,,,,,,u,_073926123450,,,,,
_7392612345,,,,,,,,,,,,,u,_073926222221,,,,,
_7392612345,,,,,,,,,,,,,u,_099032012983,,,,,
_7392612345,,,,,,,,,,,,,u,_406477112015,,,,,
_7392634192,SPLASH -25 ALL SEASON GAL,1054818,1054818,,,,a,Default,Case,6.00,,,u,_073926341922,Master,14.80,0.00,2014-10-31,2075-12-31
_9179243,FIREWOOD,179243,179243,,,,a,601 31 200,Each,1.00,,,u,_075162200056,Master,5.49,0.00,2018-10-11,2075-12-31
_9179243,,,,,,,,,,,,,u,_083702126193,,,,,
_9179243,,,,,,,,,,,,,u,_097818718753,,,,,
_9179243,,,,,,,,,,,,,u,_619354122728,,,,,
_9179243,,,,,,,,,,,,,u,_689725000214,,,,,
_9179243,,,,,,,,,,,,,u,_735144800000,,,,,
_9179243,,,,,,,,,,,,,u,_751622000502,,,,,
_9179243,,,,,,,,,,,,,u,_757167190029,,,,,
_9179243,,,,,,,,,,,,,u,_854649000002,,,,,
_9179243,,,,,,,,,,,,,u,_897162000630,,,,,
