ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_3611500025,FRESH FRUIT,98551,98551,,,,a,201 05 000,Each,1.00,,,u,_836115000259,Master,0.55,0.00,1900-01-01,2075-12-31
_3611500025,,,,,,,,,,,,,u,_837654206058,,,,,
_8907641942,JONNY CINN COATED ALMNDS 6z,175869,175869,,,,a,201 05 002,Each,1.00,,,u,_689076419420,Master,2.00,0.00,1900-01-01,2075-12-31
_8907641942,,,,,,,,,,,,,u,_818224010008,,,,,
_8907641942,,,,,,,,,,,,,u,_818224010275,,,,,
_8907681990,JONNY MR. HONEYSALT 5z,177718,177718,,,,a,201 05 002,Each,1.00,,,u,_689076819909,Master,2.00,0.00,1900-01-01,2075-12-31
_8907681990,,,,,,,,,,,,,u,_818224010046,,,,,
_8907681990,,,,,,,,,,,,,u,_818224010299,,,,,
_8907682000,JONNY BUFFLO SWEET SHEWS 5z,177716,177716,,,,a,201 05 002,Each,1.00,,,u,_689076820004,Master,2.00,0.00,1900-01-01,2075-12-31
_8907682040,JONNY PEANUT BRITTLE 7z,177721,177721,,,,a,201 05 002,Each,1.00,,,u,_689076820400,Master,2.00,0.00,1900-01-01,2075-12-31
_8907682040,,,,,,,,,,,,,u,_818224010022,,,,,
_8907682040,,,,,,,,,,,,,u,_818224010282,,,,,
