ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0000001124,TANK STICK,118183,118183,,,,a,77 01 000,Each,1.00,,,,,Master,12.00,0.00,1900-01-01,2075-12-31
_0753330604,HOWES DSL TRT,161928,161928,,,,a,601 20A 03,Each,1.00,,,,,Master,6.00,0.00,1900-01-01,2075-12-31
_108725,ICE MELT  - SUPPLY,108725,108725,,,,a,77 01 000,Each,1.00,,,,,Master,8.99,0.00,1900-01-01,2075-12-31
_110901,ENVIRONMENTAL FEE,119877,119877,,,,a,77 01 000,Each,1.00,,,,,Master,5.00,0.00,1900-01-01,2075-12-31
_1112,PLASTIC DRUM DEPOSIT,131144,131144,,,,a,77 01 000,Each,1.00,,,,,Master,20.00,0.00,1900-01-01,2075-12-31
_1CACL2,ICE MELT 100LB - SUPPLY,34800,34800,,,,a,77 01 000,Each,1.00,,,,,Master,32.42,0.00,1900-01-01,2075-12-31
_2140056026,PENNZOIL 15W40 OIL GAL,21243,21243,,,,a,601 20 015,Case,6.00,,,,,Master,41.75,0.00,1900-01-01,2075-12-31
_381001,STEEL LEVER PUMP FOR 55 GAL,131141,131141,,,,a,77 01 000,Each,1.00,,,,,Master,32.00,0.00,1900-01-01,2075-12-31
_50552,SQUEEGEE HANDLES,50552,50552,,,,a,77 01 000,Each,1.00,,,,,Master,0.60,0.00,1900-01-01,2075-12-31
_59213-055,WINDSHIELD WASH 55 GAL DRUM,131143,131143,,,,a,77 01 000,Each,1.00,,,,,Master,71.50,0.00,1900-01-01,2075-12-31
_7376700106,FPPF POLAR PWR DSL TRTMNT 32z,70388,70388,,,,a,601 20A 03,Case,24.00,,,,,Master,48.75,0.00,1900-01-01,2075-12-31
_8054885250,OIL DRY,30370,30370,,,,a,95 01 000,Each,1.00,,,,,Master,4.69,0.00,1900-01-01,2075-12-31
_MP3630S,PLASTIC BARREL PUMP,127283,127283,,,,a,77 01 000,Each,1.00,,,,,Master,20.86,0.00,1900-01-01,2075-12-31
