ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_017444000701,SMKNG LOON CAB,32000063,32000063,,,,a,401 03A 000,Each,1.00,,,u,_017444000701,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000725,SMKNG LOON MERLOT,32000064,32000064,,,,a,401 03A 000,Each,1.00,,,u,_017444000725,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000756,SMOKING LOON PINOT NOIR 750ML,163955,163955,,,,a,401 03A 000,Each,1.00,,,u,_017444000756,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000763,SMKNG LOON CHARD,32000065,32000065,,,,a,401 03A 000,Each,1.00,,,u,_017444000763,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000787,SMOKING LOON PINOT GRIGIO 750 ML,32000066,32000066,,,,a,401 03A 000,Each,1.00,,,u,_017444000787,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000862,SMOKING LOON RED LOONATIC 750 ML,32000067,32000067,,,,a,401 03A 000,Each,1.00,,,u,_017444000862,Master,0.00,0.00,1900-01-01,2075-12-31
_017444000893,SMOKING LOON STEELBIRD CHARDONNAY 750 ML,32000068,32000068,,,,a,401 03A 000,Each,1.00,,,u,_017444000893,Master,0.00,0.00,1900-01-01,2075-12-31
_080887493782,BOGLE MERLOT 750ML,1077719,1077719,,,,a,401 03A 000,Each,1.00,,,u,_080887493782,Master,0.00,0.00,1900-01-01,2075-12-31
_080887493928,BOGLE CHARDONNAY 750ML,1061959,1061959,,,,a,401 03A 000,Each,1.00,,,u,_080887493928,Master,0.00,0.00,1900-01-01,2075-12-31
_080887493966,BOGLE CABERNET 750ML,1061961,1061961,,,,a,401 03A 000,Each,1.00,,,u,_080887493966,Master,0.00,0.00,1900-01-01,2075-12-31
_080887496318,BOGLE PINOT NOIR 750ML,1061960,1061960,,,,a,401 03A 000,Each,1.00,,,u,_080887496318,Master,0.00,0.00,1900-01-01,2075-12-31
_086788555901,HAHN CHARDONNAY,35002002,35002002,,,,a,401 03A 000,Each,1.00,,,u,_086788555901,Master,0.00,0.00,1900-01-01,2075-12-31
_088474007459,RELAX RIESLING 1.5,35000640,35000640,,,,a,401 03A 000,Each,1.00,,,u,_088474007459,Master,0.00,0.00,1900-01-01,2075-12-31
_088474008050,RELAX PINK,35000639,35000639,,,,a,401 03A 000,Each,1.00,,,u,_088474008050,Master,0.00,0.00,1900-01-01,2075-12-31
_088474018202,SCHMITT SOHNE REISLING 750ML,174624,174624,,,,a,401 03A 000,Each,1.00,,,u,_088474018202,Master,0.00,0.00,1900-01-01,2075-12-31
_088474022407,RELAX RIESLING,35000641,35000641,,,,a,401 03A 000,Each,1.00,,,u,_088474022407,Master,0.00,0.00,1900-01-01,2075-12-31
_652935100012,7 DEADLY ZINS,35000456,35000456,,,,a,401 03A 000,Each,1.00,,,u,_652935100012,Master,0.00,0.00,1900-01-01,2075-12-31
_663194000012,BEACH HOUSE CHARDONNAY,35001969,35001969,,,,a,401 03A 000,Each,1.00,,,u,_663194000012,Master,0.00,0.00,1900-01-01,2075-12-31
_833302004007,PROJECT PASO CAB SAUV,35002018,35002018,,,,a,401 03A 000,Each,1.00,,,u,_833302004007,Master,0.00,0.00,1900-01-01,2075-12-31
_833302004045,PROJECT PASO ZINFANDEL,35002019,35002019,,,,a,401 03A 000,Each,1.00,,,u,_833302004045,Master,0.00,0.00,1900-01-01,2075-12-31
_833302005059,DON & SONS SIGNAT P. NOIR,35001985,35001985,,,,a,401 03A 000,Each,1.00,,,u,_833302005059,Master,0.00,0.00,1900-01-01,2075-12-31
_833302005363,BIG SMOOTH ZINFANDEL,35001971,35001971,,,,a,401 03A 000,Each,1.00,,,u,_833302005363,Master,0.00,0.00,1900-01-01,2075-12-31
