ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_00018200281372,BUD 20PK 16z ALUM,1076332,1076334,,,,a,401 01G 000,Case,20.00,,,u,_018200281372,Master,20.65,0.00,2018-09-10,2075-12-31
_00018200281402,BUD LT 20PK 16z ALUM,1076335,1076335,,,,a,401 01G 000,Case,20.00,,,u,_018200281402,Master,20.65,0.00,2018-09-10,2075-12-31
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,9.00,0.00,2016-01-13,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,9.00,0.00,2016-01-13,2075-12-31
_016571911256,SPARKLING ICE LEMON LIME 17z,1062137,1062137,,,,a,601 11 000,Case,12.00,,,u,_016571911256,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940348,SPARKLING ICE PEACH NECTARINE / MANGO 17z,1063757,1063757,,,,a,601 11 000,Case,12.00,,,u,_016571940348,Master,9.00,0.00,2016-01-13,2075-12-31
_016571940355,SPARKLING ICE LEMONADE 17z,1052659,1052659,,,,a,601 11 000,Case,12.00,,,u,_016571940355,Master,9.00,0.00,2016-01-13,2075-12-31
_016571950842,SPARKLING ICE CHERRY LEMONADE 17z,1064891,1064891,,,,a,601 11 000,Case,12.00,,,u,_016571950842,Master,9.00,0.00,2016-01-13,2075-12-31
_018200000089,BUD 32z LN,16364,16364,,,,a,401 01J 000,Case,12.00,,,u,_018200000089,Master,28.65,0.00,2018-09-10,2075-12-31
_018200000089,,,,,,,,,,,,,u,_018200110320,,,,,
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,25.40,0.00,2018-09-10,2075-12-31
_018200001062,,,,,,,,,,,,,u,_018200530340,,,,,
_018200001178,BUD LT 32z LN,16580,16580,,,,a,401 01J 000,Case,12.00,,,u,_018200001178,Master,28.65,0.00,2018-09-10,2075-12-31
_018200001178,,,,,,,,,,,,,u,_018200530326,,,,,
_018200003752,BUD ICE 4PK 16z CN,1058006,1058006,,,,a,401 01A 000,Case,24.00,,,u,_018200003752,Master,21.70,0.00,2018-09-10,2075-12-31
_018200004049,LAND SHARK 4PK 16z CN,186065,186065,,,,a,401 01A 000,Case,24.00,,,u,_018200004049,Master,23.90,0.00,1900-01-01,2075-12-31
_018200004049,,,,,,,,,,,,,u,_018200167133,,,,,
_018200004551,BUD 18z LN,1050347,1050347,,,,a,401 01J 000,Case,15.00,,,u,_018200004551,Master,22.00,0.00,2018-09-10,2075-12-31
_018200004568,BUD LT 18z LN,1050348,1050348,,,,a,401 01J 000,Case,15.00,,,u,_018200004568,Master,22.00,0.00,2018-09-10,2075-12-31
