ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_018200000106,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,18.30,0.00,1900-01-01,2075-12-31
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,20.95,0.00,1900-01-01,2075-12-31
_018200000782,NATURAL ICE 6PK 16z CN,42925,42925,,,,a,401 01B 000,Case,24.00,,,u,_018200000782,Master,13.45,0.00,1900-01-01,2075-12-31
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,20.95,0.00,1900-01-01,2075-12-31
_018200002304,BUD LT CHELADA 6PK 12z CN,1068340,1068340,,,,a,401 01B 000,Case,24.00,,,u,_018200002304,Master,23.95,0.00,1900-01-01,2075-12-31
_018200004261,BUSCH LT 6PK 16z CN,16582,16582,,,,a,401 01B 000,Case,24.00,,,u,_018200004261,Master,17.55,0.00,1900-01-01,2075-12-31
_018200004438,MICHELOB GLDN LT 6PK 16z CN,32000076,32000076,,,,a,401 01B 000,Case,24.00,,,u,_018200004438,Master,20.95,0.00,1900-01-01,2075-12-31
_018200006708,MICHELOB GLDN LT 6PK 12z LN,34205,34205,,,,a,401 01B 000,Case,24.00,,,u,_018200006708,Master,18.65,0.00,1900-01-01,2075-12-31
_018200006937,MICHELOB GLDN LT 12PK 12z CN,17692,17692,,,,a,401 01D 000,Case,24.00,,,u,_018200006937,Master,17.70,0.00,1900-01-01,2075-12-31
_018200006941,MICHELOB GLDN LT 6PK 12z CN,184848,184848,,,,a,401 01B 000,Case,24.00,,,u,_018200004339,Master,18.30,0.00,1900-01-01,2075-12-31
_018200006975,MICHELOB GLDN LT 12PK 12z LN,23530,23530,,,,a,401 01D 000,Case,24.00,,,u,_018200006975,Master,17.70,0.00,1900-01-01,2075-12-31
_018200007682,BUSCH 12PK 12z LN,59048,59048,,,,a,401 01D 000,Case,24.00,,,u,_018200007682,Master,15.60,0.00,1900-01-01,2075-12-31
_018200007699,BUD LT 12PK 12z LN,44692,44692,,,,a,401 01D 000,Case,24.00,,,u,_018200007699,Master,17.70,0.00,1900-01-01,2075-12-31
_018200007710,BUD 12PK 12z LN,44694,44694,,,,a,401 01D 000,Case,24.00,,,u,_018200007712,Master,17.70,0.00,1900-01-01,2075-12-31
_018200008016,BUSCH LT 12PK 12z CN,13461,13461,,,,a,401 01D 000,Case,24.00,,,u,_018200008016,Master,14.15,0.00,2018-11-20,2075-12-31
