ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000001215,PEPSI CF DT 20z NR,x001-16027,16027,,,,a,901 04 000,Case,24.00,,,u,_012000001215,Master,0.00,0.00,1900-01-01,2075-12-31
_012000001215,,,,,,,,,,,,,u,_012000006449,,,,,
_012000001215,,,,,,,,,,,,,u,_012000007040,,,,,
_012000001215,,,,,,,,,,,,,u,_012000100673,,,,,
_012000001215,,,,,,,,,,,,,u,_012000172168,,,,,
_012000001291,PEPSI 20z NR,15917,15917,,,,a,901 04 000,Case,24.00,,,u,_012000001291,Master,28.45,0.00,2018-10-12,2075-12-31
_012000001291,,,,,,,,,,,,,u,_012000005312,,,,,
_012000001291,,,,,,,,,,,,,u,_012000006418,,,,,
_012000001291,,,,,,,,,,,,,u,_012000006937,,,,,
_012000001291,,,,,,,,,,,,,u,_012000100543,,,,,
_012000001291,,,,,,,,,,,,,u,_120000053124,,,,,
_012000001307,PEPSI DT 20z NR,x001-14615,14615,,,,a,901 04 000,Case,24.00,,,u,_012000001307,Master,0.00,0.00,1900-01-01,2075-12-31
_012000001307,,,,,,,,,,,,,u,_012000005336,,,,,
_012000001307,,,,,,,,,,,,,u,_012000100550,,,,,
_012000001307,,,,,,,,,,,,,u,_012000171741,,,,,
_012000001307,,,,,,,,,,,,,u,_012000172281,,,,,
_012000001314,MT DEW 20z NR,15777,15777,,,,a,901 04 000,Case,24.00,,,u,_012000000737,Master,28.45,0.00,2018-10-12,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000001314,,,,,
_012000001314,,,,,,,,,,,,,u,_012000005657,,,,,
_012000001314,,,,,,,,,,,,,u,_012000006456,,,,,
_012000001314,,,,,,,,,,,,,u,_012000007675,,,,,
_012000001314,,,,,,,,,,,,,u,_012000100567,,,,,
_012000001345,MT DEW DT 20z NR,15900,15900,,,,a,901 04 000,Case,24.00,,,u,_012000001345,Master,28.45,0.00,2018-10-12,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003820,,,,,
_012000001345,,,,,,,,,,,,,u,_012000003851,,,,,
_012000001345,,,,,,,,,,,,,u,_012000005732,,,,,
