ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000000171,PEPSI 24PK 12z CN,166433,166433,,,,a,901 01 000,Case,24.00,,,u,_012000000171,Master,6.29,0.00,2017-04-01,2075-12-31
_012000000539,PEPSI DT 24PK 12z CN,x1-166413,166413,,,,a,901 01 000,Case,24.00,,,u,_012000000539,Master,6.29,0.00,2017-04-01,2075-12-31
_012000000539,,,,,,,,,,,,,u,_012000171857,,,,,
_012000000539,,,,,,,,,,,,,u,_012000171932,,,,,
_012000000706,PEPSI CF 20z NR,15925,15925,,,,a,901 04 000,Case,24.00,,,u,_012000000706,Master,25.95,0.00,2018-05-31,2075-12-31
_012000000706,,,,,,,,,,,,,u,_012000006951,,,,,
_012000000706,,,,,,,,,,,,,u,_012000100666,,,,,
_012000000881,MT DEW 24PK 12z CN,166428,166428,,,,a,901 01 000,Case,24.00,,,u,_012000000881,Master,6.29,0.00,2017-04-01,2075-12-31
_012000001215,PEPSI CF DT 20z NR,x1-16027,16027,,,,a,901 04 000,Case,24.00,,,u,_012000001215,Master,25.95,0.00,2018-05-31,2075-12-31
_012000001215,,,,,,,,,,,,,u,_012000006449,,,,,
_012000001215,,,,,,,,,,,,,u,_012000007040,,,,,
_012000001215,,,,,,,,,,,,,u,_012000100673,,,,,
_012000001215,,,,,,,,,,,,,u,_012000172168,,,,,
_012000001291,PEPSI 20z NR,15917,15917,,,,a,901 04 000,Case,24.00,,,u,_012000001291,Master,25.95,0.00,2018-05-31,2075-12-31
_012000001291,,,,,,,,,,,,,u,_012000005312,,,,,
_012000001291,,,,,,,,,,,,,u,_012000006418,,,,,
_012000001291,,,,,,,,,,,,,u,_012000006937,,,,,
_012000001291,,,,,,,,,,,,,u,_012000100543,,,,,
_012000001291,,,,,,,,,,,,,u,_120000053124,,,,,
_012000001307,PEPSI DT 20z NR,x1-14615,14615,,,,a,901 04 000,Case,24.00,,,u,_012000001307,Master,25.95,0.00,2018-05-31,2075-12-31
_012000001307,,,,,,,,,,,,,u,_012000005336,,,,,
_012000001307,,,,,,,,,,,,,u,_012000100550,,,,,
_012000001307,,,,,,,,,,,,,u,_012000171741,,,,,
_012000001307,,,,,,,,,,,,,u,_012000172281,,,,,
_012000001314,MT DEW 20z NR,15777,15777,,,,a,901 04 000,Case,24.00,,,u,_012000000737,Master,25.95,0.00,2018-05-31,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000001314,,,,,
_012000001314,,,,,,,,,,,,,u,_012000005657,,,,,
_012000001314,,,,,,,,,,,,,u,_012000006456,,,,,
_012000001314,,,,,,,,,,,,,u,_012000007675,,,,,
_012000001314,,,,,,,,,,,,,u,_012000100567,,,,,
_012000001345,MT DEW DT 20z NR,15900,15900,,,,a,901 04 000,Case,24.00,,,u,_012000001345,Master,25.95,0.00,2018-05-31,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003820,,,,,
_012000001345,,,,,,,,,,,,,u,_012000003851,,,,,
_012000001345,,,,,,,,,,,,,u,_012000005732,,,,,
_012000001345,,,,,,,,,,,,,u,_012000008337,,,,,
_012000001345,,,,,,,,,,,,,u,_012000100574,,,,,
_012000001420,AMP ENERGY SHOT 2Z,179220,179220,,,,a,601 15B 000,Box,24.00,,,u,_012000001420,Master,35.88,0.00,1900-01-01,2075-12-31
_012000001574,AQUAFINA 1L,45629,45629,,,,a,601 10 000,Case,12.00,,,u,_012000001574,Master,10.85,0.00,2019-01-01,2075-12-31
_012000001598,AQUAFINA 20z,140046,140046,,,,a,601 10 000,Case,24.00,,,u,_012000001598,Master,18.14,0.00,2019-01-01,2075-12-31
_012000001635,PEPSI TWST 2L,96438,96438,,,,a,901 03 000,Case,8.00,,,u,_012000001635,Master,12.43,0.00,2019-01-01,2075-12-31
_012000001703,MT DEW DT 24PK 12z CN,166406,166406,,,,a,901 01 000,Case,24.00,,,u,_012000001703,Master,6.29,0.00,2017-04-01,2075-12-31
_012000001772,STARBUCKS DBLSHOT 6.5z,124169,124169,,,,a,601 11B 000,Case,12.00,,,u,_012000001772,Master,18.60,0.00,2017-02-01,2075-12-31
_012000001772,,,,,,,,,,,,,u,_012000202933,,,,,
_012000001802,STARBUCKS FRAPP COFFEE 13.7z,139688,139688,,,,a,601 11B 000,Case,12.00,,,u,_012000001802,Master,21.54,0.00,2019-01-01,2075-12-31
_012000002090,AQUAFINA 1.5L,1050829,1050829,,,,a,601 10 000,Case,12.00,,,u,_012000002090,Master,10.20,0.00,1900-01-01,2075-12-31
_012000002243,MT DEW CDE RED 20z NR,110278,110278,,,,a,901 04 000,Case,24.00,,,u,_012000002243,Master,25.95,0.00,2018-05-31,2075-12-31
_012000002243,,,,,,,,,,,,,u,_012000102967,,,,,
_012000002304,PEPSI 2L,13990,13990,,,,a,901 03 000,Case,8.00,,,u,_012000001130,Master,12.43,0.00,2019-01-01,2075-12-31
_012000002304,,,,,,,,,,,,,u,_012000002304,,,,,
_012000002304,,,,,,,,,,,,,u,_012000163463,,,,,
_012000002304,,,,,,,,,,,,,u,_012000163678,,,,,
_012000002311,PEPSI DT 2L,x1-13992,13992,,,,a,901 03 000,Case,8.00,,,u,_012000001321,Master,12.43,0.00,2019-01-01,2075-12-31
_012000002311,,,,,,,,,,,,,u,_012000002311,,,,,
_012000002311,,,,,,,,,,,,,u,_012000163685,,,,,
_012000002311,,,,,,,,,,,,,u,_012000171765,,,,,
_012000002311,,,,,,,,,,,,,u,_012000172526,,,,,
_012000002335,MT DEW 2L,13989,13989,,,,a,901 03 000,Case,8.00,,,u,_012000002335,Master,12.43,0.00,2019-01-01,2075-12-31
_012000002946,PEPSI 1L,16847,16847,,,,a,901 05 000,Case,12.00,,,u,_012000002946,Master,17.02,0.00,2018-10-01,2075-12-31
_012000002953,PEPSI DT 1L,X1-16846,16846,,,,a,901 05 000,Case,12.00,,,u,_012000002953,Master,17.02,0.00,2018-10-01,2075-12-31
_012000002953,,,,,,,,,,,,,u,_012000171758,,,,,
_012000002977,MT DEW 1L,17471,17471,,,,a,901 05 000,Case,12.00,,,u,_012000002977,Master,17.02,0.00,2018-10-01,2075-12-31
_012000003110,PEPSI WLD CHRY 2L,17675,17675,,,,a,901 03 000,Case,8.00,,,u,_012000003110,Master,12.43,0.00,2019-01-01,2075-12-31
_012000003189,MT DEW DT 1L,23727,23727,,,,a,901 05 000,Case,12.00,,,u,_012000003189,Master,17.02,0.00,2018-10-01,2075-12-31
_012000003417,PEPSI WLD CHRY DT 2L,X1-22615,22615,,,,a,901 03 000,Case,8.00,,,u,_012000003417,Master,12.43,0.00,2019-01-01,2075-12-31
_012000003417,,,,,,,,,,,,,u,_012000172373,,,,,
_012000003554,STARBUCKS FRAPP COFFEE LF 9.5z,53581,53581,,,,a,601 11B 000,Case,12.00,,,u,_012000003554,Master,16.34,0.00,1900-01-01,2075-12-31
_012000003554,,,,,,,,,,,,,u,_012000101519,,,,,
_012000003691,LIP BRSK LMN 20z NR,36473,36473,,,,a,901 04B 000,Case,24.00,,,u,_012000003691,Master,20.98,0.00,2019-01-01,2075-12-31
_012000003691,,,,,,,,,,,,,u,_012000202391,,,,,
_012000003721,PEPSI WILD CHERRY 12z GLS,1064182,1064182,,,,a,901 08 010,Case,24.00,,,u,_012000003721,Master,24.90,0.00,2016-12-01,2075-12-31
_012000004100,STARBUCKS FRAPP VANILLA 9.5z,64740,64740,,,,a,601 11B 000,Case,24.00,,,u,_012000004100,Master,32.67,0.00,1900-01-01,2075-12-31
_012000004438,PEPSI 12z LN GLS NR,1053643,1053643,,,,a,901 08 010,Case,24.00,,,u,_012000004438,Master,24.90,0.00,2016-12-01,2075-12-31
_012000004438,,,,,,,,,,,,,u,_012000035395,,,,,
_012000004438,,,,,,,,,,,,,u,_012000109416,,,,,
_012000004438,,,,,,,,,,,,,u,_012000110924,,,,,
_012000004452,MT DEW 12z LN GLS NR,1053644,1053644,,,,a,901 08 010,Case,24.00,,,e,_0120006297546,Master,24.90,0.00,2016-12-01,2075-12-31
_012000004452,,,,,,,,,,,,,u,_012000004452,,,,,
_012000004452,,,,,,,,,,,,,u,_120006297546,,,,,
_012000004520,STARBUCKS FRAPP MOCHA 13.7z,139686,139686,,,,a,601 11B 000,Case,12.00,,,u,_012000004520,Master,21.54,0.00,2019-01-01,2075-12-31
_012000004926,PEPSI CF 2L,13991,13991,,,,a,901 03 000,Case,8.00,,,u,_012000004926,Master,12.43,0.00,2019-01-01,2075-12-31
_012000004964,PEPSI CF DT 2L,x1-13993,13993,,,,a,901 03 000,Case,8.00,,,u,_012000004964,Master,12.43,0.00,2019-01-01,2075-12-31
_012000004964,,,,,,,,,,,,,u,_012000172137,,,,,
_012000005596,PEPSI WLD CHRY 20z NR,23865,23865,,,,a,901 04 000,Case,24.00,,,u,_012000001390,Master,25.95,0.00,2018-05-31,2075-12-31
_012000005596,,,,,,,,,,,,,u,_012000005596,,,,,
_012000005794,PEPSI WLD CHRY DT 20z NR,X1-135718,135718,,,,a,901 04 000,Case,24.00,,,u,_012000005794,Master,25.95,0.00,2018-05-31,2075-12-31
_012000005794,,,,,,,,,,,,,u,_012000172380,,,,,
_012000005923,MT DEW SHINE 12z GLS NR,1064127,1064127,,,,a,901 08 010,Case,24.00,,,u,_012000005923,Master,24.90,0.00,2016-12-01,2075-12-31
_012000005923,,,,,,,,,,,,,u,_012000141386,,,,,
_012000006494,STARBUCKS FRAPP MOCHA 9.5z,1051479,53582,,,,a,601 11B 000,Case,12.00,,,u,_012000006494,Master,16.34,0.00,1900-01-01,2075-12-31
_012000007163,LIPTON PL TEA HOUSE WILD BLK BERRY & SAGE 14z,1078827,1078827,,,,a,601 14 000,Case,12.00,,,u,_012000007163,Master,17.82,0.00,1900-01-01,2075-12-31
_012000007170,LIPTON PL TEA HOUSE FUJI APPLE & GINGER 14z,1078832,1078832,,,,a,601 14 000,Case,12.00,,,u,_012000007170,Master,17.82,0.00,2016-02-12,2075-12-31
_012000007200,LIPTON PL TEA HOUSE LEMON & HONEYSUCKLE 14z,1078831,1078831,,,,a,601 14 000,Case,12.00,,,u,_012000007200,Master,17.82,0.00,2016-02-12,2075-12-31
_012000007293,STARBUCKS DBLSHOT SALTED CARAMEL 6.5z,1082514,1082514,,,,a,601 11B 000,Case,12.00,,,u,_012000007293,Master,18.60,0.00,2017-02-01,2075-12-31
_012000007392,STARBUCKS DBLSHOT CUBANO 6.5z,1082513,1082513,,,,a,601 11B 000,Case,12.00,,,u,_012000007392,Master,18.60,0.00,2017-02-01,2075-12-31
_012000007460,MT DEW DT 2L,14704,14704,,,,a,901 03 000,Case,8.00,,,u,_012000007460,Master,12.43,0.00,2019-01-01,2075-12-31
_012000008030,LIPTON PL TEA HOUSE STRAWBERRY MINT 14z,1086303,1086303,,,,a,601 14 000,Case,12.00,,,u,_012000008030,Master,17.82,0.00,1900-01-01,2075-12-31
_012000008047,LIPTON PL TEA HOUSE SPICED CHAI 14z,1086314,1086314,,,,a,601 14 000,Case,12.00,,,u,_012000008047,Master,17.82,0.00,1900-01-01,2075-12-31
_012000008139,PEPSI ONE 2L,74609,74609,,,,a,901 03 000,Case,8.00,,,u,_012000008139,Master,12.43,0.00,2019-01-01,2075-12-31
_012000008269,PEPSI 24z NR 6PK,113728,113728,,,,a,901 09 000,Case,24.00,,,u,_012000008269,Master,0.10,0.00,1900-01-01,2075-12-31
_012000008412,PEPSI DT 24z NR 6PK,x1-113733,113733,,,,a,901 09 000,Case,24.00,,,u,_012000008412,Master,0.10,0.00,1900-01-01,2075-12-31
_012000008412,,,,,,,,,,,,,u,_012000172229,,,,,
_012000008498,MT DEW 24z NR 6PK,113731,113731,,,,a,901 09 000,Case,24.00,,,u,_012000008498,Master,0.10,0.00,1900-01-01,2075-12-31
_012000008801,STARBUCKS DBLSHOT LT 6.5z,1076972,1076972,,,,a,601 11B 000,Case,12.00,,,u,_012000008801,Master,18.60,0.00,2017-02-01,2075-12-31
_012000008801,,,,,,,,,,,,,u,_012000017544,,,,,
_012000008801,,,,,,,,,,,,,u,_012000017551,,,,,
