ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012000000133,PEPSI 12z CN,14058,14058,,,,a,Default,Case,24.00,,,u,_012000000133,Master,6.25,0.00,1900-01-01,2075-12-31
_012000000133,,,,,,,,,,,,,u,_012000005688,Philadelphia Sugar Tax,6.25,0.00,2016-12-20,2075-12-31
_012000000171,PEPSI 24PK 12z CN,166433,166433,,,,a,901 01 000,Case,24.00,,,u,_012000000171,Master,6.29,0.00,2017-04-01,2075-12-31
_012000000171,,,,,,,,,,,,,,,Philadelphia Sugar Tax,6.29,0.00,2017-07-01,2075-12-31
_012000000539,PEPSI DT 24PK 12z CN,x1-166413,166413,,,,a,901 01 000,Case,24.00,,,u,_012000000539,Master,6.29,0.00,2017-04-01,2075-12-31
_012000000539,,,,,,,,,,,,,u,_012000171857,Philadelphia Sugar Tax,6.29,0.00,2017-07-01,2075-12-31
_012000000539,,,,,,,,,,,,,u,_012000171932,,,,,
_012000000706,PEPSI CF 20z NR,15925,15925,,,,a,901 04 000,Case,24.00,,,u,_012000000706,Master,33.66,0.00,2018-05-31,2075-12-31
_012000000706,,,,,,,,,,,,,u,_012000006951,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000000706,,,,,,,,,,,,,u,_012000100666,,,,,
_012000000850,MT DEW 12z CN,14056,14056,,,,a,Default,Case,24.00,,,u,_012000000850,Master,6.25,0.00,1900-01-01,2075-12-31
_012000000850,,,,,,,,,,,,,u,_012000005916,Philadelphia Sugar Tax,6.25,0.00,2016-12-20,2075-12-31
_012000000881,MT DEW 24PK 12z CN,166428,166428,,,,a,901 01 000,Case,24.00,,,u,_012000000881,Master,6.29,0.00,2017-04-01,2075-12-31
_012000000881,,,,,,,,,,,,,,,Philadelphia Sugar Tax,6.29,0.00,2017-07-01,2075-12-31
_012000001215,PEPSI CF DT 20z NR,x1-16027,16027,,,,a,901 04 000,Case,24.00,,,u,_012000001215,Master,33.66,0.00,2018-05-31,2075-12-31
_012000001215,,,,,,,,,,,,,u,_012000006449,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000001215,,,,,,,,,,,,,u,_012000007040,,,,,
_012000001215,,,,,,,,,,,,,u,_012000100673,,,,,
_012000001215,,,,,,,,,,,,,u,_012000172168,,,,,
_012000001291,PEPSI 20z NR,15917,15917,,,,a,901 04 000,Case,24.00,,,u,_012000001291,Master,33.66,0.00,2018-05-31,2075-12-31
_012000001291,,,,,,,,,,,,,u,_012000005312,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000001291,,,,,,,,,,,,,u,_012000006418,,,,,
_012000001291,,,,,,,,,,,,,u,_012000006937,,,,,
_012000001291,,,,,,,,,,,,,u,_012000100543,,,,,
_012000001291,,,,,,,,,,,,,u,_120000053124,,,,,
_012000001307,PEPSI DT 20z NR,x1-14615,14615,,,,a,901 04 000,Case,24.00,,,u,_012000001307,Master,33.66,0.00,2018-05-31,2075-12-31
_012000001307,,,,,,,,,,,,,u,_012000005336,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000001307,,,,,,,,,,,,,u,_012000100550,,,,,
_012000001307,,,,,,,,,,,,,u,_012000171741,,,,,
_012000001307,,,,,,,,,,,,,u,_012000172281,,,,,
_012000001314,MT DEW 20z NR,15777,15777,,,,a,901 04 000,Case,24.00,,,u,_012000000737,Master,33.66,0.00,2018-05-31,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000001314,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000005657,,,,,
_012000001314,,,,,,,,,,,,,u,_012000006456,,,,,
_012000001314,,,,,,,,,,,,,u,_012000007675,,,,,
_012000001314,,,,,,,,,,,,,u,_012000100567,,,,,
_012000001345,MT DEW DT 20z NR,15900,15900,,,,a,901 04 000,Case,24.00,,,u,_012000001345,Master,33.66,0.00,2018-05-31,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003820,Philadelphia Sugar Tax,33.10,0.00,2018-02-08,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003851,,,,,
_012000001345,,,,,,,,,,,,,u,_012000005732,,,,,
