ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_01000993043,CO2 DEPOSIT REFUND,51474,51474,,,,a,215 02 001,Each,1.00,,,u,_012000402692,Master,70.00,0.00,1900-01-01,2075-12-31
_01000993043,,,,,,,,,,,,,u,_012000500961,,,,,
_012000001215,20OZ PL CF DT PEPSI 1/24S,16027,16027,,,,a,901 04 000,Case,24.00,,,u,_012000001215,Master,28.90,0.00,1900-01-01,2075-12-31
_012000001215,,,,,,,,,,,,,u,_012000006449,,,,,
_012000001215,,,,,,,,,,,,,u,_012000007040,,,,,
_012000001215,,,,,,,,,,,,,u,_012000100673,,,,,
_012000001215,,,,,,,,,,,,,u,_012000172168,,,,,
_012000001215,,,,,,,,,,,,,u,_012000709463,,,,,
_012000001291,PEPSI 20z NR,15917,15917,,,,a,901 04 000,Case,24.00,,,u,_012000001291,Master,29.10,0.00,2019-01-03,2075-12-31
_012000001291,,,,,,,,,,,,,u,_012000707056,,,,,
_012000001307,20OZ PL DT PEPSI 1/24S,14615,14615,,,,a,901 04 000,Case,24.00,,,u,_012000001307,Master,28.90,0.00,1900-01-01,2075-12-31
_012000001307,,,,,,,,,,,,,u,_012000005336,,,,,
_012000001307,,,,,,,,,,,,,u,_012000100550,,,,,
_012000001307,,,,,,,,,,,,,u,_012000171741,,,,,
_012000001307,,,,,,,,,,,,,u,_012000172281,,,,,
_012000001307,,,,,,,,,,,,,u,_012000707063,,,,,
_012000001314,MT DEW 20z NR,15777,15777,,,,a,901 04 000,Case,24.00,,,u,_012000001314,Master,29.10,0.00,2019-01-03,2075-12-31
_012000001314,,,,,,,,,,,,,u,_012000707070,,,,,
_012000001345,20OZ PL DT MDEW 1/24S,15900,15900,,,,a,901 04 000,Case,24.00,,,u,_012000001345,Master,28.90,0.00,1900-01-01,2075-12-31
_012000001345,,,,,,,,,,,,,u,_012000003820,,,,,
_012000001345,,,,,,,,,,,,,u,_012000003851,,,,,
_012000001345,,,,,,,,,,,,,u,_012000005732,,,,,
_012000001345,,,,,,,,,,,,,u,_012000008337,,,,,
_012000001345,,,,,,,,,,,,,u,_012000100574,,,,,
_012000001345,,,,,,,,,,,,,u,_012000707087,,,,,
_012000001574,AQUAFINA 1L,45629,45629,,,,a,601 10 000,Case,15.00,,,u,_012000001574,Master,13.56,0.00,2019-01-01,2075-12-31
_012000001598,AQUAFINA 20z,140046,140046,,,,a,601 10 000,Case,24.00,,,u,_012000001598,Master,18.14,0.00,2019-01-01,2075-12-31
_012000001772,6.5OZ CN STRBK DS 1/12,124169,124169,,,,a,601 11B 000,Case,12.00,,,u,_012000001772,Master,9.25,0.00,1900-01-01,2075-12-31
_012000001772,,,,,,,,,,,,,u,_012000202933,,,,,
_012000001772,,,,,,,,,,,,,u,_012000709135,,,,,
_012000001802,13.7OZ NR FRAP COF 1/12,139688,139688,,,,a,601 11B 000,Case,12.00,,,u,_012000001802,Master,9.25,0.00,1900-01-01,2075-12-31
_012000001802,,,,,,,,,,,,,u,_012000712463,,,,,
_012000002243,20OZ PL MDEW CD RD 1/24S,110278,110278,,,,a,901 04 000,Case,24.00,,,u,_012000002243,Master,28.90,0.00,1900-01-01,2075-12-31
_012000002243,,,,,,,,,,,,,u,_012000102967,,,,,
_012000002243,,,,,,,,,,,,,u,_012000707261,,,,,
_012000002304,2L PL PEPSI 1/8S,13990,13990,,,,a,901 03 000,Case,8.00,,,u,_012000002304,Master,13.60,0.00,1900-01-01,2075-12-31
_012000002304,,,,,,,,,,,,,u,_012000707131,,,,,
_012000002311,2L PL DT PEPSI 1/8S,13992,13992,,,,a,901 03 000,Case,8.00,,,u,_012000001321,Master,13.60,0.00,1900-01-01,2075-12-31
_012000002311,,,,,,,,,,,,,u,_012000002311,,,,,
_012000002311,,,,,,,,,,,,,u,_012000163685,,,,,
_012000002311,,,,,,,,,,,,,u,_012000171765,,,,,
_012000002311,,,,,,,,,,,,,u,_012000172526,,,,,
_012000002311,,,,,,,,,,,,,u,_012000900242,,,,,
_012000002335,2L PL MDEW 1/8S,13989,13989,,,,a,901 03 000,Case,8.00,,,u,_012000002335,Master,13.60,0.00,1900-01-01,2075-12-31
_012000002335,,,,,,,,,,,,,u,_012000707094,,,,,
_012000002946,1L PL PEPSI 1/15S,16847,16847,,,,a,901 05 000,Case,15.00,,,u,_012000002946,Master,20.00,0.00,1900-01-01,2075-12-31
_012000002946,,,,,,,,,,,,,u,_012000719219,,,,,
_012000002953,PEPSI DT 1L,16846,16846,,,,a,901 05 000,Case,15.00,,,u,_012000002953,Master,20.00,0.00,1900-01-01,2075-12-31
_012000002953,,,,,,,,,,,,,u,_012000171758,,,,,
_012000002977,1L PL MDEW 1/15S,17471,17471,,,,a,901 05 000,Case,15.00,,,u,_012000002977,Master,20.00,0.00,1900-01-01,2075-12-31
_012000002977,,,,,,,,,,,,,u,_012000719233,,,,,
_012000003110,2L PL PEPSI WCHE 1/8S,17675,17675,,,,a,901 03 000,Case,8.00,,,u,_012000003110,Master,13.60,0.00,1900-01-01,2075-12-31
_012000003110,,,,,,,,,,,,,u,_012000107894,,,,,
_012000003189,MT DEW DT 1L,23727,23727,,,,a,901 05 000,Case,15.00,,,u,_012000003189,Master,20.00,0.00,1900-01-01,2075-12-31
_012000003417,2L PL DT PEPSI WCHE 1/8S,22615,22615,,,,a,901 03 000,Case,8.00,,,u,_012000003417,Master,13.60,0.00,1900-01-01,2075-12-31
_012000003417,,,,,,,,,,,,,u,_012000108488,,,,,
_012000003417,,,,,,,,,,,,,u,_012000172373,,,,,
_012000003622,MT DEW CDE RED 1L,110407,110407,,,,a,901 05 000,Case,15.00,,,u,_012000003622,Master,20.00,0.00,1900-01-01,2075-12-31
_012000003721,PEPSI WILD CHERRY 12z GLS,1064182,1064182,,,,a,901 08 010,Case,24.00,,,u,_012000003721,Master,24.90,0.00,1900-01-01,2075-12-31
_012000004438,PEPSI 12z LN GLS NR,1053643,1053643,,,,a,Default,Case,24.00,,,u,_012000004438,Master,24.90,0.00,1900-01-01,2075-12-31
_012000004438,,,,,,,,,,,,,u,_012000035395,,,,,
_012000004438,,,,,,,,,,,,,u,_012000109416,,,,,
_012000004438,,,,,,,,,,,,,u,_012000110924,,,,,
_012000004520,13.7OZ NR FRAP MCH 1/12,139686,139686,,,,a,601 11B 000,Case,12.00,,,u,_012000004520,Master,9.25,0.00,1900-01-01,2075-12-31
_012000004520,,,,,,,,,,,,,u,_012000709357,,,,,
_012000004926,2L PL CF PEPSI 1/8S,13991,13991,,,,a,901 03 000,Case,8.00,,,u,_012000000522,Master,13.60,0.00,1900-01-01,2075-12-31
_012000004926,,,,,,,,,,,,,u,_012000004926,,,,,
