ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800000511,CLAMATO JUICE 5.5z,1055239,1055239,,,,a,601 12A 000,Case,24.00,,,u,_014800000511,Master,15.20,0.00,1900-01-01,2075-12-31
_014800511345,CLAMATO 1L,32006583,32006583,,,,a,401 01J 000,Case,6.00,,,u,_014800511345,Master,19.00,0.00,1900-01-01,2075-12-31
_014800516470,CLAMATO 64z,32006586,32006586,,,,a,401 01J 000,Case,8.00,,,u,_014800516470,Master,39.95,0.00,1900-01-01,2075-12-31
_016600000043,ROSES LIME JUICE 12PK 12z,32000060,32000060,,,,a,401 06A 000,Case,12.00,,,u,_016600000043,Master,33.95,0.00,1900-01-01,2075-12-31
_016600000050,ROSES GRENADINE 12PK 12z,32000061,32000061,,,,a,401 06A 000,Case,12.00,,,u,_016600000050,Master,28.75,0.00,1900-01-01,2075-12-31
_018138201022,EDNA VALLEY CHARDONNAY 750ML,1056428,1056428,,,,a,401 03A 000,Case,12.00,,,u,_018138201022,Master,112.00,0.00,1900-01-01,2075-12-31
_018138202029,EDNA VALLEY SAUVIGNON BLANC 750ML,35000549,35000549,,,,a,401 03A 000,Case,12.00,,,u,_018138202029,Master,112.00,0.00,1900-01-01,2075-12-31
_018341151015,BAREFOOT CAB SAUV 1.5L,1067796,1067796,,,,a,401 03A 000,Case,6.00,,,u,_018341151015,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151022,BAREFOOT SAUVIGNON BLANC 1.5L,32000157,32000157,,,,a,401 03A 000,Case,6.00,,,u,_018341151022,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151053,BAREFOOT CHARDONNAY 1.5L,1068747,1068747,,,,a,401 03A 000,Case,6.00,,,u,_018341151053,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151060,BAREFOOT WHT ZIN 1.5L,1086317,1086317,,,,a,401 03A 000,Case,6.00,,,u,_018341151060,Master,52.00,0.00,1900-01-01,2075-12-31
_018341151107,BAREFOOT MERLOT 1.5L,32000158,32000158,,,,a,401 03A 000,Case,6.00,,,u,_018341151107,Master,52.00,0.00,1900-01-01,2075-12-31
_018341751017,BAREFOOT CAB SAUV 750ML,1054649,1015899,,,,a,401 03A 000,Case,12.00,,,u,_018341751017,Master,56.00,0.00,1900-01-01,2075-12-31
