ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_025713919609,UPTIME ORIGINAL CANE SUGAR 12z,1088982,1088982,,,,a,601 13A 000,Case,24.00,,,u,_025713919609,Master,40.00,0.00,2018-08-23,2075-12-31
_025713919708,UPTIME ORIGINAL SUGAR FREE 12z,1088981,1088981,,,,a,601 13A 000,Case,24.00,,,u,_025713919708,Master,40.00,0.00,2018-08-23,2075-12-31
_029500269335,NEHI PEACH 2L PP .99,1079734,1079734,,,,a,901 03 000,Case,8.00,,,u,_029500269335,Master,6.40,0.00,2016-03-24,2075-12-31
_050200000997,SUNNY DELIGHT 2L PP .99,1079484,1079484,,,,a,901 03A 000,Case,8.00,,,u,_050200000997,Master,6.40,0.00,2016-03-25,2075-12-31
_050200563003,SUNNY D FRUIT PUNCH 16z,1056510,1056510,,,,a,601 12A 000,Case,12.00,,,u,_050200563003,Master,10.25,0.00,1900-01-01,2075-12-31
_050200578007,SUNNY D CHERRY LIMEADE 16z,1052595,1052595,,,,a,601 12A 000,Case,12.00,,,u,_050200578007,Master,10.25,0.00,1900-01-01,2075-12-31
_050200585005,SUNNY D GRAPE 16z,1052594,1052594,,,,a,601 12A 000,Case,12.00,,,u,_050200585005,Master,10.25,0.00,1900-01-01,2075-12-31
_050200589003,SUNNY D GREEN APPLE 16z,1078835,1078835,,,,a,601 12A 000,Case,12.00,,,u,_050200589003,Master,10.25,0.00,2016-02-12,2075-12-31
_071537020120,POLAR TONIC WATER 1L,1086724,1086724,,,,a,601 11 000,Case,12.00,,,u,_071537020120,Master,10.00,0.00,1900-01-01,2075-12-31
_071537020120,,,,,,,,,,,,,u,_071537120127,,,,,
_071537021042,POLAR SELTZER CRNBYCIDR 1L,1090837,1090837,,,,a,Default,Case,12.00,,,u,_071537021042,Master,10.00,0.00,1900-01-01,2075-12-31
_071537021134,POLAR SELTZER GINGERLIME 1L,1090871,1090871,,,,a,601 11 000,Case,12.00,,,u,_071537021134,Master,10.00,0.00,1900-01-01,2075-12-31
_071537021189,POLAR SELTZER BLACKBERRY CLEMENTINE 1L,1090903,1090903,,,,a,601 11 000,Case,12.00,,,u,_071537021189,Master,10.00,0.00,1900-01-01,2075-12-31
_071537021196,POLAR SELTZER HIBISCUS CLOUDBERRY 1L,1090929,1090929,,,,a,601 11 000,Case,12.00,,,u,_071537021196,Master,10.00,0.00,1900-01-01,2075-12-31
_071537021202,POLAR SELTZER VANILLA ZEN 1L,1090941,1090941,,,,a,Default,Case,12.00,,,u,_071537021202,Master,10.00,0.00,1900-01-01,2075-12-31
_071537060348,POLAR SELTZER LEMON WTR  20z,1067815,1067815,,,,a,901 11 000,Case,24.00,,,u,_071537060348,Master,14.88,0.00,1900-01-01,2075-12-31
_071817799210,BIG RED 2L PP .99,1079735,1079735,,,,a,901 03 000,Case,8.00,,,u,_071817799210,Master,6.40,0.00,2016-03-24,2075-12-31
_073360709258,ARIZONA MUCHO MANGO 23.5z CAN,181055,181055,,,,a,601 12A 000,Case,24.00,,,u,_073360709258,Master,14.99,0.00,1900-01-01,2075-12-31
_073360709258,,,,,,,,,,,,,u,_613008735418,,,,,
_073360710162,ARIZONA GRN TEA GNSNG HNY 20z,47470,47470,,,,a,601 14 000,Case,12.00,,,u,_073360710162,Master,12.50,0.00,1900-01-01,2075-12-31
_076183000175,SNAPPLE HALF AND HALF  DT TEA 16z,x1-192793,192793,,,,a,601 14 000,Case,12.00,,,u,_076183000175,Master,10.80,0.00,1900-01-01,2075-12-31
