ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_014800004946,CLAMATO PET 12z,1087649,1087649,,,,a,601 12A 000,Case,24.00,,,u,_014800004946,Master,11.75,0.00,2018-05-07,2075-12-31
_014800004946,,,,,,,,,,,,,u,_014800004960,,,,,
_041710777417,SUNDROP DT 20z NR,31588,31588,,,,a,901 04 000,Case,24.00,,,u,_041710727382,Master,22.50,0.00,2018-08-01,2075-12-31
_041710777417,,,,,,,,,,,,,u,_041710777417,,,,,
_041710777417,,,,,,,,,,,,,u,_078000231403,,,,,
_050200585005,SUNNY D GRAPE 16z,1052594,1052594,,,,a,601 12A 000,Case,12.00,,,u,_050200585005,Master,10.25,0.00,1900-01-01,2075-12-31
_050200589003,SUNNY D GREEN APPLE 16z,1078835,1078835,,,,a,601 12A 000,Case,12.00,,,u,_050200589003,Master,10.25,0.00,2016-02-12,2075-12-31
_072350000115,YOO-HOO FF CHOCOLATE 15.5z,15188,15188,,,,a,601 11B 000,Case,24.00,,,u,_072350000115,Master,20.50,0.00,1900-01-01,2075-12-31
_072796022719,IBC ROOT BEER SODA GLS 12z,1055173,1055173,,,,a,901 08 010,Case,24.00,,,u,_072796000038,Master,11.24,0.00,1900-01-01,2075-12-31
_072796022719,,,,,,,,,,,,,u,_072796022719,,,,,
_072796990100,IBC CREAM SODA GLS 12z,1055172,1055172,,,,a,901 08 010,Case,24.00,,,u,_072796000045,Master,72.65,0.00,2017-01-01,2075-12-31
_072796990100,,,,,,,,,,,,,u,_072796990100,,,,,
_076183000175,SNAPPLE HALF AND HALF  DT TEA 16z,x1-192793,192793,,,,a,601 14 000,Case,12.00,,,u,_076183000175,Master,10.80,0.00,1900-01-01,2075-12-31
_076183000175,,,,,,,,,,,,,u,_076183003183,,,,,
_076183000212,SNAPPLE HALF AND HALF DT 32z,1052592,1052592,,,,a,601 14 000,Case,12.00,,,u,_076183000212,Master,14.20,0.00,1900-01-01,2075-12-31
_076183000328,SNAPPLE CHERRY/POM TEA 16z,1051744,1051744,,,,a,601 14 000,Case,12.00,,,u,_076183000328,Master,10.80,0.00,1900-01-01,2075-12-31
_076183000410,SNAPPLE HALF AND HALF TEA 16z,x1-1052593,1052593,,,,a,601 14 000,Case,12.00,,,u,_076183000410,Master,10.80,0.00,1900-01-01,2075-12-31
_076183000410,,,,,,,,,,,,,u,_076183003169,,,,,
_076183001028,SNAPPLE HALF AND HALF 32z,1052584,1052584,,,,a,601 14 000,Case,12.00,,,u,_076183001028,Master,14.20,0.00,1900-01-01,2075-12-31
_076183001523,SNAPPLE STRAIGHT UP TEA 16z,1055174,1055174,,,,a,601 14 000,Case,12.00,,,u,_076183001523,Master,11.75,0.00,2016-04-26,2075-12-31
_076183001776,SNAPPLE ORANGEADE 16oz,1070568,1070568,,,,a,601 12A 000,Case,24.00,,,u,_076183001776,Master,21.60,0.00,2016-04-26,2075-12-31
_076183001776,,,,,,,,,,,,,u,_076183002148,,,,,
_076183001776,,,,,,,,,,,,,u,_076183163719,,,,,
_076183002049,SNAPPLE Whoa-CONUT BERRY 15z,1057907,1057907,,,,a,601 11B 000,Case,12.00,,,u,_076183002049,Master,11.75,0.00,1900-01-01,2075-12-31
_076183002056,SNAPPLE Whoa-CONUT PINEAPPLE 15z,1057903,1057903,,,,a,601 11B 000,Case,12.00,,,u,_076183002056,Master,11.75,0.00,1900-01-01,2075-12-31
_076183002230,SNAPPLE SWEETENED STRAIGHT UP TEA 18.5z,1057895,1057895,,,,a,601 14 000,Case,12.00,,,u,_076183002230,Master,11.75,0.00,1900-01-01,2075-12-31
