ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_0922404190,SPORT FAN BTL OPNR KEY CHAIN,1055093,1055093,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041907,Master,4.05,0.00,2015-04-15,2075-12-31
_0922404191,SPORT FAN EARRINGS,1055117,1055117,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041914,Master,6.04,0.00,2013-11-06,2075-12-31
_0922404192,SPORT FAN WOOD PLAQUE,1055121,1055121,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041921,Master,6.04,0.00,2013-11-06,2075-12-31
_0922404193,SPORT FAN MAN CV SIGN,1055161,1055161,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041938,Master,21.16,0.00,2013-11-07,2075-12-31
_0922404194,SPORT FAN HOUSE FLAG,1055158,1055158,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041945,Master,18.14,0.00,2013-11-07,2075-12-31
_0922404195,SPORT FAN NFL GLOVES,1055113,1055113,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041952,Master,5.79,0.00,2015-04-15,2075-12-31
_0922404196,SPORT FAN CAR FLAG,1055147,1055147,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041969,Master,10.80,0.00,2013-11-06,2075-12-31
_0922404197,SPORT FAN PLAYING CARDS,1055095,1055095,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041976,Master,4.05,0.00,2015-04-15,2075-12-31
_0922404198,SPORT FAN CAN KOOZIE,1055107,1055107,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041983,Master,3.47,0.00,2015-04-15,2075-12-31
_0922404199,SPORT FAN PENS 5PK,1055092,1055092,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224041990,Master,4.05,0.00,2015-04-15,2075-12-31
_0922404200,SPORT FAN LANYARD,1055118,1055118,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042003,Master,5.79,0.00,2015-04-15,2075-12-31
_0922404202,SPORT FAN TOOTHBRUSH,1055112,1055112,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042027,Master,4.63,0.00,2015-04-15,2075-12-31
_0922404203,SPORT FAN FAMILY DECAL,1055094,1055094,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042034,Master,4.22,0.00,2013-11-06,2075-12-31
_0922404204,SPORT FAN WINDOW CLING,1055103,1055103,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042041,Master,2.41,0.00,2013-11-06,2075-12-31
_0922404206,SPORT FAN ICE CUBES,1055137,1055137,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042065,Master,9.67,0.00,2013-11-06,2075-12-31
_0922404207,SPORT FAN STIR STICKS,1055096,1055096,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042072,Master,4.22,0.00,2013-11-06,2075-12-31
_0922404208,SPORT FAN CLNK N DRNK,1055154,1055154,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042089,Master,15.11,0.00,2013-11-07,2075-12-31
_0922404211,SPORT FAN SUNGLASSES,1055128,1055128,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042119,Master,8.69,0.00,2015-04-15,2075-12-31
_0922404212,SPORT FAN GRDN GNOME,1055155,1055155,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042126,Master,15.10,0.00,2013-11-07,2075-12-31
_0922404214,SPORT FAN NFL BEANIE HAT,1055139,1055139,,,,a,601 22 000 Novelty,Each,1.00,,,u,_609224042140,Master,9.27,0.00,2015-04-15,2075-12-31
_3394711702,SPORTS FAN TEAM NFL TEENY MATES,1056380,1056380,,,,a,601 22 000 Novelty,Each,1.00,,,u,_733947117028,Master,2.41,0.00,1900-01-01,2075-12-31
_3727810624,SPORT FAN BANDAIDS,1055098,1055098,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106249,Master,4.22,0.00,2013-11-06,2075-12-31
_3727810625,SPORT FAN DOG TAGS,1055120,1055120,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106256,Master,5.79,0.00,2015-04-15,2075-12-31
_3727810626,SPORT FAN SHOE LACES,1055111,1055111,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106263,Master,3.47,0.00,2015-04-15,2075-12-31
_3727810627,SPORT FAN SOUVENIR MAGNET,1055105,1055105,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106270,Master,2.41,0.00,2013-11-06,2075-12-31
_3727810628,SPORT FAN LCNS PLATE FRAME,1055138,1055138,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106287,Master,9.27,0.00,2015-04-15,2075-12-31
_3727810629,SPORT FAN GARDEN FLAG,1055131,1055131,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106294,Master,9.27,0.00,2015-04-15,2075-12-31
_3727810630,SPORT FAN NEOPRENE COASTERS,1055126,1055126,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106300,Master,7.85,0.00,2013-11-06,2075-12-31
_3727810631,SPORT FAN MAIL BOX COVER,1055148,1055148,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106317,Master,12.09,0.00,2013-11-07,2075-12-31
_3727810632,SPORT FAN PLAYER LANYARD,1055127,1055127,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106324,Master,7.85,0.00,2013-11-06,2075-12-31
_3727810633,SPORT FAN TEAM SUN VISOR,1055157,1055157,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106331,Master,15.11,0.00,2013-11-07,2075-12-31
_3727810634,SPORT FAN TEAM UMBRELLA,1055145,1055145,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106348,Master,10.12,0.00,2013-11-06,2075-12-31
_3727810635,SPORT FAN TEAM NAPKINS,1055108,1055108,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106355,Master,3.62,0.00,2013-11-06,2075-12-31
_3727810636,SPORT FAN FRZR BTL KOOZIE,1055110,1055110,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106362,Master,4.83,0.00,2013-11-06,2075-12-31
_3727810637,SPORT FAN AIR FRESHENER,1055102,1055102,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106379,Master,2.41,0.00,2013-11-06,2075-12-31
_3727810638,SPORT FAN TEAM RBN MAGNET,1055097,1055097,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106386,Master,4.22,0.00,2013-11-06,2075-12-31
_3727810639,SPORT FAN #! FAN LCNS PLATE,1055119,1055119,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106393,Master,5.79,0.00,2015-04-15,2075-12-31
_3727810640,SPORT FAN REUSEABLE GRCRY BAG,1055104,1055104,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106409,Master,2.41,0.00,2013-11-06,2075-12-31
_3727810641,SPORT FAN CUP DRINKWARE,1055142,1055142,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106416,Master,9.67,0.00,2013-11-06,2075-12-31
_3727810642,SPORT FAN DSNY PLSH & BLNKT,1055151,1055151,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106423,Master,12.09,0.00,2013-11-07,2075-12-31
_3727810643,SPORT FAN DBL WALL CUPS,1055129,1055129,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106430,Master,7.85,0.00,2013-11-06,2075-12-31
_3727810644,SPORT FAN MASON JAR MUG,1055141,1055141,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106447,Master,9.67,0.00,2013-11-06,2075-12-31
_3727810645,SPORT FAN INFL BOPS,1055152,1055152,,,,a,601 22 000 Novelty,Each,1.00,,,u,_737278106454,Master,12.09,0.00,2013-11-07,2075-12-31
