ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_012584010016,OLIVER CLASSIC SANGRIA 750ML,1053241,1053241,,,,a,401 03A 000,Case,12.00,,,u,_012584010016,Master,63.00,0.00,1900-01-01,2075-12-31
_012584010054,OLIVER WHITE SANGRIA 750ML,1053242,1053242,,,,a,401 03A 000,Case,12.00,,,u,_012584010054,Master,63.00,0.00,1900-01-01,2075-12-31
_012584017503,OLIVER CAMELOT MEAD 750ML,1056819,1056819,,,,a,401 03A 000,Case,12.00,,,u,_012584017503,Master,90.00,0.00,1900-01-01,2075-12-31
_012584320009,OLIVER MOSCATO 750ML,1056822,1056822,,,,a,401 03A 000,Case,12.00,,,u,_012584320009,Master,90.00,0.00,1900-01-01,2075-12-31
_012584320108,OLIVER CHERRY MOSCATO 750ML,1083994,1083994,,,,a,401 03A 000,Case,12.00,,,u,_012584320108,Master,90.00,0.00,1900-01-01,2075-12-31
_012584900010,OLIVER WINE BLCK CHRY 750ML,177909,177909,,,,a,401 03A 000,Case,12.00,,,u,_012584900010,Master,63.00,0.00,1900-01-01,2075-12-31
_012584900027,OLIVER WINE MANGO 750ML,177908,177908,,,,a,401 03A 000,Case,12.00,,,u,_012584900027,Master,63.00,0.00,1900-01-01,2075-12-31
_012584900065,OLIVER WINE SANGRIA 750ML,183959,183959,,,,a,401 03A 000,Case,12.00,,,u,_012584900065,Master,63.00,0.00,1900-01-01,2075-12-31
_012584910019,OLIVER CIDER 500ML,1081583,1081583,,,,a,401 03A 000,Case,12.00,,,u,_012584910019,Master,45.00,0.00,1900-01-01,2075-12-31
_012584910026,OLIVER CIDER PEACH 500ML,1081584,1081584,,,,a,401 03A 000,Case,12.00,,,u,_012584910026,Master,45.00,0.00,1900-01-01,2075-12-31
_082100008001,WILD IRISH ROSE 750ML,16451,16451,,,,a,401 03A 000,Case,12.00,,,u,_082100000623,Master,40.50,0.00,2018-04-02,2075-12-31
_082100179022,ARBOR MIST EXOTIC FRUIT 750ML,73184,73184,,,,a,401 03A 000,Each,1.00,,,u,_082100179022,Master,3.75,0.00,2017-09-01,2075-12-31
_082100179022,,,,,,,,,,,,,u,_082100738861,,,,,
_082100179039,ARBOR MIST STRAW WHT ZIN 750ML,73185,73185,,,,a,401 03A 000,Each,1.00,,,u,_082100179039,Master,3.75,0.00,2017-09-01,2075-12-31
_082100179039,,,,,,,,,,,,,u,_082100738939,,,,,
_082100738564,ARBOR MIST MANGO STRWBRRY 750ML,1054680,1054680,,,,a,401 03A 000,Each,1.00,,,u,_082100738564,Master,3.75,0.00,2017-09-01,2075-12-31
