ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_027086078815,i/aBEEF MINI TACOS 5OZ,10180912,10180912,,,,a,221 01 100,Each,1.00,,,u,_027086078815,Master,1.81,0.00,1900-01-01,2075-12-31
_071007031137,G2G 10z RED HOT BURRITO,174465,174465,,,,a,221 07 102,Each,1.00,,,u,_071007031137,Master,1.80,0.00,1900-01-01,2075-12-31
_071007031137,,,,,,,,,,,,,u,_071007031694,,,,,
_071007541162,EL MONT BF/BN BUR 10z,184839,184839,,,*UNAVAILABLE*,a,221 07 102,Case,12.00,,,u,_071007015519,Master,1.80,0.00,1900-01-01,2075-12-31
_071007541162,,,,,,,,,,,,,u,_071007015823,,,,,
_071007541162,,,,,,,,,,,,,u,_071007541162,,,,,
_630066000012,i/aG2G CHKN SALAD SANDWICH,1064916,1064916,,,,a,221 01 100,Each,1.00,,,u,_630066000012,Master,1.94,0.00,1900-01-01,2075-12-31
_630066000029,i/aG2G JUMBO HAM & CHEESE,1064919,1064919,,,,a,221 01 100,Each,1.00,,,u,_630066000029,Master,2.08,0.00,1900-01-01,2075-12-31
_630066000036,i/aG2G HAM & CHEESE SANDWICH,1064909,1064909,,,,a,221 01 100,Each,1.00,,,u,_630066000036,Master,1.94,0.00,1900-01-01,2075-12-31
_630066000043,i/aG2G CLUB SANDWICH,1064910,1064910,,,,a,221 01 100,Each,1.00,,,u,_630066000043,Master,1.94,0.00,1900-01-01,2075-12-31
_630066000050,i/aG2G TURKEY SANDWICH,1064911,1064911,,,,a,221 01 100,Each,1.00,,,u,_630066000050,Master,1.88,0.00,1900-01-01,2075-12-31
_630066000067,i/aG2G STEAK HOAGIE,1064912,1064912,,,,a,221 01 100,Each,1.00,,,u,_630066000067,Master,1.55,0.00,1900-01-01,2075-12-31
_630066000074,i/aG2G TUNA SANDWICH,1064913,1064913,,,,a,221 01 100,Each,1.00,,,u,_630066000074,Master,1.94,0.00,1900-01-01,2075-12-31
_630066000081,i/aG2G EGG SALAD SANDWICH,1064915,1064915,,,,a,221 01 100,Each,1.00,,,u,_630066000081,Master,1.94,0.00,1900-01-01,2075-12-31
_630066000098,i/aG2G CUBAN SUB,10177020,10177020,,,,a,221 01 100,Each,1.00,,,u,_400105906496,Master,2.60,0.00,1900-01-01,2075-12-31
_630066000098,,,,,,,,,,,,,u,_630066000098,,,,,
_630066000111,i/aG2G DBL CHEESEBURGER,1064921,1064921,,,,a,221 01 100,Each,1.00,,,u,_630066000111,Master,1.75,0.00,1900-01-01,2075-12-31
_630066000128,i/aG2G DELUXE SUB,1064918,1064918,,,,a,221 01 100,Each,1.00,,,u,_630066000128,Master,2.60,0.00,1900-01-01,2075-12-31
_630066000135,i/aG2G ITALIAN SUB,10190314,10190314,,,,a,221 01 100,Each,1.00,,,u,_630066000135,Master,2.60,0.00,1900-01-01,2075-12-31
_630066000135,,,,,,,,,,,,,u,_758653810049,,,,,
_630066000142,i/aG2G TURKEY SUB,1064920,1064920,,,,a,221 01 100,Each,1.00,,,u,_630066000142,Master,2.08,0.00,1900-01-01,2075-12-31
_630066000195,i/aG2G RST BEEF SANDWICH,1064917,1064917,,,,a,221 01 100,Each,1.00,,,u,_030066000195,Master,2.60,0.00,1900-01-01,2075-12-31
