ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1089500003,TUBE DIP WORM ORNG 2/BG,128582,128582,,,,a,601 34 016,Each,1.00,,,u,_710895000039,Master,1.15,0.00,2009-10-01,2075-12-31
_108955,J&N DIP WORM BLACK,164661,164661,,,,a,601 34 016,Each,1.00,,,u,_710895000053,Master,1.15,0.00,2009-10-01,2075-12-31
_139-04,EAGLE CLAW HOOK 4 00184,117515,117515,,,,a,601 34 016,Each,1.00,,,u,_047708001847,Master,1.10,0.00,2009-10-01,2075-12-31
_139-06,KASS HOOK 139  00186,117516,117516,,,,a,601 34 016,Each,1.00,,,u,_047708001861,Master,1.10,0.00,2009-10-01,2075-12-31
_139-08,KASS HOOK 139 8 00188,117738,117738,,,,a,601 34 016,Each,1.00,,,u,_047708001885,Master,1.10,0.00,2009-10-01,2075-12-31
_202A-06,EAGLE CLAW EVERDEEN HOOK,172293,172293,,,,a,601 34 016,Each,1.00,,,u,_047708117562,Master,1.21,0.00,2009-10-01,2075-12-31
_2055406355,REBEL HOLO MINNOW SIL/BLK,1084404,1084404,,,,a,601 34 016,Each,1.00,,,u,_020554063559,Master,2.52,0.00,1900-01-01,2075-12-31
_2055406450,REBEL HOLO MINNOW FIRETIGER 3 1/2IN,1084405,1084405,,,,a,601 34 016,Each,1.00,,,u,_020554064501,Master,2.52,0.00,2017-05-26,2075-12-31
_2202150023,JOHNSON BEETLE SPIN BSVP 1/8 YBS,141904,141904,,,,a,601 34 016,Each,1.00,,,u,_022021500239,Master,0.77,0.00,2009-10-01,2075-12-31
_2202150028,BEETTLE SPIN,164665,164665,,,,a,601 34 016,Each,1.00,,,u,_022021500284,Master,0.77,0.00,2009-10-01,2075-12-31
_2202150041,BEETLE SPIN 1/4 WHITE,167469,167469,,,,a,601 34 016,Each,1.00,,,u,_022021500413,Master,0.77,0.00,2009-10-01,2075-12-31
_2353403161,MUSTARD FISH HOOK #2,164669,164669,,,,a,601 34 016,Each,1.00,,,u,_023534031616,Master,0.77,0.00,2009-10-01,2075-12-31
_2353403175,PANFISH BRNZ 10/BG,128453,128453,,,,a,601 34 016,Each,1.00,,,u,_023534031753,Master,0.77,0.00,2009-10-01,2075-12-31
_2353403189,PANFISH BRNZ 10/BG,128454,128454,,,,a,601 34 016,Each,1.00,,,u,_023534031890,Master,0.77,0.00,2009-10-01,2075-12-31
_2353403203,PANFISH BRNZ 10/BG,128455,128455,,,,a,601 34 016,Each,1.00,,,u,_023534032033,Master,0.77,0.00,2009-10-01,2075-12-31
_2437638076,ROUND JIG PINK 4/CD,128540,128540,,,,a,601 34 016,Each,1.00,,,u,_024376380764,Master,1.56,0.00,2009-10-01,2075-12-31
_2437638121,RJH 32-5-3 RND JIGHEAD,160164,160164,,,,a,601 34 016,Each,1.00,,,u,_024376381211,Master,1.56,0.00,2009-10-01,2075-12-31
_259-CLCB,CHICKEN LIVER/CHICKEN 10z,128615,128615,,,,a,601 34 016,Each,1.00,,,u,_026691777427,Master,2.15,0.00,1900-01-01,2075-12-31
_259-GLCB,GARLIC CHICKEN BLOOD 10z,128613,128613,,,,a,601 34 016,Each,1.00,,,u,_026691777250,Master,3.22,0.00,2009-10-01,2075-12-31
_259-KKBB,KINGKAT BLOOD BT 10z,128610,128610,,,,a,601 34 016,Each,1.00,,,u,_026691777717,Master,3.22,0.00,2009-10-01,2075-12-31
_259-MDH6,DOUGH HK 6 3/PK,128596,128596,,,,a,601 34 016,Each,1.00,,,u,_026691777328,Master,1.31,0.00,2009-10-01,2075-12-31
_259-OWBB,OLD WHISKERS BLOOD,128609,128609,,,,a,601 34 016,Each,1.00,,,u,_026691777724,Master,3.22,0.00,2009-10-01,2075-12-31
