ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_679432001017,BEAR BUD VASE,171354,171354,,,,a,601 34 007,Each,1.00,,,u,_616978197774,Master,10.00,0.00,1900-01-01,2075-12-31
_679432001017,,,,,,,,,,,,,u,_616978197781,,,,,
_679432001017,,,,,,,,,,,,,u,_679432001017,,,,,
_679432001017,,,,,,,,,,,,,u,_832972001125,,,,,
_679432007019,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.35,0.00,2008-02-01,2075-12-31
_679432007019,,,,,,,,,,,,,u,_033383974750,,,,,
_679432007019,,,,,,,,,,,,,u,_033383979212,,,,,
_679432007019,,,,,,,,,,,,,u,_041163002401,,,,,
_679432007019,,,,,,,,,,,,,u,_094922764119,,,,,
_679432007019,,,,,,,,,,,,,u,_101210121681,,,,,
_679432007019,,,,,,,,,,,,,u,_616978127771,,,,,
_679432007019,,,,,,,,,,,,,u,_616978127795,,,,,
_679432007019,,,,,,,,,,,,,u,_655504003295,,,,,
_679432007019,,,,,,,,,,,,,u,_663413010013,,,,,
_679432007019,,,,,,,,,,,,,u,_679432007019,,,,,
_679432007019,,,,,,,,,,,,,u,_785385100049,,,,,
_679432007019,,,,,,,,,,,,,u,_798304035308,,,,,
_679432007019,,,,,,,,,,,,,u,_829691000010,,,,,
_679432007019,,,,,,,,,,,,,u,_832972001019,,,,,
_679432007019,,,,,,,,,,,,,u,_836115000013,,,,,
_679432007019,,,,,,,,,,,,,u,_836115000068,,,,,
_679432007019,,,,,,,,,,,,,u,_837654206003,,,,,
_679432007019,,,,,,,,,,,,,u,_855205001006,,,,,
_679432007019,,,,,,,,,,,,,u,_973700502092,,,,,
_679432007026,TWO ROSE BOUQUET,21015,21015,,,,a,601 34 007,Each,1.00,,,u,_616978137770,Master,4.90,0.00,2009-07-17,2075-12-31
_679432007026,,,,,,,,,,,,,u,_655504106996,,,,,
_679432007026,,,,,,,,,,,,,u,_679432007026,,,,,
_679432007026,,,,,,,,,,,,,u,_829691000027,,,,,
_679432007026,,,,,,,,,,,,,u,_829691100024,,,,,
_679432007026,,,,,,,,,,,,,u,_832972001026,,,,,
_679432007026,,,,,,,,,,,,,u,_836115000518,,,,,
_679432007026,,,,,,,,,,,,,u,_836115000563,,,,,
_679432007033,EXQUISITE ROSE BOUQUET,1086281,1086281,,,,a,601 34 007,Each,1.00,,,u,_679432007033,Master,7.00,0.00,1900-01-01,2075-12-31
_679432007040,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,4.90,0.00,2009-07-17,2075-12-31
_679432007040,,,,,,,,,,,,,u,_616978157778,,,,,
_679432007040,,,,,,,,,,,,,u,_616978158775,,,,,
_679432007040,,,,,,,,,,,,,u,_655504006999,,,,,
_679432007040,,,,,,,,,,,,,u,_663413030011,,,,,
_679432007040,,,,,,,,,,,,,u,_679432007040,,,,,
_679432007040,,,,,,,,,,,,,u,_829691100031,,,,,
_679432007040,,,,,,,,,,,,,u,_832972001156,,,,,
_679432007040,,,,,,,,,,,,,u,_836115000037,,,,,
_679432007040,,,,,,,,,,,,,u,_836115000082,,,,,
_679432007040,,,,,,,,,,,,,u,_837654206027,,,,,
_679432007040,,,,,,,,,,,,,u,_855205001013,,,,,
_679432007064,HALF DOZEN ROSES,158809,158809,,,,a,601 34 007,Each,1.00,,,u,_033383974811,Master,11.25,0.00,1900-01-01,2075-12-31
_679432007064,,,,,,,,,,,,,u,_616978147779,,,,,
_679432007064,,,,,,,,,,,,,u,_679432007064,,,,,
_679432007064,,,,,,,,,,,,,u,_829691100062,,,,,
_679432007064,,,,,,,,,,,,,u,_832972001149,,,,,
_679432007064,,,,,,,,,,,,,u,_836115000044,,,,,
_679432007064,,,,,,,,,,,,,u,_836115000297,,,,,
_679432007064,,,,,,,,,,,,,u,_855205001044,,,,,
_679432007125,LARGE MIXED BOUQUET,175677,175677,,,,a,601 34 007,Each,1.00,,,u,_033383995113,Master,9.10,0.00,2018-07-09,2075-12-31
_679432007125,,,,,,,,,,,,,u,_616978155774,,,,,
_679432007125,,,,,,,,,,,,,u,_616978155781,,,,,
_679432007125,,,,,,,,,,,,,u,_616978155798,,,,,
_679432007125,,,,,,,,,,,,,u,_642364023112,,,,,
_679432007125,,,,,,,,,,,,,u,_663413040003,,,,,
_679432007125,,,,,,,,,,,,,u,_679432007125,,,,,
_679432007125,,,,,,,,,,,,,u,_794878000193,,,,,
_679432007125,,,,,,,,,,,,,u,_832972001163,,,,,
_679432007125,,,,,,,,,,,,,u,_832972001194,,,,,
_679432007125,,,,,,,,,,,,,u,_855205001037,,,,,
_679432007132,DOZEN ROSE BOUQUET,1086282,1086282,,,,a,601 34 007,Each,1.00,,,u,_679432007132,Master,18.00,0.00,1900-01-01,2075-12-31
_679432007187,HALF DOZEN ROSES-HOLIDAY,175247,175247,,,,a,601 34 007,Each,1.00,,,u,_679432007187,Master,13.50,0.00,1900-01-01,2075-12-31
_679432007187,,,,,,,,,,,,,u,_829691666667,,,,,
_679432007187,,,,,,,,,,,,,u,_832972001361,,,,,
_679432007187,,,,,,,,,,,,,u,_836115000112,,,,,
_679432007200,ELEGANT MIX BOUQUET,1087941,1087941,,,,a,601 34 007,Each,1.00,,,u,_679432007200,Master,14.00,0.00,1900-01-01,2075-12-31
_679432007309,VALENTINE DOZEN ROSE BOUQUET,1086283,1086283,,,,a,601 34 007,Each,1.00,,,u,_679432007309,Master,21.00,0.00,1900-01-01,2075-12-31
_679432008016,ROSE BOUQUET,91346,91346,,,,a,601 34 007,Each,1.00,,,u,_041163072107,Master,3.35,0.00,2009-07-17,2075-12-31
_679432008016,,,,,,,,,,,,,u,_101210117462,,,,,
_679432008016,,,,,,,,,,,,,u,_785385100193,,,,,
_679432008016,,,,,,,,,,,,,u,_890352000021,,,,,
