ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_49951,MILK CHOC SS,180144,180144,,,,a,601 07 410,Each,1.00,,,u,_034500657068,Master,0.82,0.00,2019-01-08,2075-12-31
_49951,,,,,,,,,,,,,u,_035733001154,,,,,
_49951,,,,,,,,,,,,,u,_041900023461,,,,,
_49951,,,,,,,,,,,,,u,_041900074357,,,,,
_49951,,,,,,,,,,,,,u,_041900075057,,,,,
_49951,,,,,,,,,,,,,u,_041900075170,,,,,
_49951,,,,,,,,,,,,,u,_043119003463,,,,,
_49951,,,,,,,,,,,,,u,_070777555041,,,,,
_49951,,,,,,,,,,,,,u,_070778007150,,,,,
_49951,,,,,,,,,,,,,u,_070880008052,,,,,
_49951,,,,,,,,,,,,,u,_071600002602,,,,,
_49951,,,,,,,,,,,,,u,_072730264069,,,,,
_49951,,,,,,,,,,,,,u,_075196001223,,,,,
_49951,,,,,,,,,,,,,u,_075243105126,,,,,
_49951,,,,,,,,,,,,,u,_088365005267,,,,,
_49951,,,,,,,,,,,,,u,_815473010513,,,,,
_9184920,DEAN WHP CRM FOUNT AERO 13z,184920,184920,,,,a,212 20 001,Each,1.00,,,u,_041900047467,Master,2.56,0.00,2015-10-01,2075-12-31
_9184920,,,,,,,,,,,,,u,_041900074081,,,,,
_9184920,,,,,,,,,,,,,u,_041900077181,,,,,
