ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_707967100087,ICE 08LB BAG,14414,14414,,,,a,201 02 000,Each,1.00,,,u,_034555000857,Master,0.94,0.00,1900-01-01,2075-12-31
_707967100087,,,,,,,,,,,,,u,_073309200082,,,,,
_707967100087,,,,,,,,,,,,,u,_086487505054,,,,,
_707967100087,,,,,,,,,,,,,u,_090863000088,,,,,
_707967100087,,,,,,,,,,,,,u,_608727000084,,,,,
_707967100087,,,,,,,,,,,,,u,_707967100087,,,,,
_707967100087,,,,,,,,,,,,,u,_711714000087,,,,,
_707967100087,,,,,,,,,,,,,u,_725664000080,,,,,
_707967100087,,,,,,,,,,,,,u,_746966111083,,,,,
_707967100087,,,,,,,,,,,,,u,_749001080016,,,,,
