ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_1024,SMOM WHITE BREAD,84718,84718,,,*INACTIVE*,a,601 06 000,Each,1.00,,,u,_763913010244,Master,0.91,0.00,1900-01-01,2075-12-31
_1123,SMOM 100% WHOLE WHEAT BREAD,84719,84719,,,*INACTIVE*,a,601 06 000,Each,1.00,,,u,_763913011234,Master,0.91,0.00,1900-01-01,2075-12-31
_12007,SM APPLE STRUDEL,180212,180212,,,,a,231 02 005,Each,1.00,,,u,_763913120073,Master,2.16,0.00,1900-01-01,2075-12-31
_12302,SMOM TURTLE SUNDAE MUFFIN,33000414,33000414,,,,a,231 03 004,Each,1.00,,,u,_763913123029,Master,3.27,0.00,1900-01-01,2075-12-31
_12339,SMOM BLUEBERRY MUFFIN,33000415,33000415,,,,a,231 03 004,Each,1.00,,,u,_763913123395,Master,2.70,0.00,1900-01-01,2075-12-31
_12340,SMOM CHOCOLATE CHIP MUFFIN,33000416,33000416,,,,a,231 03 004,Each,1.00,,,u,_763913123401,Master,2.70,0.00,1900-01-01,2075-12-31
_12346,SMOM DOUBLE CHOC CHIP MUFFIN,33000417,33000417,,,,a,231 03 004,Each,1.00,,,u,_763913123463,Master,2.70,0.00,1900-01-01,2075-12-31
_12356,SMOM BANANA NUT MUFFIN,33000418,33000418,,,,a,231 03 004,Each,1.00,,,u,_763913123562,Master,2.70,0.00,1900-01-01,2075-12-31
_2105,SMOM HAMBURGER BUNS,84727,84727,,,*INACTIVE*,a,601 06 000,Each,1.00,,,u,_763913021059,Master,1.20,0.00,1900-01-01,2075-12-31
_2154,SMOM HOT DOG BUNS 8PK,90175,90175,,,*INACTIVE*,a,601 06 000,Each,1.00,,,u,_763913021547,Master,1.20,0.00,1900-01-01,2075-12-31
_3012,SMOM PLAIN OLD FASHION,33000405,33000405,,,,a,231 02 005,Each,1.00,,,u,_763913030129,Master,1.71,0.00,1900-01-01,2075-12-31
_3053,SMOM GLAZED OLD FASHION,33000406,33000406,,,,a,231 02 005,Each,1.00,,,u,_763913030532,Master,1.71,0.00,1900-01-01,2075-12-31
_3103,SMOM ICED CHOC OLD FASHION,33000407,33000407,,,,a,231 02 005,Each,1.00,,,u,_763913031034,Master,1.71,0.00,1900-01-01,2075-12-31
_3106,SMOM GLAZED CHOC OLD FASHION,33000408,33000408,,,,a,231 02 005,Each,1.00,,,u,_763913031065,Master,1.71,0.00,1900-01-01,2075-12-31
