ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_041200104846,OKE DOKE WHITE CHEDDAR 7.5Z,1086980,1086980,,,,a,601 04A 290,Each,1.00,,,u,_041200104846,Master,2.79,0.00,1900-01-01,2075-12-31
_041262272606,WISE X-LC BUTTER POPCORN,1088006,1088006,,,,a,601 04A 000,Each,1.00,,,u,_041262272606,Master,1.04,0.00,1900-01-01,2075-12-31
_041262273481,WISE HONEY BBQ PUFFED DOODLES,1088005,1088005,,,,a,601 04A 410,Each,1.00,,,u,_041262273481,Master,0.74,0.00,1900-01-01,2075-12-31
_068500236,CAPE COD RUSSETS 7.5Z,1086970,1086970,,,,a,601 04A 290,Each,1.00,,,u,_020685002366,Master,2.73,0.00,1900-01-01,2075-12-31
_068500236,,,,,,,,,,,,,u,_206850023668,,,,,
_068500267,WAVES CHEDDAR SOUR CREAM 7Z,1086969,1086969,,,,a,601 04A 290,Each,1.00,,,u,_206850026706,Master,2.73,0.00,1900-01-01,2075-12-31
_068500268,WAVES SEA SALT 7.5Z,1086967,1086967,,,,a,601 04A 290,Each,1.00,,,u,_020685002687,Master,2.73,0.00,1900-01-01,2075-12-31
_068500268,,,,,,,,,,,,,u,_206850026874,,,,,
_068500269,WAVES REDUCED FAT SEA SALT 7.5Z,1086968,1086968,,,,a,601 04A 290,Each,1.00,,,u,_206850026942,Master,2.73,0.00,1900-01-01,2075-12-31
_068500271,CAPE COD BEST REDUCED FAT SWEET MESQUITE BBQ,1086972,1086972,,,,a,601 04A 290,Each,1.00,,,u,_206850027178,Master,2.73,0.00,1900-01-01,2075-12-31
_068500272,CAPE COD BEST SWEET MESQUITE BBQ 7.5Z,1086971,1086971,,,,a,601 04A 290,Each,1.00,,,u,_020685002724,Master,2.73,0.00,1900-01-01,2075-12-31
_068500272,,,,,,,,,,,,,u,_206850027246,,,,,
_076410903507,LANCE CHIPOTLE BBQ,1068560,1068560,,,,a,601 04A 290,Each,1.00,,,u,_076410903507,Master,0.37,0.00,1900-01-01,2075-12-31
_077975083413,GC SNYDER OLD TIME PR,191311,191311,,,,a,601 04A 330,Each,1.00,,,u,_077975022337,Master,0.77,0.00,1900-01-01,2075-12-31
_077975083413,,,,,,,,,,,,,u,_077975083413,,,,,
