ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_016571910303,SPARKLING ICE BLK RASBERRY 17z,1052656,1052656,,,,a,601 11 000,Case,12.00,,,u,_016571910303,Master,10.00,0.00,1900-01-01,2075-12-31
_016571910310,SPARKLING ICE ORANGE MANGO 17z,1052657,1052657,,,,a,601 11 000,Case,12.00,,,u,_016571910310,Master,10.00,0.00,1900-01-01,2075-12-31
_016571910327,SPARKLING ICE KIWI STRAWBERRY 17z,1052644,1052644,,,,a,601 11 000,Case,12.00,,,u,_016571910327,Master,10.00,0.00,1900-01-01,2075-12-31
_016571940331,SPARKLING ICE COCONUT PINEAPLE 17z,32006587,32006587,,,,a,601 11 000,Case,12.00,,,u,_016571940331,Master,10.00,0.00,1900-01-01,2075-12-31
_018200000089,BUD 32z LN,16364,16364,,,,a,401 01J 000,Case,12.00,,,u,_018200000089,Master,29.00,0.00,1900-01-01,2075-12-31
_018200000164,BUD 6PK 12z CN,13440,13440,,,,a,401 01B 000,Case,24.00,,,u,_018200000164,Master,22.15,0.00,1900-01-01,2075-12-31
_018200000188,BUD 6PK 16z CN,13442,13442,,,,a,401 01B 000,Case,24.00,,,u,_018200000188,Master,23.00,0.00,1900-01-01,2075-12-31
_018200000782,NATURAL ICE 6PK 16z CN,42925,42925,,,,a,401 01B 000,Case,24.00,,,u,_018200000782,Master,17.95,0.00,1900-01-01,2075-12-31
_018200001062,BUD LT 6PK 12z CN,13450,13450,,,,a,401 01B 000,Case,24.00,,,u,_018200001062,Master,22.15,0.00,1900-01-01,2075-12-31
_018200001154,BUD LT 6PK 16z CN,13452,13452,,,,a,401 01B 000,Case,24.00,,,u,_018200001154,Master,23.00,0.00,1900-01-01,2075-12-31
_018200001178,BUD LT 32z LN,16580,16580,,,,a,401 01J 000,Case,12.00,,,u,_018200001178,Master,29.00,0.00,1900-01-01,2075-12-31
_018200001260,BUD 40z LN,13443,13443,,,,a,401 01J 000,Case,12.00,,,u,_018200001260,Master,32.25,0.00,1900-01-01,2075-12-31
_018200001604,BUD LT 40z LN,13453,13453,,,,a,401 01J 000,Case,12.00,,,u,_018200001604,Master,32.25,0.00,1900-01-01,2075-12-31
_018200004261,BUSCH LT 6PK 16z CN,16582,16582,,,,a,401 01B 000,Case,24.00,,,u,_018200004261,Master,19.30,0.00,1900-01-01,2075-12-31
_018200004438,MICHELOB GLDN LT 6PK 16z CN,32000076,32000076,,,,a,401 01B 000,Case,24.00,,,u,_018200004438,Master,23.00,0.00,1900-01-01,2075-12-31
_018200006142,BUSCH N/A 12PK 12z CN,32809,32809,,,,a,401 02B 000,Case,24.00,,,u,_018200006142,Master,17.00,0.00,1900-01-01,2075-12-31
_018200006470,BUD ICE 12PK 12z CN,23325,23325,,,,a,401 01D 000,Case,24.00,,,u,_018200006470,Master,21.85,0.00,1900-01-01,2075-12-31
_018200006708,MICHELOB GLDN LT 6PK 12z LN,34205,34205,,,,a,401 01B 000,Case,24.00,,,u,_018200006708,Master,22.40,0.00,1900-01-01,2075-12-31
_018200006937,MICHELOB GLDN LT 12PK 12z CN,17692,17692,,,,a,401 01D 000,Case,24.00,,,u,_018200006937,Master,21.85,0.00,1900-01-01,2075-12-31
_018200006982,MICHELOB GLDN 12PK 12z CN,17693,17693,,,,a,401 01D 000,Case,24.00,,,u,_018200006982,Master,21.85,0.00,1900-01-01,2075-12-31
_018200007019,MICHELOB GLDN 12PK 12z LN,32000081,32000081,,,,a,401 01D 000,Case,24.00,,,u,_018200007019,Master,22.25,0.00,1900-01-01,2075-12-31
_018200007682,BUSCH 12PK 12z LN,59048,59048,,,,a,401 01D 000,Case,24.00,,,u,_018200007682,Master,18.35,0.00,1900-01-01,2075-12-31
_018200007699,BUD LT 12PK 12z LN,44692,44692,,,,a,401 01D 000,Case,24.00,,,u,_018200007699,Master,22.25,0.00,1900-01-01,2075-12-31
_018200007712,BUD 12PK 12z LN,44694,44694,,,,a,401 01D 000,Case,24.00,,,u,_018200007712,Master,22.25,0.00,1900-01-01,2075-12-31
_018200007842,ODOULS N/A 6PK 12z LN,13493,13493,,,,a,401 02A 000,Case,24.00,,,u,_018200007842,Master,21.20,0.00,1900-01-01,2075-12-31
_018200008016,BUSCH LT 12PK 12z CN,13461,13461,,,,a,401 01D 000,Case,24.00,,,u,_018200008016,Master,18.55,0.00,1900-01-01,2075-12-31
_018200008337,BUD LT 6PK 12z LN,14091,14091,,,,a,401 01B 000,Case,24.00,,,u,_018200001697,Master,22.40,0.00,1900-01-01,2075-12-31
_018200008337,,,,,,,,,,,,,u,_018200008337,,,,,
_018200008344,BUD 6PK 12z LN,13439,13439,,,,a,401 01B 000,Case,24.00,,,u,_018200001680,Master,22.40,0.00,1900-01-01,2075-12-31
_018200008344,,,,,,,,,,,,,u,_018200008344,,,,,
_018200008344,,,,,,,,,,,,,u,_018200110368,,,,,
_018200008634,BUD CHELADA 4PK 16z CN,1064858,1064858,,,,a,401 01A 000,Case,24.00,,,u,_018200008634,Master,33.90,0.00,1900-01-01,2075-12-31
_018200008665,BUD LT CHELADA 4PK 16z CN,1064859,1064859,,,,a,401 01A 000,Case,24.00,,,u,_018200008665,Master,33.90,0.00,1900-01-01,2075-12-31
_018200009648,NATURAL ICE 12PK 12z CN,42993,42993,,,,a,401 01D 000,Case,24.00,,,u,_018200009648,Master,15.95,0.00,1900-01-01,2075-12-31
