ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_071537020120,POLAR TONIC WATER 1L,1086724,1086724,,,,a,601 11 000,Case,12.00,,,u,_071537020120,Master,10.00,0.00,1900-01-01,2075-12-31
_071537020120,,,,,,,,,,,,,u,_071537120127,,,,,
_071537060287,POLAR SELTZER BLACK CHERRY WTR  20z,1089095,1089095,,,,a,601 11 000,Case,24.00,,,u,_071537060287,Master,16.00,0.00,1900-01-01,2075-12-31
_071537060300,POLAR SELTZER RASP LIME WTR  20z,1081803,1081803,,,,a,Default,Case,24.00,,,u,_071537060300,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060348,POLAR SELTZER LEMON WTR  20z,1067815,1067815,,,,a,Default,Case,24.00,,,u,_071537060348,Master,15.00,0.00,1900-01-01,2075-12-31
_071537060409,POLAR SELTZER BLUEBERRY LEMONADE WTR  20z,1089096,1089096,,,,a,601 11 000,Case,24.00,,,u,_071537060409,Master,16.00,0.00,1900-01-01,2075-12-31
_182136000014,AQUAHYDRATE 500ML,1081732,1081732,,,,a,Default,Case,24.00,,,u,_182136000014,Master,16.00,0.00,1900-01-01,2075-12-31
_182136000021,AQUAHYDRATE 1L,1082560,1082560,,,,a,Default,Case,12.00,,,u,_182136000021,Master,15.00,0.00,1900-01-01,2075-12-31
_620221200036,JONES ORANGE CREAM 12z,1083303,1083303,,,,a,Default,Case,12.00,,,u,_620221200036,Master,11.04,0.00,2017-01-13,2075-12-31
_620221200043,JONES GRAPE 12z,1083305,1083305,,,,a,Default,Case,12.00,,,u,_620221200043,Master,11.04,0.00,2017-01-13,2075-12-31
_620221200098,JONES CREAM SODA 12z,1083301,1083301,,,,a,Default,Case,12.00,,,u,_620221200098,Master,11.04,0.00,1900-01-01,2075-12-31
_620221200128,JONES GREEN APPLE 12z,1083304,1083304,,,,a,Default,Case,12.00,,,u,_620221200128,Master,11.04,0.00,2017-01-13,2075-12-31
_620221200203,JONES BERRY LEMONADE 12z,1083302,1083302,,,,a,Default,Case,12.00,,,u,_620221200203,Master,11.04,0.00,2017-01-13,2075-12-31
