ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_611269101713,RED BULL SF 8.4Z,156693,156693,,,,a,601 13A 000,Case,24.00,,,u,_611269101713,Master,36.00,0.00,1900-01-01,2075-12-31
_611269108026,RED BULL 4PK 8.4OZ,169177,169177,,,,a,601 13A 000,Case,24.00,,,u,_611269108026,Master,36.00,0.00,1900-01-01,2075-12-31
_611269109009,RED BULL SF 4PK 8.4OZ,169179,169179,,,,a,601 13A 000,Case,24.00,,,u,_611269109009,Master,36.00,0.00,1900-01-01,2075-12-31
_611269113570,RED BULL TROPICAL 12Z,1057462,1057462,,,,a,601 13A 000,Case,24.00,,,u,_611269113570,Master,49.00,0.00,1900-01-01,2075-12-31
_611269133448,RED BULL 20Z,183316,183316,,,,a,601 13A 000,Case,12.00,,,u,_611269133448,Master,39.00,0.00,1900-01-01,2075-12-31
_611269133455,RED BULL SF 20Z,183317,183317,,,,a,601 13A 000,Case,12.00,,,u,_611269133455,Master,39.00,0.00,1900-01-01,2075-12-31
_611269174526,RED BULL CRANBERRY 12Z,1057459,1057459,,,,a,601 13A 000,Case,24.00,,,u,_611269174526,Master,49.00,0.00,1900-01-01,2075-12-31
_611269182460,RED BULL BLUEBERRY 12Z,1057461,1057461,,,,a,601 13A 000,Case,24.00,,,u,_611269182460,Master,49.00,0.00,1900-01-01,2075-12-31
_611269206432,RED BULL ORANGE EDITION 12Z,1076966,1076966,,,,a,601 13A 000,Case,24.00,,,u,_611269206432,Master,49.00,0.00,1900-01-01,2075-12-31
_611269212457,RED BULL KIWI APPLE 12Z,1082453,1082453,,,,a,601 13A 000,Case,24.00,,,u,_611269212457,Master,49.00,0.00,1900-01-01,2075-12-31
_611269226126,RED BULL SF ACAI BERRY 12Z,1082455,1082455,,,,a,601 13A 000,Case,24.00,,,u,_611269226126,Master,49.00,0.00,1900-01-01,2075-12-31
_611269250688,REDBULL GREEN EDITION 8.4z,1097332,1097332,,,,a,601 13A 000,Case,24.00,,,u,_611269250688,Master,34.90,0.00,1900-01-01,2075-12-31
_611269321210,RED BULL COCONUT BERRY 12Z,1086881,1086881,,,,a,601 13A 000,Case,24.00,,,u,_611269321210,Master,49.00,0.00,1900-01-01,2075-12-31
_611269546019,RED BULL 16Z,175154,175154,,,,a,601 13A 000,Case,12.00,,,u,_611269546019,Master,33.00,0.00,1900-01-01,2075-12-31
_611269546026,RED BULL SF 16Z,178003,178003,,,,a,601 13A 000,Case,12.00,,,u,_611269546026,Master,33.00,0.00,1900-01-01,2075-12-31
_611269716467,RED BULL SF 12Z,169262,169262,,,,a,601 13A 000,Case,24.00,,,u,_611269716467,Master,49.00,0.00,1900-01-01,2075-12-31
_611269818994,RED BULL 12Z,169261,169261,,,,a,601 13A 000,Case,24.00,,,u,_611269818994,Master,49.00,0.00,1900-01-01,2075-12-31
_611269991000,RED BULL 8.4Z,156692,156692,,,,a,601 13A 000,Case,24.00,,,u,_611269991000,Master,36.00,0.00,1900-01-01,2075-12-31
