ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_14414,ICE 08LB BAG,14414,14414,,,,a,201 02 000,Each,1.00,,,u,_034555000857,Master,0.67,0.00,2006-08-31,2075-12-31
_14414,,,,,,,,,,,,,u,_073309200082,,,,,
_14414,,,,,,,,,,,,,u,_086487505054,,,,,
_14414,,,,,,,,,,,,,u,_090863000088,,,,,
_14414,,,,,,,,,,,,,u,_608727000084,,,,,
_14414,,,,,,,,,,,,,u,_707967100087,,,,,
_14414,,,,,,,,,,,,,u,_711714000087,,,,,
_14414,,,,,,,,,,,,,u,_725664000080,,,,,
_14414,,,,,,,,,,,,,u,_746966111083,,,,,
_14414,,,,,,,,,,,,,u,_749001080016,,,,,
