ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_072275501001,BIB FCB ALE-8 3 GAL,1066178,1066178,,,,a,215 03 001,Each,1.00,,,u,_072275501001,Master,39.00,0.00,1900-01-01,2075-12-31
_10048296,GF 2 TOPPING PIZZA LG,10048296,10048296,,,,a,206 06 000,Each,1.00,,,u,_400100633816,Master,0.00,0.00,1900-01-01,2075-12-31
_10049648,GF 1 TOPPING PIZZA MINI,10049648,10049648,,,,a,206 06 000,Each,1.00,,,u,_400106639935,Master,0.00,0.00,1900-01-01,2075-12-31
_10049652,GF CHEESE PIZZA MINI,10049652,10049652,,,,a,206 06 000,Each,1.00,,,u,_400106773967,Master,0.00,0.00,1900-01-01,2075-12-31
_10049658,GF 1 TOPPING PIZZA SLICE,10049658,10049658,,,,a,206 06 000,Each,1.00,,,u,_400106639942,Master,0.00,0.00,1900-01-01,2075-12-31
_10049662,GF CHEESE PIZZA SLICE,10049662,10049662,,,,a,206 06 000,Each,1.00,,,u,_400104471698,Master,0.00,0.00,1900-01-01,2075-12-31
_10049671,GF ORIGINAL HOT WINGS 6PC,10049671,10049671,,,,a,206 06 000,Each,1.00,,,u,_400106639959,Master,0.00,0.00,1900-01-01,2075-12-31
_10049677,GF PEPPERONI ROLL,10049677,10049677,,,,a,206 06 000,Each,1.00,,,u,_400106773950,Master,0.00,0.00,1900-01-01,2075-12-31
_10050889,GF CHICKEN TENDERS 4PC,10050889,10050889,,,,a,206 06 000,Each,1.00,,,u,_400106639997,Master,0.00,0.00,1900-01-01,2075-12-31
_10064825,CHEESE STICK,10064825,10064825,,,,a,206 06 000,Each,1.00,,,u,_400106639980,Master,0.00,0.00,1900-01-01,2075-12-31
_10129706,BREAKFAST MINI PLAIN,10129706,10129706,,,,a,206 06 000,Each,1.00,,,u,_400106791916,Master,0.00,0.00,1900-01-01,2075-12-31
_10129708,BREAKFAST MINI W/TOPPING,10129708,10129708,,,,a,206 06 000,Each,1.00,,,u,_400106791923,Master,0.00,0.00,1900-01-01,2075-12-31
_10133223,BREAKFAST BISCUIT,10133223,10133223,,,,a,206 06 000,Each,1.00,,,u,_400107212052,Master,0.00,0.00,1900-01-01,2075-12-31
_10133236,GF BREAKFAST SANDWICH/ENGLISH MUFFIN,10133236,10133236,,,,a,206 06 000,Each,1.00,,,u,_400106639973,Master,0.00,0.00,1900-01-01,2075-12-31
_10149750,GF CHEESE PIZZA LG,10149750,10149750,,,,a,206 06 000,Each,1.00,,,u,_400107212106,Master,0.00,0.00,1900-01-01,2075-12-31
_10151673,DD ORIGINAL BLEND GROUND 1LB,10151673,10151673,,,,a,707 03 001,Each,1.00,,,u,_855710000020,Master,0.00,0.00,1900-01-01,2075-12-31
_10151675,DD HAZELNUT GROUND 1LB,10151675,10151675,,,,a,707 03 001,Each,1.00,,,u,_855710000082,Master,0.00,0.00,1900-01-01,2075-12-31
_10151677,DD ORIGINAL BLEND WHOLE BEAN 1LB,10151677,10151677,,,,a,707 03 001,Each,1.00,,,u,_855710000013,Master,0.00,0.00,1900-01-01,2075-12-31
_10151679,DD FRENCH VANILLA GROUND 1LB,10151679,10151679,,,,a,707 03 001,Each,1.00,,,u,_855710000068,Master,0.00,0.00,1900-01-01,2075-12-31
_10151681,DD DECAF GROUND 1LB,10151681,10151681,,,,a,707 03 001,Each,1.00,,,u,_855710000044,Master,0.00,0.00,1900-01-01,2075-12-31
_10152138,GF POPCORN CHICKEN,10152138,10152138,,,,a,206 06 000,Each,1.00,,,u,_400106562882,Master,0.00,0.00,1900-01-01,2075-12-31
_10163400,GF ORIGINAL HOT WINGS 12PC,10163400,10163400,,,,a,206 06 000,Each,1.00,,,u,_400106639966,Master,0.00,0.00,1900-01-01,2075-12-31
_10169314,GF BREAKFAST BURRITO,10169314,10169314,,,,a,206 06 000,Each,1.00,,,u,_400107212038,Master,0.00,0.00,1900-01-01,2075-12-31
_10171821,Quiznos Breakfast Biscuit,10171821,10171821,,,,a,206 04 000,Each,1.00,,,u,_400107330961,Master,0.00,0.00,1900-01-01,2075-12-31
_10171825,Quiznos Breakfast Flatbread,10171825,10171825,,,,a,206 04 000,Each,1.00,,,u,_400106639911,Master,0.00,0.00,1900-01-01,2075-12-31
_10171827,Quiznos Breakfast Biscuit,10171827,10171827,,,,a,206 04 000,Each,1.00,,,u,_400107212069,Master,0.00,0.00,1900-01-01,2075-12-31
_10172482,DD DARK ROAST 1LB,10172482,10172482,,,,a,707 03 001,Each,1.00,,,u,_881334001778,Master,0.00,0.00,1900-01-01,2075-12-31
_10173546,Quiznos Breakfast Flatbread,10173546,10173546,,,,a,206 04 000,Each,1.00,,,u,_400106639881,Master,0.00,0.00,1900-01-01,2075-12-31
_10173547,Quiznos Breakfast Flatbread,10173547,10173547,,,,a,206 04 000,Each,1.00,,,u,_400106639874,Master,0.00,0.00,1900-01-01,2075-12-31
_10173548,Quiznos Breakfast Flatbread,10173548,10173548,,,,a,206 04 000,Each,1.00,,,u,_400106639898,Master,0.00,0.00,1900-01-01,2075-12-31
_10176522,Quiznos Breakfast Flatbread,10176522,10176522,,,,a,206 04 000,Each,1.00,,,u,_400106639904,Master,0.00,0.00,1900-01-01,2075-12-31
_10177475,DD Franchise K-Cup Original Se,10177475,10177475,,,,a,707 03 001,Each,1.00,,,u,_881334006414,Master,0.00,0.00,1900-01-01,2075-12-31
_10177476,DD Franchise K-Cup Decaf Sell,10177476,10177476,,,,a,707 03 001,Each,1.00,,,u,_881334006346,Master,0.00,0.00,1900-01-01,2075-12-31
_10177479,DD Franchise K-Cup Hazelnut Se,10177479,10177479,,,,a,707 03 001,Each,1.00,,,u,_881334006452,Master,0.00,0.00,1900-01-01,2075-12-31
_10187508,Quiznos New Sausage Muffin,10187508,10187508,,,,a,206 04 000,Each,1.00,,,u,_400106562905,Master,0.00,0.00,1900-01-01,2075-12-31
_10189459,Quiznos Turkey Ranch Swiss,10189459,10189459,,,,a,206 04 000,Each,1.00,,,u,_400106692879,Master,0.00,0.00,1900-01-01,2075-12-31
_10191055,GF BBQ CHICKEN PIZZA MINI,10191055,10191055,,,,a,206 06 000,Each,1.00,,,u,_400106775077,Master,0.00,0.00,1900-01-01,2075-12-31
_10191056,GF BUFFALO CHICKEN PIZZA MINI,10191056,10191056,,,,a,206 06 000,Each,1.00,,,u,_400106775084,Master,0.00,0.00,1900-01-01,2075-12-31
_10191057,GF CHICKEN BACON RANCH PIZZA MINI,10191057,10191057,,,,a,206 06 000,Each,1.00,,,u,_400106775091,Master,0.00,0.00,1900-01-01,2075-12-31
_10191169,Quiznos Breakfast Burrito,10191169,10191169,,,,a,206 04 000,Each,1.00,,,u,_400106780910,Master,0.00,0.00,1900-01-01,2075-12-31
_10191170,Quiznos Breakfast Burrito,10191170,10191170,,,,a,206 04 000,Each,1.00,,,u,_400106780927,Master,0.00,0.00,1900-01-01,2075-12-31
_10191171,Quiznos Breakfast Burrito,10191171,10191171,,,,a,206 04 000,Each,1.00,,,u,_400106780934,Master,0.00,0.00,1900-01-01,2075-12-31
_10192406,BL BLUFFIN SAUSAGE EGG & CHEESE,10192406,10192406,,,,a,206 02 000,Each,1.00,,,u,_400107212090,Master,0.00,0.00,1900-01-01,2075-12-31
_10192415,BL BLUFFIN BACON EGG & CHEESE,10192415,10192415,,,,a,206 02 000,Each,1.00,,,u,_400107212076,Master,0.00,0.00,1900-01-01,2075-12-31
_10192707,GF HONEY BBQ WINGS 6PC,10192707,10192707,,,,a,206 06 000,Each,1.00,,,u,_400106901926,Master,0.00,0.00,1900-01-01,2075-12-31
_10192709,GF BUFFALO WINGS 6PC,10192709,10192709,,,,a,206 06 000,Each,1.00,,,u,_400106901933,Master,0.00,0.00,1900-01-01,2075-12-31
_10192710,GF HONEY BBQ WINGS 12PC,10192710,10192710,,,,a,206 06 000,Each,1.00,,,u,_400106901940,Master,0.00,0.00,1900-01-01,2075-12-31
_10192712,GF BUFFALO WINGS 12PC,10192712,10192712,,,,a,206 06 000,Each,1.00,,,u,_400106901957,Master,0.00,0.00,1900-01-01,2075-12-31
_10192860,GF ALL MEAT COMBO PIZZA MINI,10192860,10192860,,,,a,206 06 000,Each,1.00,,,u,_400186699928,Master,0.00,0.00,1900-01-01,2075-12-31
_10192888,GF PATTY MELT PIZZA MINI,10192888,10192888,,,,a,206 06 000,Each,1.00,,,u,_400106901964,Master,0.00,0.00,1900-01-01,2075-12-31
_10192889,GF OKTOBERFEST PIZZA MINI,10192889,10192889,,,,a,206 06 000,Each,1.00,,,u,_400106901971,Master,0.00,0.00,1900-01-01,2075-12-31
_10193060,GF PATTY MELT PIZZA LG,10193060,10193060,,,,a,206 06 000,Each,1.00,,,u,_400106916913,Master,0.00,0.00,1900-01-01,2075-12-31
_10193063,GF OKTOBERFEST PIZZA LG,10193063,10193063,,,,a,206 06 000,Each,1.00,,,u,_400106916920,Master,0.00,0.00,1900-01-01,2075-12-31
_10193135,PUMPKIN GOUND COFFEE 8z,10193135,10193135,,,,a,206 03 001,Each,1.00,,,u,_881334004625,Master,0.00,0.00,1900-01-01,2075-12-31
_10193313,DD CO-OP BLUEBERRY COFFEE CAKE,10193313,10193313,,,,a,206 26 008,Each,1.00,,,u,_881334004236,Master,0.00,0.00,1900-01-01,2075-12-31
_10193314,DD CO-OP PUMPKIN COFFEE CAKE,10193314,10193314,,,,a,206 26 008,Each,1.00,,,u,_881334005363,Master,0.00,0.00,1900-01-01,2075-12-31
_10193315,DD CO-OP ORIGINAL COFFEE CAKE,10193315,10193315,,,,a,206 26 008,Each,1.00,,,u,_881334004212,Master,0.00,0.00,1900-01-01,2075-12-31
_10193316,DD CO-OP CHOCOLATE  MUNCHKIN 10CT,10193316,10193316,,,,a,206 26 005,Each,1.00,,,u,_881334005912,Master,0.00,0.00,1900-01-01,2075-12-31
_10193317,DD CO-OP GLAZED MUNCHKINS 10CT,10193317,10193317,,,,a,206 26 005,Each,1.00,,,u,_881334005264,Master,0.00,0.00,1900-01-01,2075-12-31
_10193318,DD CO-OP HALF & HALF 10 CT MUN,10193318,10193318,,,,a,206 26 005,Each,1.00,,,u,_881334005929,Master,0.00,0.00,1900-01-01,2075-12-31
_10195655,DD CO-OP MINI CHOCOLATE CHIP COOKIES,10195655,10195655,,,,a,206 26 008,Each,1.00,,,u,_881334006223,Master,0.00,0.00,1900-01-01,2075-12-31
_10197751,GF CHEESE PIZZA LG,10197751,10197751,,,,a,206 06 000,Each,1.00,,,u,_400704788141,Master,0.00,0.00,1900-01-01,2075-12-31
_1062017,GF FREE MINI PIZZA,1062017,1062017,,,,a,206 06 000,Each,1.00,,,u,_400820730819,Master,0.00,0.00,1900-01-01,2075-12-31
_1062109,GF PIZZA MINI SPECIALTY,1062109,1062109,,,,a,206 06 000,Each,1.00,,,u,_400106639928,Master,0.00,0.00,1900-01-01,2075-12-31
_1062116,GF PIZZA FLATBREAD INDIVIDUAL,1062116,1062116,,,,a,206 06 000,Each,1.00,,,u,_400106184640,Master,0.00,0.00,1900-01-01,2075-12-31
_1062134,GF FLATBREAD CLUB,1062134,1062134,,,,a,206 06 000,Each,1.00,,,u,_400106184633,Master,0.00,0.00,1900-01-01,2075-12-31
_1064300,DD Franchise Peppermint Mocha K Cup (Sell),1064300,1064300,,,,a,707 03 001,Each,1.00,,,u,_881334004595,Master,0.00,0.00,1900-01-01,2075-12-31
_1064300,,,,,,,,,,,,,u,_881334006391,,,,,
_1087956,ISMB GLAZED CHOC DONUT HOLE CUP,1087956,1087956,,,,a,231 05 002,Each,1.00,,,u,_841112103629,Master,0.00,0.00,1900-01-01,2075-12-31
_1087957,ISMB GLAZED DONUT HOLE CUP,1087957,1087957,,,,a,231 05 002,Each,1.00,,,u,_841112103636,Master,0.00,0.00,1900-01-01,2075-12-31
_1088145,PEANUT BUTTER COOKIE CAFE,1088145,1088145,,,,a,231 05 003,Each,1.00,,,u,_841112103643,Master,0.00,0.00,1900-01-01,2075-12-31
_1088146,PEANUT BUTTER COOKIE GNG,1088146,1088146,,,,a,231 05 003,Each,1.00,,,u,_841112103650,Master,0.00,0.00,1900-01-01,2075-12-31
_14405,JUMBO HOT DOG,14405,14405,,,,a,218 02 002,Each,1.00,,,u,_642984209958,Master,0.01,0.00,1900-01-01,2075-12-31
_1603722984,i/aBUTTERMILK RANCH DRESSING PCKT,160971,160971,,,,a,221 01 100,Each,1.00,,,u,_716037229849,Master,0.00,0.00,1900-01-01,2075-12-31
_24415,CO2 TANK DEPOSIT,24415,24415,,,,a,215 02 001,Each,1.00,,,u,_012000400292,Master,17.00,0.00,1900-01-01,2075-12-31
_38100,i/aSM IW GLAZED OF DONUT,180996,180996,,,,a,231 01 000,Case,12.00,,,u,_763913381009,Master,0.01,0.00,1900-01-01,2075-12-31
_38104,i/aSM IW GLAZED CINNMN DONUT,180998,180998,,,,a,231 01 000,Case,12.00,,,u,_763913381047,Master,0.01,0.00,1900-01-01,2075-12-31
_38106,i/aSM IW GLAZED BLUBRRY DONUT,180999,180999,,,,a,231 01 000,Case,12.00,,,u,_763913381061,Master,0.01,0.00,1900-01-01,2075-12-31
_38502,i/aSM 6PK CHOC OF DONUT 2.99,181000,181000,,,,a,231 01 000,Case,6.00,,,u,_763913385021,Master,0.01,0.00,1900-01-01,2075-12-31
_38503,i/aSM 6PK CHOC OF DONUTS 2.49,181003,181003,,,,a,231 01 000,Case,6.00,,,u,_763913385038,Master,0.01,0.00,1900-01-01,2075-12-31
_38504,i/aSM 6PK VARIETY OF DONUTS 2.99,181001,181001,,,,a,231 01 000,Case,6.00,,,u,_763913385045,Master,0.01,0.00,1900-01-01,2075-12-31
_38506,i/aSM 6PK GLAZED OF DONUTS 2.99,181002,181002,,,,a,231 01 000,Case,6.00,,,u,_763913385069,Master,0.01,0.00,1900-01-01,2075-12-31
_38507,i/aSM 6PK GLAZED OF DONUTS 2.49,181005,181005,,,,a,231 01 000,Case,6.00,,,u,_763913385076,Master,0.01,0.00,1900-01-01,2075-12-31
_5289400986,WALSER CLUB CARD,164539,164539,,,,a,77 01 000,Each,1.00,,,u,_052894009867,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412001,i/aMTC POPCORN CHICKEN,176095,176095,,,,a,221 01 100,Each,1.00,,,u,_052894120012,Master,0.01,0.00,1900-01-01,2075-12-31
_5289412006,SNACK ATTACK SPICY CHEESY CHKN,176101,176101,,,,a,221 07 104,Each,1.00,,,u,_052894120067,Master,0.01,0.00,1900-01-01,2075-12-31
_5289412012,MTC CHZBURGER,181366,181366,,,,a,221 04 102,Each,1.00,,,u,_052894120128,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412014,MTC SSG EGG CHZ BISC,181364,181364,,,,a,221 03 102,Each,1.00,,,u,_052894120142,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412014,,,,,,,,,,,,,u,_841112100307,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289412015,MTC SG EG CHZ MUFF,181361,181361,,,,a,221 03 102,Each,1.00,,,u,_052894120159,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412015,,,,,,,,,,,,,u,_841112100314,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289412016,MTC BCN EGG CHZ CRSNT,181365,181365,,,,a,221 03 102,Each,1.00,,,u,_052894120166,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412016,,,,,,,,,,,,,u,_841112100321,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289412018,i/aMTC SSG GRVY STFD BISC,181362,181362,,,,a,221 01 100,Each,1.00,,,u,_052894120180,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412020,i/aMTC SSG EGG CHZ FRENCH TOAST,183043,183043,,,,a,221 01 100,Each,1.00,,,u,_052894120203,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412021,i/aMTC TRPL MFFN SSG/EGG/CHZ,183042,183042,,,,a,221 01 100,Each,1.00,,,u,_052894120210,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412022,MTC WAFFLE SSG/EGG/CHZ,183041,183041,,,,a,221 03 102,Each,1.00,,,u,_052894120227,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412023,i/aMTC BCN DBL CHZBURGER,183040,183040,,,,a,221 01 100,Each,1.00,,,u,_052894120234,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412024,i/a7TH CTG GRILLED CHICK BCN SWISS,183039,183039,,,,a,221 01 100,Each,1.00,,,u,_052894120241,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412025,i/aMTC CHICKEN CHZ QUESADILLA,183038,183038,,,,a,221 01 100,Each,1.00,,,u,_052894120258,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412026,i/aMTC NACHO CHEESE BITE,183037,183037,,,,a,221 01 100,Each,1.00,,,u,_052894120265,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412027,i/aMTC CHICKEN POT PIE,183036,183036,,,,a,221 01 100,Each,1.00,,,u,_052894120272,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412028,i/aMTC HASH BROWN STICKS,183163,183163,,,,a,221 01 100,Each,1.00,,,u,_052894120289,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412032,MTC CAN BAC EGG CHZ CROIS,184998,184998,,,,a,221 03 102,Each,1.00,,,u,_052894120326,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412032,,,,,,,,,,,,,u,_841112100376,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289412033,MTC CHICK CHZ BISC,185408,185408,,,,a,221 03 102,Each,1.00,,,u,_052894120333,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412033,,,,,,,,,,,,,u,_841112100369,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289412034,i/aHOT WINGS,186227,186227,,,,a,221 01 100,Each,1.00,,,u,_052894120340,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412052,i/aSSG GRVY BISC BOWL,192603,192603,,,,a,221 01 100,Each,1.00,,,u,_052894120524,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412109,ISMS-CHICKEN SALAD CROISSANT,1051171,1051171,,,,a,221 08 102,Each,1.00,,,u,_052894121095,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412110,ISMS-TUNA SALAD CROISSANT,1051169,1051169,,,,a,221 08 102,Each,1.00,,,u,_052894121101,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412115,MTC CAN BAC EGG CHS MUFF,1051573,1051573,,,,a,221 03 102,Each,1.00,,,u,_052894121156,Master,0.00,0.00,1900-01-01,2075-12-31
_5289412115,,,,,,,,,,,,,u,_841112100390,EAST,0.00,0.00,2016-12-21,2075-12-31
_5289460133,NTAX-NON SCAN ITEMS,152497,152497,,,,a,601 33 000,Each,1.00,,,u,_052894601337,Master,0.00,0.00,1900-01-01,2075-12-31
_91051372,MTC SLICE SSG PIZZA,1051372,1051372,,,,a,221 05 102,Each,1.00,,,u,_052894120838,Master,0.01,0.00,1900-01-01,2075-12-31
_91051985,MTC BONELESS BBQ RIB HOAGIE,1051985,1051985,,,,a,221 04 102,Each,1.00,,,u,_841112100260,Master,0.00,0.00,1900-01-01,2075-12-31
_91056655,MTC BFAST SCRAMBLER BURRITO,1056655,1056655,,,,a,221 03 102,Each,1.00,,,u,_052894121682,Master,0.00,0.00,1900-01-01,2075-12-31
_91056655,,,,,,,,,,,,,u,_841112100352,EAST,0.00,0.00,2016-12-21,2075-12-31
_91066528,MTC CHSBURGER NEW,1066528,1066528,,,,a,221 04 102,Each,1.00,,,u,_841112100253,Master,0.00,0.00,1900-01-01,2075-12-31
_91066532,MTC BCN CHSBURGER NEW,1066532,1066532,,,,a,221 04 102,Each,1.00,,,u,_841112100277,Master,0.00,0.00,1900-01-01,2075-12-31
_91081734,Half Dozen Donuts GNG,1081734,1081734,,,,a,231 05 002,Each,1.00,,,u,_841112102042,Master,0.00,0.00,1900-01-01,2075-12-31
_91082198,ALL BEEF HOT DOG 5/1,1082198,1082198,,,,a,218 02 002,Each,1.00,,,u,_054500318042,Master,0.00,0.00,1900-01-01,2075-12-31
_91083327,WARM MINI CINN ROLL 2PK,1083327,1083327,,,,a,231 04 002,Each,1.00,,,u,_841112102127,Master,0.00,0.00,1900-01-01,2075-12-31
_91083552,SPEEDY TREAT CAKE BITES,1083552,1083552,,,,a,231 04 002,Each,1.00,,,u,_841112102134,Master,0.00,0.00,1900-01-01,2075-12-31
_91083996,SCE TURKEY BACON SALAD,1083996,1083996,,,,a,221 25 104,Each,1.00,,,u,_841112102370,Master,0.00,0.00,1900-01-01,2075-12-31
_91083997,SCE GRILLED CHICKEN SALAD,1083997,1083997,,,,a,221 25 104,Each,1.00,,,u,_841112102387,Master,0.00,0.00,1900-01-01,2075-12-31
_91083998,SCE TURKEY SWISS WRAP,1083998,1083998,,,,a,221 25 105,Each,1.00,,,u,_841112102394,Master,0.00,0.00,1900-01-01,2075-12-31
_91083999,SCE GRILLED CHICKEN WRAP,1083999,1083999,,,,a,221 25 105,Each,1.00,,,u,_841112102400,Master,0.00,0.00,1900-01-01,2075-12-31
_91084267,MTC CHICK CHS MPL GRIDDLE CAKE,1084267,1084267,,,,a,221 03 102,Each,1.00,,,u,_841112102363,Master,0.00,0.00,1900-01-01,2075-12-31
_91084267,,,,,,,,,,,,,,,EAST,0.00,0.00,1900-01-01,2075-12-31
_91084863,MTC CHEESESTEAK HOAGIE,1084863,1084863,,,,a,221 04 102,Each,1.00,,,u,_841112102431,Master,0.00,0.00,1900-01-01,2075-12-31
