ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_00-90012,STU 12Z PECAN LOG ROLL,20000121,20000121,,,,a,601 02 000,Case,24.00,,,u,_091976901125,Master,81.36,0.00,1900-01-01,2075-12-31
_00-90102,STU 7Z PECAN LOG ROLL,20000122,20000122,,,,a,601 02 000,Case,24.00,,,u,_091976901026,Master,50.16,0.00,1900-01-01,2075-12-31
_02-32305,STU BIG BAG STRAWBERRY TWIST,20000123,20000123,,,,a,601 02B 000,Case,12.00,,,u,_091976323057,Master,28.68,0.00,1900-01-01,2075-12-31
_02-32336,STU BIG BAG CHERRY SLICES,20000124,20000124,,,,a,601 02B 000,Case,12.00,,,u,_091976323361,Master,24.60,0.00,1900-01-01,2075-12-31
_02-32350,STU BIG BAG ORANGE SLICES 24Z,20000125,20000125,,,,a,601 02B 000,Case,12.00,,,u,_091976323507,Master,24.60,0.00,1900-01-01,2075-12-31
_02-32352,STU BIG BAG CARAMEL BULLSEYES 12Z,20000126,20000126,,,,a,601 02B 000,Case,12.00,,,u,_091976323521,Master,24.60,0.00,1900-01-01,2075-12-31
_02-32353,STU BIG BAG SWEET STRIPES 9Z,20000127,20000127,,,,a,601 02B 000,Case,12.00,,,u,_091976323538,Master,24.60,0.00,1900-01-01,2075-12-31
_02-32354,STU BIG BAG SQUIRMY WORMS 18Z,20000128,20000128,,,,a,601 02B 000,Case,12.00,,,u,_091976323545,Master,24.60,0.00,1900-01-01,2075-12-31
_02-32355,STU BIG BAG PEANUT BUTTER BARS 13Z,20000129,20000129,,,,a,601 02B 000,Case,12.00,,,u,_091976323552,Master,28.68,0.00,1900-01-01,2075-12-31
_02-32357,STU BIG BAG SALT WATER TAFFY 15Z,20000130,20000130,,,,a,601 02B 000,Case,12.00,,,u,_091976323576,Master,28.68,0.00,1900-01-01,2075-12-31
_02-32358,STU BIG BAG JOLLY RANCHERS 12Z,20000131,20000131,,,,a,601 02B 000,Case,12.00,,,u,_091976323583,Master,28.68,0.00,1900-01-01,2075-12-31
_02-90091,STU SALTWATER TAFFY 12z BAG,20000132,20000132,,,,a,601 02B 000,Case,12.00,,,u,_091976900913,Master,24.00,0.00,2015-09-01,2075-12-31
_02-90092,STU TOFFEE ASST 8Z BAG,20000133,20000133,,,,a,601 02B 000,Case,12.00,,,u,_091976900920,Master,24.00,0.00,1900-01-01,2075-12-31
_03-17666,STU 9Z PECAN HALVES,20000134,20000134,,,,a,601 04B 000,Case,8.00,,,u,_091976175557,Master,38.32,0.00,1900-01-01,2075-12-31
_03-70003,STU HR PECANS VT - 12Z,20000135,20000135,,,,a,601 04B 000,Case,12.00,,,u,_091976700032,Master,95.88,0.00,1900-01-01,2075-12-31
_03-70007,STU T&S PECANS VT - 12Z,20000136,20000136,,,,a,601 04B 000,Case,12.00,,,u,_091976856111,Master,95.88,0.00,1900-01-01,2075-12-31
_03-84633,STU T&S PEANUTS VT - 8.25Z,20000137,20000137,,,,a,601 04B 000,Case,6.00,,,u,_091976846334,Master,12.00,0.00,1900-01-01,2075-12-31
_03-84634,STU T&S PECANS VT - 3.5Z,20000138,20000138,,,,a,601 04B 000,Case,8.00,,,u,_091976846341,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84635,STU S&S PECANS VT - 3.75Z,20000139,20000139,,,,a,601 04B 000,Case,8.00,,,u,_091976846358,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84638,STU WHOLE CASHEWS VT - 4Z,20000140,20000140,,,,a,601 04B 000,Case,8.00,,,u,_091976846389,Master,21.20,0.00,1900-01-01,2075-12-31
_03-84639,STU T&S CASHEW HALVES VT - 4.25Z,20000141,20000141,,,,a,601 04B 000,Case,8.00,,,u,_091976846396,Master,21.20,0.00,1900-01-01,2075-12-31
_03-84640,STU HR PECANS VT - 3.5Z,20000142,20000142,,,,a,601 04B 000,Case,8.00,,,u,_091976846402,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84642,STU HR PEANUTS VT - 8.25Z,20000143,20000143,,,,a,601 04B 000,Case,6.00,,,u,_091976846426,Master,12.00,0.00,1900-01-01,2075-12-31
_03-84648,STU LS PECANS VT- 3.5Z,20000144,20000144,,,,a,601 04B 000,Case,8.00,,,u,_091976846488,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84649,STU GLAZED PECANS- VT 4.5Z,20000145,20000145,,,,a,601 04B 000,Case,8.00,,,u,_091976846495,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84650,STU NATURAL PECANS- VT 3.5Z,20000146,20000146,,,,a,601 04B 000,Case,8.00,,,u,_091976846501,Master,27.92,0.00,1900-01-01,2075-12-31
_03-84651,STU HR CASHEWS VT - 4Z,20000147,20000147,,,,a,601 04B 000,Case,8.00,,,u,_091976846518,Master,21.20,0.00,1900-01-01,2075-12-31
_03-84653,STU DELUXE MIXED NUTS VT - 4Z,20000148,20000148,,,,a,601 04B 000,Case,8.00,,,u,_091976846532,Master,22.00,0.00,1900-01-01,2075-12-31
