ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_041900075323,TRUMOO CHOC ESL PROTEIN 1% MILK,1062031,1062031,,,,a,601 07 410,Each,1.00,,,u,_041900075323,Master,1.63,0.00,2019-01-08,2075-12-31
_041900075330,TRUMOO VANILLA ESL PROTIEN 1% MILK,1062039,1062039,,,,a,601 07 410,Each,1.00,,,u,_041900075330,Master,1.63,0.00,2019-01-08,2075-12-31
_076545001017,SWISS ICED TEA PT,1064476,1064476,,,,a,601 14 000,Each,1.00,,,u,_076545001017,Master,0.38,0.00,2018-02-01,2075-12-31
_076545001376,SWISS ORANGE BLAST HG,1064471,1064471,,,,a,601 07 200,Each,1.00,,,u,_076545001376,Master,1.06,0.00,2018-01-01,2075-12-31
_076545001406,SWISS TEA SWEET/LEMON HG,1053975,1053975,,,,a,601 14 000,Each,1.00,,,u,_076545001406,Master,1.06,0.00,2018-01-01,2075-12-31
_076545001444,SWISS LEMONADE PT,1064475,1064475,,,,a,Default,Each,1.00,,,u,_076545001444,Master,0.38,0.00,2018-02-01,2075-12-31
_076545001475,SWISS FRUIT PUNCH HG,1064465,1064465,,,,a,601 07 200,Each,1.00,,,u,_076545001475,Master,1.06,0.00,2018-01-01,2075-12-31
_076545001482,SWISS FRUIT PUNCH PT,1064479,1064479,,,,a,Default,Each,1.00,,,u,_076545001482,Master,0.38,0.00,2018-02-01,2075-12-31
_076545002625,SWISS DRK RASP LEMONADE PT,1053978,1053978,,,,a,Default,Each,1.00,,,u,_076545002625,Master,0.38,0.00,2018-03-01,2075-12-31
_12334,SWISS TEA COOLER PT,1053981,1053981,,,,a,601 14 000,Each,1.00,,,u,_076545001024,Master,0.38,0.00,2018-02-01,2075-12-31
_12336,SWISS TEA DT LEMON PT,1053982,1053982,,,,a,601 14B 000,Each,1.00,,,u,_076545001543,Master,0.38,0.00,2018-02-01,2075-12-31
_12342,SWISS GREEN TEA PT,1064478,1064478,,,,a,601 14 000,Each,1.00,,,u,_076545001307,Master,0.38,0.00,2018-02-01,2075-12-31
_13971,SWISS TEA GREEN W/G&H HG,1053974,1053974,,,,a,601 14 000,Each,1.00,,,u,_076545001291,Master,1.06,0.00,2018-01-01,2075-12-31
