ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_2068508577,LANCE CAPE COD REDUCE FAT 9z,137194,137194,,,,a,601 04A 290,Each,1.00,,,,,Master,2.15,0.00,1900-01-01,2075-12-31
_2068512380,LANCE CAPE COD REDUCE FAT 3z,159497,159497,,,,a,601 04A 290,Each,1.00,,,,,Master,0.72,0.00,1900-01-01,2075-12-31
_2068548377,LANCE CAPE COD RUSSET 3z,155989,155989,,,,a,601 04A 290,Each,1.00,,,,,Master,0.72,0.00,1900-01-01,2075-12-31
_2190001054,TOMS SALTED PNUTS 4z,91912,91912,,,,a,601 04B 200,Each,1.00,,,,,Master,0.69,0.00,1900-01-01,2075-12-31
_2190001091,TOMS HONEY TOASTED PEANUT DISP,64802,64802,,,,a,601 04A 340,Each,1.00,,,,,Master,0.35,0.00,1900-01-01,2075-12-31
_2190001097,TOM'S SUNFLOWER KERNALS,122104,122104,,,,a,601 04B 200,Each,1.00,,,,,Master,0.35,0.00,1900-01-01,2075-12-31
_2190001099,TOM'S SMOKED ALMONDS,132258,132258,,,,a,601 04B 000,Each,1.00,,,,,Master,0.69,0.00,1900-01-01,2075-12-31
_2190001129,TOMS TOASTED PEANUT DISPLAY PP,17885,17885,,,,a,601 04B 200,Each,1.00,,,,,Master,0.35,0.00,1900-01-01,2075-12-31
_2190001132,TOMS HOT PEANUTS DISPLAY PP,17882,17882,,,,a,601 04B 200,Each,1.00,,,,,Master,0.35,0.00,1900-01-01,2075-12-31
_2190001133,TOMS REDSKINS DISPLAY PP,17884,17884,,,,a,601 04B 200,Each,1.00,,,,,Master,0.35,0.00,1900-01-01,2075-12-31
