ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_2669177716,CRAWFISH CHICKEN BLOOD 10z,128614,128614,,,,a,601 34 016,Each,1.00,,,u,_026691777168,Master,2.25,0.00,1900-01-01,2075-12-31
_2669177742,CHICKEN LIVER/CHICKEN 10z,128615,128615,,,,a,601 34 016,Each,1.00,,,u,_026691777427,Master,2.25,0.00,1900-01-01,2075-12-31
_2669177771,KINGKAT BLOOD BT 10z,128610,128610,,,,a,601 34 016,Each,1.00,,,u,_026691777717,Master,2.25,0.00,1900-01-01,2075-12-31
_2863200212,XL PONY SPL CLEAR,128519,128519,,,,a,601 34 016,Each,1.00,,,u,_028632002124,Master,1.95,0.00,1900-01-01,2075-12-31
_2863200213,KASS TRILENE 6 LB 00213,117321,117321,,,,a,601 34 016,Each,1.00,,,u,_028632002131,Master,1.95,0.00,1900-01-01,2075-12-31
_2863200214,KASS TRILENE.XL.8LB 00214,117322,117322,,,,a,601 34 016,Each,1.00,,,u,_028632002148,Master,1.85,0.00,1900-01-01,2075-12-31
_2863200215,KASS TRILENE 10LB 00215,117323,117323,,,,a,601 34 016,Each,1.00,,,u,_028632002155,Master,2.55,0.00,1900-01-01,2075-12-31
_3205400426,BP DIALBOX SINKER,125898,125898,,,,a,601 34 016,Each,1.00,,,u,_032054004260,Master,1.09,0.00,1900-01-01,2075-12-31
_3205400456,BP SPLT SHOT 3/0 SINKERS,126826,126826,,,,a,601 34 016,Each,1.00,,,u,_032054004567,Master,0.42,0.00,1900-01-01,2075-12-31
_3205400457,BP SPLT SHOT BB SINKERS,126827,126827,,,,a,601 34 016,Each,1.00,,,u,_032054004574,Master,0.42,0.00,1900-01-01,2075-12-31
_3205400552,BP SNELLED HOOKS SZ 6,126828,126828,,,,a,601 34 016,Each,1.00,,,u,_032054005526,Master,0.23,0.00,1900-01-01,2075-12-31
_3205400553,BP SNELLED HOOKS SZ 4,126830,126830,,,,a,601 34 016,Each,1.00,,,u,_032054005533,Master,0.01,0.00,1900-01-01,2075-12-31
_3205400554,BP SNELLED HOOKS SZ 2,126831,126831,,,,a,601 34 016,Each,1.00,,,u,_032054005540,Master,0.23,0.00,1900-01-01,2075-12-31
_3205400908,BP 7SNAP METAL STRINGER,127578,127578,,,,a,601 34 016,Each,1.00,,,u,_032054009081,Master,0.89,0.00,1900-01-01,2075-12-31
_3205401436,BP BRASS S SWIVEL #14,126833,126833,,,,a,601 34 016,Each,1.00,,,u,_032054014368,Master,0.42,0.00,1900-01-01,2075-12-31
_3205401437,BP S SWIVELS SIZE 12/7PK,126834,126834,,,,a,601 34 016,Each,1.00,,,u,_032054014375,Master,0.42,0.00,1900-01-01,2075-12-31
_4208310004,BP STREN FISHING LINE 4LB,127597,127597,,,,a,601 34 016,Each,1.00,,,u,_042083100048,Master,1.99,0.00,1900-01-01,2075-12-31
_4208310004,,,,,,,,,,,,,u,_042083100482,,,,,
_4208310008,BP STREN LINE 8LB,119333,119333,,,,a,601 34 016,Each,1.00,,,u,_042083100086,Master,1.99,0.00,1900-01-01,2075-12-31
_4208310010,BP STREN LINE 10LB,119334,119334,,,,a,601 34 016,Each,1.00,,,u,_042083100109,Master,2.49,0.00,1900-01-01,2075-12-31
_4208610006,BP STREN LINE 6LB,126836,126836,,,,a,601 34 016,Each,1.00,,,u,_042083100062,Master,1.99,0.00,1900-01-01,2075-12-31
_4470800184,EAGLE CLAW HOOK 4 00184,117515,117515,,,,a,601 34 016,Each,1.00,,,u,_047708001847,Master,0.81,0.00,1900-01-01,2075-12-31
_4770800118,KASS HOOK 139 8 00188,117738,117738,,,,a,601 34 016,Case,24.00,,,u,_047708001885,Master,19.44,0.00,1900-01-01,2075-12-31
_4770800186,KASS HOOK 139  00186,117516,117516,,,,a,601 34 016,Each,1.00,,,u,_047708001861,Master,0.81,0.00,1900-01-01,2075-12-31
_4770811777,EAGLE CLAW HOOK SIZE 2,127614,127614,,,,a,601 34 016,Each,1.00,,,u,_047708117777,Master,0.82,0.00,1900-01-01,2075-12-31
_4770811778,EAGLE CLAW HOOK SIZE 4,127615,127615,,,,a,601 34 016,Each,1.00,,,u,_047708117784,Master,0.82,0.00,1900-01-01,2075-12-31
_4770811779,EAGLE CLAW HOOK SIZE 6,127616,127616,,,,a,601 34 016,Each,1.00,,,u,_047708117791,Master,0.82,0.00,1900-01-01,2075-12-31
_4770811780,EAGLE CLAW HOOK SIZE 8,127617,127617,,,,a,601 34 016,Each,1.00,,,u,_047708117807,Master,0.82,0.00,1900-01-01,2075-12-31
_5361549378,KASS 908-MANTLE,119647,119647,,,,a,601 34 016,Each,1.00,,,u,_753615493780,Master,1.10,0.00,1900-01-01,2075-12-31
