ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_073360709999,ARIZONA GINSENG TEA PL GAL,124982,124982,,,,a,601 14 01,Case,4.00,,,u,_073360709999,Master,9.99,0.00,1900-01-01,2075-12-31
_613008710194,ARIZONA FRUIT PUNCH GAL,139550,139550,,,,a,601 12A 000,Case,4.00,,,u,_613008710194,Master,9.99,0.00,1900-01-01,2075-12-31
_613008715724,ARIZONA MANDARIN ORNG 20z,88476,88476,,,,a,601 14 000,Case,12.00,,,u,_613008715724,Master,12.50,0.00,1900-01-01,2075-12-31
_613008718459,ARIZONA RX ENERGY HERBAL 23.5z,175601,175601,,,,a,601 14 000,Case,24.00,,,u,_613008718459,Master,14.99,0.00,2016-01-01,2075-12-31
_613008719814,ARIZONA UNSWEETENED TEA GAL,139552,139552,,,,a,601 14B 000,Case,4.00,,,u,_613008719814,Master,9.99,0.00,1900-01-01,2075-12-31
_613008720773,ARIZONA POMEGRANATE G TEA 20z,170645,170645,,,,a,601 14 000,Case,12.00,,,u,_613008720773,Master,12.50,0.00,1900-01-01,2075-12-31
_613008723460,ARIZONA ARNOLD PALM TEA 20z,182853,182853,,,,a,601 14 000,Case,24.00,,,u,_613008723460,Master,20.28,0.00,2010-03-01,2075-12-31
_613008723460,,,,,,,,,,,,,u,_613008723477,,,,,
_613008743703,ARIZONA LEMON TEA REAL SUGAR PET 20z,1084627,1084627,,,,a,601 14 000,Case,20.00,,,u,_613008743703,Master,20.28,0.00,2017-06-20,2075-12-31
_613008743734,ARIZONA GREEN TEA REAL SUGAR PET 20z,1084629,1084629,,,,a,601 14 000,Case,20.00,,,u,_613008743734,Master,20.28,0.00,2017-06-20,2075-12-31
_613008743765,ARIZONA SWEET TEA REAL SUGAR PET 20z,1084630,1084630,,,,a,601 14 000,Case,20.00,,,u,_613008743765,Master,20.28,0.00,2017-06-20,2075-12-31
_613008743796,ARIZONA ZERO GREEN REAL SUGAR PET 20z,1084628,1084628,,,,a,601 14 000,Case,20.00,,,u,_613008743796,Master,20.28,0.00,2017-06-20,2075-12-31
_613008743826,ARIZONA RX ENERGY REAL SUGAR PET 20z,1084634,1084634,,,,a,601 14 000,Case,20.00,,,u,_613008743826,Master,20.28,0.00,2017-06-20,2075-12-31
_613008743857,ARIZONA ARNLD PLMR REAL SUGAR PET 20z,1084631,1084631,,,,a,601 14 000,Case,20.00,,,u,_613008743857,Master,20.28,0.00,2017-06-20,2075-12-31
_613008744069,ARIZONA FRUIT PUNCH REAL SUGAR PET 20z,1084636,1084636,,,,a,601 14 000,Case,20.00,,,u,_613008744069,Master,20.28,0.00,2017-06-20,2075-12-31
_613008744090,ARIZONA MUCHO MANGO REAL SUGAR PET 20z,1084633,1084633,,,,a,601 14 000,Case,20.00,,,u,_613008744090,Master,20.28,0.00,2017-06-20,2075-12-31
_613008744120,ARIZONA WTRMLN REAL SUGAR PET 20z,1084637,1084637,,,,a,601 14 000,Case,20.00,,,u,_613008744120,Master,20.28,0.00,2017-06-20,2075-12-31
_613008744151,ARIZONA GLDN BEAR STRAWBERRY REAL SUGAR PET 20z,1084638,1084638,,,,a,601 14 000,Case,20.00,,,u,_613008744151,Master,20.28,0.00,2017-06-20,2075-12-31
_7336070943,ARIZONA GINSENG ICE TEA 20z,35777,35777,,,,a,601 14 000,Case,12.00,,,u,_073360709432,Master,12.50,0.00,1900-01-01,2075-12-31
_8624900004,XENERGY CRAN/RAZZ 16z,169785,169785,,,,a,601 13A 000,Case,24.00,,,u,_186249000046,Master,32.00,0.00,2007-11-01,2075-12-31
_8624900066,XENERGY APPLE 16z,169786,169786,,,,a,601 13A 000,Case,24.00,,,u,_186249000664,Master,32.00,0.00,2007-11-01,2075-12-31
_8624900069,XENERGY CLEAR 16z,169787,169787,,,,a,601 13A 000,Case,24.00,,,u,_186249000695,Master,32.00,0.00,2007-11-01,2075-12-31
