ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_3297200119,LARGE MIXED BOUQUET,175677,175677,,,,a,601 34 007,Each,1.00,,,u,_033383995113,Master,10.50,0.00,2016-11-01,2075-12-31
_3297200119,,,,,,,,,,,,,u,_616978155774,,,,,
_3297200119,,,,,,,,,,,,,u,_616978155781,,,,,
_3297200119,,,,,,,,,,,,,u,_616978155798,,,,,
_3297200119,,,,,,,,,,,,,u,_642364023112,,,,,
_3297200119,,,,,,,,,,,,,u,_663413040003,,,,,
_3297200119,,,,,,,,,,,,,u,_679432007125,,,,,
_3297200119,,,,,,,,,,,,,u,_794878000193,,,,,
_3297200119,,,,,,,,,,,,,u,_832972001163,,,,,
_3297200119,,,,,,,,,,,,,u,_832972001194,,,,,
_3297200119,,,,,,,,,,,,,u,_855205001037,,,,,
_3297200123,SMALL MIXED BOUQUET - HOLIDAY,1051817,1051817,,,,a,601 34 007,Each,1.00,,,u,_832972001231,Master,5.40,0.00,1900-01-01,2075-12-31
_3297200135,THREE ROSE BOUQUET,171356,171356,,,,a,601 34 007,Each,1.00,,,u,_616978187782,Master,7.00,0.00,1900-01-01,2075-12-31
_3297200135,,,,,,,,,,,,,u,_663413020012,,,,,
_3297200135,,,,,,,,,,,,,u,_832972001354,,,,,
_3297200135,,,,,,,,,,,,,u,_832972001378,,,,,
_3297200139,SINGLE ROSE WITHE PLUSH,1086397,1086397,,,,a,601 34 007,Each,1.00,,,u,_832972001392,Master,4.75,0.00,1900-01-01,2075-12-31
_3297200140,ROSE BUDE VASE,1086398,1086398,,,,a,601 34 007,Each,1.00,,,u,_832972001408,Master,9.10,0.00,1900-01-01,2075-12-31
_3297200141,ROSE WITH PLUCH BUD VASE,1086399,1086399,,,,a,601 34 007,Each,1.00,,,u,_832972001415,Master,11.00,0.00,1900-01-01,2075-12-31
_832972000302,FEATHER ROSE,137445,137445,,,,a,601 34 007,Each,1.00,,,u,_832972000302,Master,2.75,0.00,2014-08-02,2075-12-31
_832972000401,CRYSTAL ROSE,163806,163806,,,,a,601 34 007,Each,1.00,,,u,_832972000401,Master,2.75,0.00,2014-08-02,2075-12-31
_832972000401,,,,,,,,,,,,,u,_852105000405,,,,,
_832972001019,SINGLE ROSE,17147,17147,,,,a,601 34 007,Each,1.00,,,u,_028030210268,Master,2.00,0.00,2009-08-10,2075-12-31
_832972001019,,,,,,,,,,,,,u,_033383974750,,,,,
_832972001019,,,,,,,,,,,,,u,_033383979212,,,,,
_832972001019,,,,,,,,,,,,,u,_041163002401,,,,,
_832972001019,,,,,,,,,,,,,u,_094922764119,,,,,
_832972001019,,,,,,,,,,,,,u,_101210121681,,,,,
_832972001019,,,,,,,,,,,,,u,_616978127771,,,,,
_832972001019,,,,,,,,,,,,,u,_616978127795,,,,,
_832972001019,,,,,,,,,,,,,u,_655504003295,,,,,
_832972001019,,,,,,,,,,,,,u,_663413010013,,,,,
_832972001019,,,,,,,,,,,,,u,_679432007019,,,,,
_832972001019,,,,,,,,,,,,,u,_785385100049,,,,,
_832972001019,,,,,,,,,,,,,u,_798304035308,,,,,
_832972001019,,,,,,,,,,,,,u,_829691000010,,,,,
_832972001019,,,,,,,,,,,,,u,_832972001019,,,,,
_832972001019,,,,,,,,,,,,,u,_836115000013,,,,,
_832972001019,,,,,,,,,,,,,u,_836115000068,,,,,
_832972001019,,,,,,,,,,,,,u,_837654206003,,,,,
_832972001019,,,,,,,,,,,,,u,_855205001006,,,,,
_832972001019,,,,,,,,,,,,,u,_973700502092,,,,,
_832972001026,TWO ROSE BOUQUET,21015,21015,,,,a,601 34 007,Each,1.00,,,u,_616978137770,Master,4.75,0.00,2009-08-11,2075-12-31
_832972001026,,,,,,,,,,,,,u,_655504106996,,,,,
_832972001026,,,,,,,,,,,,,u,_679432007026,,,,,
_832972001026,,,,,,,,,,,,,u,_829691000027,,,,,
_832972001026,,,,,,,,,,,,,u,_829691100024,,,,,
_832972001026,,,,,,,,,,,,,u,_832972001026,,,,,
_832972001026,,,,,,,,,,,,,u,_836115000518,,,,,
_832972001026,,,,,,,,,,,,,u,_836115000563,,,,,
_832972001057,ROSE BUD VASE,79319,79319,,,,a,601 34 007,Each,1.00,,,u,_616978167777,Master,7.00,0.00,2009-08-10,2075-12-31
_832972001057,,,,,,,,,,,,,u,_616978167784,,,,,
_832972001057,,,,,,,,,,,,,u,_616978168880,,,,,
_832972001057,,,,,,,,,,,,,u,_655504109997,,,,,
_832972001057,,,,,,,,,,,,,u,_832972001057,,,,,
_832972001057,,,,,,,,,,,,,u,_836115000051,,,,,
_832972001071,SINGLE ROSE - HOLIDAY,176361,176361,,,,a,601 34 007,Each,1.00,,,u,_616978127788,Master,3.50,0.00,2018-01-03,2075-12-31
_832972001071,,,,,,,,,,,,,u,_655504003592,,,,,
_832972001071,,,,,,,,,,,,,u,_829691111112,,,,,
_832972001071,,,,,,,,,,,,,u,_832972001071,,,,,
_832972001071,,,,,,,,,,,,,u,_832972001316,,,,,
_832972001071,,,,,,,,,,,,,u,_855205001082,,,,,
_832972001088,TWO ROSE BOUQUET - HOLIDAY,171358,171358,,,,a,601 34 007,Each,1.00,,,u,_616978137787,Master,5.40,0.00,2012-09-25,2075-12-31
_832972001088,,,,,,,,,,,,,u,_655504010996,,,,,
_832972001088,,,,,,,,,,,,,u,_829691222221,,,,,
_832972001088,,,,,,,,,,,,,u,_832972001088,,,,,
_832972001095,HALF DOZEN ROSES-PREMIUM,1082102,1082102,,,,a,601 34 007,Each,1.00,,,u,_832972001095,Master,12.00,0.00,1900-01-01,2075-12-31
_832972001125,BEAR BUD VASE,171354,171354,,,,a,601 34 007,Each,1.00,,,u,_616978197774,Master,11.00,0.00,2014-08-02,2075-12-31
_832972001125,,,,,,,,,,,,,u,_616978197781,,,,,
_832972001125,,,,,,,,,,,,,u,_655504112997,,,,,
_832972001125,,,,,,,,,,,,,u,_679432001017,,,,,
_832972001125,,,,,,,,,,,,,u,_829691444449,,,,,
_832972001125,,,,,,,,,,,,,u,_832972001125,,,,,
_832972001149,HALF DOZEN ROSES,158809,158809,,,,a,601 34 007,Each,1.00,,,u,_033383974811,Master,9.75,0.00,2016-11-01,2075-12-31
_832972001149,,,,,,,,,,,,,u,_616978147779,,,,,
_832972001149,,,,,,,,,,,,,u,_679432007064,,,,,
_832972001149,,,,,,,,,,,,,u,_829691100062,,,,,
_832972001149,,,,,,,,,,,,,u,_832972001149,,,,,
_832972001149,,,,,,,,,,,,,u,_836115000044,,,,,
_832972001149,,,,,,,,,,,,,u,_836115000297,,,,,
_832972001149,,,,,,,,,,,,,u,_855205001044,,,,,
_832972001156,SMALL MIXED BOUQUET,17148,17148,,,,a,601 34 007,Each,1.00,,,u,_041163000179,Master,5.60,0.00,2016-11-01,2075-12-31
_832972001156,,,,,,,,,,,,,u,_616978157778,,,,,
_832972001156,,,,,,,,,,,,,u,_616978158775,,,,,
_832972001156,,,,,,,,,,,,,u,_655504006999,,,,,
_832972001156,,,,,,,,,,,,,u,_663413030011,,,,,
