ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_003573300006,TURNER COOKIES & CREAM HG,1097476,1097476,,,*INACTIVE*,a,Default,Each,1.00,,,u,_035733000065,Master,2.13,0.00,1900-01-01,2075-12-31
_035733000560,TURNER CHOC STRAWBERRY MILK SS,1085979,1085979,,,*INACTIVE*,a,Default,Each,1.00,,,u,_035733000560,Master,0.69,0.00,1900-01-01,2075-12-31
_035733005947,TURNER STRAWBERRY LEMONADE SS,1087313,1087313,,,*INACTIVE*,a,601 12A 000,Each,1.00,,,u,_035733005947,Master,0.44,0.00,1900-01-01,2075-12-31
_25077,MILK WHOLE GAL,180123,180123,,,*INACTIVE*,a,601 07 000,Each,1.00,,,u,_034500611015,Master,3.42,0.00,2019-01-02,2075-12-31
_25077,,,,,,,,,,,,,u,_034500653152,,,,,
_25077,,,,,,,,,,,,,u,_035733000034,,,,,
_25077,,,,,,,,,,,,,u,_041900020026,,,,,
_25077,,,,,,,,,,,,,u,_041900027636,,,,,
_25077,,,,,,,,,,,,,u,_041900071714,,,,,
_25077,,,,,,,,,,,,,u,_041900076382,,,,,
_25077,,,,,,,,,,,,,u,_043119000202,,,,,
_25077,,,,,,,,,,,,,u,_044100103209,,,,,
_25077,,,,,,,,,,,,,u,_070480001002,,,,,
_25077,,,,,,,,,,,,,u,_070554002799,,,,,
_25077,,,,,,,,,,,,,u,_070777012131,,,,,
_25077,,,,,,,,,,,,,u,_070778020104,,,,,
_25077,,,,,,,,,,,,,u,_070880000568,,,,,
_25077,,,,,,,,,,,,,u,_071600002572,,,,,
_25077,,,,,,,,,,,,,u,_071604000208,,,,,
_25077,,,,,,,,,,,,,u,_072730211100,,,,,
_25077,,,,,,,,,,,,,u,_075196001094,,,,,
_25077,,,,,,,,,,,,,u,_076545001086,,,,,
_25077,,,,,,,,,,,,,u,_079997000119,,,,,
_25077,,,,,,,,,,,,,u,_088365000026,,,,,
_25077,,,,,,,,,,,,,u,_815473010322,,,,,
_25077,,,,,,,,,,,,,u,_815473013224,,,,,
_52009,MILK SKIM GAL,180116,180116,,,*INACTIVE*,a,601 07 000,Each,1.00,,,u,_034500621922,Master,2.75,0.00,2018-11-30,2075-12-31
_52009,,,,,,,,,,,,,u,_034500653183,,,,,
_52009,,,,,,,,,,,,,u,_035733000409,,,,,
_52009,,,,,,,,,,,,,u,_041900027797,,,,,
_52009,,,,,,,,,,,,,u,_041900036799,,,,,
_52009,,,,,,,,,,,,,u,_041900071745,,,,,
_52009,,,,,,,,,,,,,u,_041900077020,,,,,
_52009,,,,,,,,,,,,,u,_041900078744,,,,,
_52009,,,,,,,,,,,,,u,_043119000158,,,,,
_52009,,,,,,,,,,,,,u,_044100109829,,,,,
_52009,,,,,,,,,,,,,u,_070480003006,,,,,
_52009,,,,,,,,,,,,,u,_070554003796,,,,,
_52009,,,,,,,,,,,,,u,_070777125312,,,,,
_52009,,,,,,,,,,,,,u,_070778019108,,,,,
_52009,,,,,,,,,,,,,u,_070880002753,,,,,
_52009,,,,,,,,,,,,,u,_071600011659,,,,,
_52009,,,,,,,,,,,,,u,_071604002110,,,,,
_52009,,,,,,,,,,,,,u,_072730231177,,,,,
_52009,,,,,,,,,,,,,u,_075196001278,,,,,
_52009,,,,,,,,,,,,,u,_076545001109,,,,,
_52009,,,,,,,,,,,,,u,_088365000170,,,,,
_52009,,,,,,,,,,,,,u,_815473010353,,,,,
_9184920,SUPPLY WHP CRM FOUNT AERO 13z,184920,184920,,,,a,212 20 001,Each,1.00,,,u,_041900047467,Master,2.44,0.00,1900-01-01,2075-12-31
_9184920,,,,,,,,,,,,,u,_041900074081,,,,,
_9184920,,,,,,,,,,,,,u,_041900077181,,,,,
