ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_037578616616,SHEARER CLSC HOME STYLE CHIP 10z,1053442,1053442,,,,a,706 14 002,Each,1.00,,,u,_037578616616,Master,2.30,0.00,1900-01-01,2075-12-31
_037578617699,SHEARERS SEA SLT & VNGR KTTL CHIPS 2.75z,1080529,1080529,,,,a,706 14 002,Each,1.00,,,u,_037578617699,Master,1.05,0.00,2016-05-12,2075-12-31
_041780001290,UTZ CRAB KETTLE CHIPS 8z,1079249,1079249,,,,a,706 14 002,Each,1.00,,,u,_041780001290,Master,2.00,0.00,2017-09-22,2075-12-31
_041780001368,UTZ GOURMET KETTLE CHIPS 8z,1079250,1079250,,,,a,706 14 002,Each,1.00,,,u,_041780001368,Master,2.00,0.00,2017-09-22,2075-12-31
_041780001702,UTZ REDUCED FT SMOKING KC CHIPS 8z,1079263,1079263,,,,a,706 14 002,Each,1.00,,,u,_041780001702,Master,2.00,0.00,2016-03-07,2075-12-31
_041780003539,UTZ JALAPENO CHEESE CURL,1086582,1086582,,,,a,706 14 002,Each,1.00,,,u,_041780003539,Master,0.92,0.00,2018-07-30,2075-12-31
_041780010308,UTZ HELUVA GOOD RANCH CHIPS,1086570,1086578,,,,a,706 14 002,Each,1.00,,,u,_041780010308,Master,0.92,0.00,2018-07-30,2075-12-31
_041780011367,UTZ TOMATILLO SALSA KETTLE CHIPS,1086579,1086579,,,,a,706 14 002,Each,1.00,,,u,_041780011367,Master,0.92,0.00,2018-07-30,2075-12-31
_041780011374,UTZ CAYENNE CHILI KETTLE CHIPS,1086580,1086580,,,,a,706 14 002,Each,1.00,,,u,_041780011374,Master,0.92,0.00,2018-07-30,2075-12-31
_041780011381,UTZ SCORPION PEPPER KETTLE CHIPS,1086581,1086581,,,,a,706 14 002,Each,1.00,,,u,_041780011381,Master,0.92,0.00,2018-07-30,2075-12-31
_3757861199,SHEARER PORK RINDS 1.5z,53169,53169,,,,a,706 14 002,Each,1.00,,,u,_037578611994,Master,0.76,0.00,1900-01-01,2075-12-31
_3757861200,SHEARER BBQ PRK RNDS 1.5z,53170,53170,,,,a,706 14 002,Each,1.00,,,u,_037578612007,Master,0.76,0.00,1900-01-01,2075-12-31
_3757861215,SHEARER PRETZL THINS 3z,53400,53400,,,,a,706 14 002,Each,1.00,,,u,_037578612151,Master,0.76,0.00,1900-01-01,2075-12-31
_3757861215,,,,,,,,,,,,,u,_037578613820,,,,,
