ProductCode,Name,XRefID,ItemXRefID,SpreadSheetPlaceholder1,SpreadSheetPlaceholder2,Description,Status,SupplierItemGroupName,SupplierPackageUOM,QuantityFactor,AvailabilityStartDate,AvailabilityEndDate,TypeCode,Number,CostLevel,PackageCost,PackageAllowance,CostStartDate,CostEndDate
-----------,----,------,----------,-----------------------,-----------------------,-----------,------,---------------------,------------------,--------------,---------------------,-------------------,--------,------,---------,-----------,----------------,-------------,-----------
_040063400027,FOUR ROSES SINGLE BARREL BOURBON 750ML,32000285,32000285,,,,a,401 04A 000,Case,6.00,,,u,_040063400027,Master,198.00,0.00,1900-01-01,2075-12-31
_040063400317,FOUR ROSES SML BATCH BOURBON 750ML,33000476,33000476,,,,a,401 04A 000,Case,6.00,,,u,_040063400317,Master,148.02,0.00,1900-01-01,2075-12-31
_040063400409,FOUR ROSES BOURBON 750ML,32000287,32000287,,,,a,401 04A 000,Case,12.00,,,u,_040063400409,Master,198.00,0.00,1900-01-01,2075-12-31
_040232105159,PIATTELLI CAF MALBEC 750ML,33000511,33000511,,,,a,401 03A 000,Case,12.00,,,u,_040232105159,Master,120.00,0.00,1900-01-01,2075-12-31
_040232105180,PIATTELLI CAF GRAND RESERVE MALBEC 750ML,33000512,33000512,,,,a,401 03A 000,Case,12.00,,,u,_040232105180,Master,159.96,0.00,1900-01-01,2075-12-31
_040232105197,PIATTELLI CAF CABERNET 750ML,33000513,33000513,,,,a,401 03A 000,Case,12.00,,,u,_040232105197,Master,120.00,0.00,1900-01-01,2075-12-31
_040232166136,PIATTELLI PREM TORRONTES,32000291,32000291,,,,a,401 03A 000,Case,12.00,,,u,_040232166136,Master,111.96,0.00,1900-01-01,2075-12-31
_080175496129,OPICI WHITE SANGRIA 3L BOX,33000514,33000514,,,,a,401 03A 000,Case,4.00,,,u,_080175496129,Master,48.00,0.00,1900-01-01,2075-12-31
_080175533749,OPICI RED SANGRIA 3L BOX,33000515,33000515,,,,a,401 03A 000,Case,4.00,,,u,_080175533749,Master,48.00,0.00,1900-01-01,2075-12-31
_085982400130,CEDAR RIDGE BOURBON 750ML,33000481,33000481,,,,a,401 04A 000,Case,6.00,,,u,_085982400130,Master,157.02,0.00,1900-01-01,2075-12-31
_089832845706,SANTA JULIA RESERVA MALBEC 750ML,33000516,33000516,,,,a,401 03A 000,Case,12.00,,,u,_089832845706,Master,111.96,0.00,1900-01-01,2075-12-31
_607054492234,SWEET BITCH CHARDONNAY 750ML,33000517,33000517,,,,a,401 03A 000,Case,12.00,,,u,_607054492234,Master,80.04,0.00,1900-01-01,2075-12-31
_607054492241,SWEET BITCH MERLOT 750ML,33000518,33000518,,,,a,401 03A 000,Case,12.00,,,u,_607054492241,Master,80.04,0.00,1900-01-01,2075-12-31
_607054492272,SWEET BITCH PINOT GRIGIO 750ML,33000519,33000519,,,,a,401 03A 000,Case,12.00,,,u,_607054492272,Master,80.04,0.00,1900-01-01,2075-12-31
_655709000013,JEFFERSONS VSB RESERVE 750ML,33000482,33000482,,,,a,401 04A 000,Case,6.00,,,u,_655709000013,Master,250.74,0.00,1900-01-01,2075-12-31
_655709000303,JEFFERSONS VSB BOURBON 750ML,33000483,33000483,,,,a,401 04A 000,Case,6.00,,,u,_655709000303,Master,162.78,0.00,1900-01-01,2075-12-31
_663881000356,BORU IRISH VODKA 1L,32002290,32002290,,,,a,401 04A 000,Case,12.00,,,u,_663881000356,Master,120.00,0.00,1900-01-01,2075-12-31
_663881000790,BRADYS IRISH CREAM 750ML,32002291,32002291,,,,a,401 04A 000,Case,12.00,,,u,_663881000790,Master,111.96,0.00,1900-01-01,2075-12-31
_663881000943,BRADYS IRISH CREAM 50ML,33000484,33000484,,,,a,401 04A 000,Case,60.00,,,u,_663881000943,Master,40.20,0.00,1900-01-01,2075-12-31
_663881000967,BRADYS IRISH CREAM 1.75L,33000485,33000485,,,,a,401 04A 000,Case,6.00,,,u,_663881000967,Master,112.02,0.00,1900-01-01,2075-12-31
_721094199059,GOSLINGS BLACK BERMUDA RUM 750ML,1068450,1068450,,,,a,401 04A 000,Case,12.00,,,u,_721094199059,Master,175.32,0.00,1900-01-01,2075-12-31
_721094199707,GOSLINGS GINGER BEER 6PK,32002372,32002372,,,,a,401 01B 000,Case,24.00,,,u,_721094199707,Master,23.96,0.00,1900-01-01,2075-12-31
_721094199752,GOSLINGS DIET GINGER BEER 6PK,32002373,32002373,,,,a,401 01B 000,Case,24.00,,,u,_721094199752,Master,23.96,0.00,1900-01-01,2075-12-31
_749254232316,DONAUSONNE 750ML,33000520,33000520,,,,a,401 03A 000,Case,12.00,,,u,_749254232316,Master,87.96,0.00,1900-01-01,2075-12-31
_812164000402,PRICHARDS SWEET LUCY 750ML,33000486,33000486,,,,a,401 04A 000,Case,6.00,,,u,_812164000402,Master,124.50,0.00,1900-01-01,2075-12-31
_812164100928,PRICHARDS SWEET LUCY CREAM 750ML,33000487,33000487,,,,a,401 04A 000,Case,6.00,,,u,_812164100928,Master,124.50,0.00,1900-01-01,2075-12-31
_814794010448,GOZIO AMARETTO GIFT SET/,35002034,35002034,,,,a,401 04A 000,Case,6.00,,,u,_814794010448,Master,115.50,0.00,1900-01-01,2075-12-31
_814794010455,GOZIOAMARETTO 50ML,32002556,32002556,,,,a,401 04A 000,Case,60.00,,,u,_814794010455,Master,80.40,0.00,1900-01-01,2075-12-31
_814794010844,GOZIO AMARETTO 375ML,33000488,33000488,,,,a,401 04A 000,Case,12.00,,,u,_814794010844,Master,117.24,0.00,1900-01-01,2075-12-31
_850120002374,WILLIAM WOLF PECAN BOURBON 750ML,33000489,33000489,,,,a,401 04A 000,Case,6.00,,,u,_850120002374,Master,90.00,0.00,1900-01-01,2075-12-31
_851312006002,SKAALVENN VODKA 750ML,33000490,33000490,,,,a,401 04A 000,Case,6.00,,,u,_851312006002,Master,90.00,0.00,1900-01-01,2075-12-31
_851312006019,SKAALVENN RUM 750ML,33000491,33000491,,,,a,401 04A 000,Case,6.00,,,u,_851312006019,Master,90.00,0.00,1900-01-01,2075-12-31
_851312006026,SKAALVENN HABANERO RUM 750ML,33000492,33000492,,,,a,401 04A 000,Case,6.00,,,u,_851312006026,Master,112.80,0.00,1900-01-01,2075-12-31
_851312006040,SKAALVENN AQUAVIT 750ML,33000493,33000493,,,,a,401 04A 000,Case,6.00,,,u,_851312006040,Master,133.80,0.00,1900-01-01,2075-12-31
_851972006008,BROWN JUG BOURBON CREAM 750ML,33000477,33000477,,,,a,401 04A 000,Case,6.00,,,u,_851972006008,Master,94.50,0.00,1900-01-01,2075-12-31
_856004005011,J CARVER PREMIUM VODKA 750ML,33000494,33000494,,,,a,401 04A 000,Case,6.00,,,u,_856004005011,Master,99.78,0.00,1900-01-01,2075-12-31
_856004005035,J CARVER PREMIUM GIN 750ML,33000495,33000495,,,,a,401 04A 000,Case,6.00,,,u,_856004005035,Master,121.80,0.00,1900-01-01,2075-12-31
_856004005189,J CARVER RYE 750ML,33000496,33000496,,,,a,401 04A 000,Case,6.00,,,u,_856004005189,Master,148.74,0.00,1900-01-01,2075-12-31
_856004005226,J CARVER BOURBON 750ML,33000497,33000497,,,,a,401 04A 000,Case,6.00,,,u,_856004005226,Master,148.74,0.00,1900-01-01,2075-12-31
_869921000007,5 VODKA LEMON GINGER 750ML,33000498,33000498,,,,a,401 04A 000,Case,6.00,,,u,_869921000007,Master,108.30,0.00,1900-01-01,2075-12-31
_869921000014,5 VODKA CRANBERRY ORANGE 750ML,33000499,33000499,,,,a,401 04A 000,Case,6.00,,,u,_869921000014,Master,108.30,0.00,1900-01-01,2075-12-31
_871752001016,KONO SAUVINGON BLANC 750ML,33000500,33000500,,,,a,401 04A 000,Case,6.00,,,u,_871752001016,Master,55.98,0.00,1900-01-01,2075-12-31
_875752000253,PIATTELLI PREM CABERNET MENDOZA 750ML,33000521,33000521,,,,a,401 03A 000,Case,12.00,,,u,_875752000253,Master,120.00,0.00,1900-01-01,2075-12-31
_875752000291,PIATTELLI GRAND RSRVE MALBEC MENDOZA 750ML,33000522,33000522,,,,a,401 03A 000,Case,12.00,,,u,_875752000291,Master,159.96,0.00,1900-01-01,2075-12-31
_875752000390,PIATTELLI PREM MALBEC MENDOZA 750ML,33000523,33000523,,,,a,401 03A 000,Case,12.00,,,u,_875752000390,Master,120.00,0.00,1900-01-01,2075-12-31
_890355001001,RUMCHATA 1.75L,32002808,32002808,,,,a,401 04A 000,Case,6.00,,,u,_890355001001,Master,184.50,0.00,1900-01-01,2075-12-31
